start;classe_mod_1024;reached_one;syracuse_steps_to_one;classic_steps_to_one;first_descent_step;first_descent_value;max_value;max_ratio;total_v2;avg_v2
3041127;871;True;132;363;62;457639;207572633873;68255.167861454;231;1.75
4561691;795;True;131;361;61;457639;207572633873;45503.44025340603;230;1.7557251908396947
3219199;767;True;137;376;82;3146237;140942996837;43782.00814457261;239;1.7445255474452555
1212415;1023;True;119;328;66;923645;46548912269;38393.54698597427;209;1.7563025210084033
159487;767;True;64;183;45;1559;5734125917;35953.563092916665;119;1.859375
4828799;639;True;136;374;81;3146237;140942996837;29188.002407430915;238;1.75
4064103;871;True;210;565;91;1192943;117026438465;28795.145808312438;355;1.6904761904761905
704511;1023;True;86;242;46;661115;18997161173;26965.031309660175;156;1.813953488372093
1818623;1023;True;118;326;65;923645;46548912269;25595.690953540125;208;1.7627118644067796
239231;639;True;63;181;44;1559;5734125917;23968.99196592415;118;1.873015873015873
376831;1023;True;120;329;97;157493;8138196845;21596.41018122182;209;1.7416666666666667
2022639;239;True;121;334;87;938207;38828142341;19196.77329518515;213;1.7603305785123966
2424831;1023;True;119;329;66;923645;46548912269;19196.76557624016;210;1.7647058823529411
318975;511;True;64;184;44;266069;5734125917;17976.725188494394;120;1.875
1056767;1023;True;85;240;45;661115;18997161173;17976.679034262048;155;1.8235294117647058
1469439;1023;True;115;318;47;64637;25074208145;17063.79655433128;203;1.7652173913043478
2727935;1023;True;117;324;63;2463053;46548912269;17063.79084142401;207;1.7692307692307692
358847;447;True;62;179;42;266069;5734125917;15979.305712462414;117;1.8870967741935485
2559903;927;True;117;324;82;2501885;38828142341;15167.817820050213;207;1.7692307692307692
565247;1023;True;119;327;95;419981;8138196845;14397.594051803902;208;1.7478991596638656
1409023;1023;True;86;243;44;1175315;18997161173;13482.506086132022;157;1.8255813953488371
3423871;639;True;84;239;51;762451;46162343069;13482.500675113051;155;1.8452380952380953
3033959;871;True;120;332;85;2501885;38828142341;12797.846754356271;212;1.7666666666666666
3637247;1023;True;118;327;64;2463053;46548912269;12797.8419582173;209;1.771186440677966
478463;255;True;63;182;43;266069;5734125917;11984.47093505663;119;1.8888888888888888
1585151;1023;True;84;238;42;1175315;18997161173;11984.448909283721;154;1.8333333333333333
3959295;511;True;92;260;62;18619;47449950497;11984.444325820632;168;1.826086956521739
2204159;511;True;114;316;46;64637;25074208145;11375.86178900887;202;1.7719298245614035
4091903;1023;True;116;322;62;2463053;46548912269;11375.8591709041;206;1.7758620689655173
753663;1023;True;120;330;96;419981;8138196845;10798.190762980272;210;1.75
