step;value;v2;ratio_to_start;log_value;cumulative_v2;critical_required_v2;surplus_v2;avg_v2_so_far;consecutive_v2_1;phase
0;3041127;0;1.0;14.927738728365568;0;0.0;0.0;0.0;0;start
1;4561691;1;1.5000001644127325;15.333203946082216;1;1.584962500721156;-0.5849625007211561;1.0;1;ascesa
2;6842537;1;2.2500004110318312;15.738669127262694;2;3.169925001442312;-1.1699250014423122;1.0;2;ascesa
3;5131903;2;1.6875003904802397;15.450987103525787;4;4.754887502163468;-0.7548875021634682;1.3333333333333333;0;ascesa
4;7697855;1;2.531250750133092;15.856452276587113;5;6.339850002884624;-1.3398500028846243;1.25;1;ascesa
5;11546783;1;3.7968762896123707;16.261917427997382;6;7.92481250360578;-1.9248125036057804;1.2;2;ascesa
6;17320175;1;5.695314598831288;16.667382564973614;7;9.509775004326936;-2.5097750043269365;1.1666666666666667;3;ascesa
7;25980263;1;8.542972062659665;17.07284769232716;8;11.094737505048093;-3.0947375050480925;1.1428571428571428;4;ascesa
8;38970395;1;12.814458258402231;17.478312813265575;9;12.679700005769249;-3.6797000057692486;1.125;5;ascesa
9;58455593;1;19.22168755201608;17.88377792992724;10;14.264662506490405;-4.264662506490405;1.1111111111111112;6;ascesa
10;43841695;2;14.416265746218425;17.596095863177794;12;15.84962500721156;-3.8496250072115608;1.2;0;ascesa
11;65762543;1;21.62439878374037;18.00156097888907;13;17.43458750793272;-4.434587507932719;1.1818181818181819;1;ascesa
12;98643815;1;32.43659834002329;18.407026092065976;14;19.019550008653873;-5.019550008653873;1.1666666666666667;2;ascesa
13;147965723;1;48.65489767444766;18.812491203553304;15;20.604512509375027;-5.604512509375027;1.1538461538461537;3;ascesa
14;221948585;1;72.98234667608423;19.217956313914243;16;22.189475010096185;-6.189475010096185;1.1428571428571428;4;ascesa
15;166461439;2;54.73676008926954;18.93027424296431;18;23.774437510817343;-5.774437510817343;1.2;0;ascesa
