start;classe_mod_1024;reached_one;total_syracuse_steps;max_value;max_ratio;peak_step;first_positive_surplus_step;first_descent_step;max_debt;max_debt_step;max_consecutive_v2_1;total_v2;avg_v2;final_surplus
4637979;283;True;213;439600764977;94782.8278172454;71;98;98;16.532337551202076;71;8;360;1.6901408450704225;22.40298734639373
3873535;767;True;116;286185056525;73882.14035112629;55;78;78;16.17293753966358;55;8;206;1.7758620689655173;22.144349916345902
3041127;871;True;132;207572633873;68255.167861454;36;62;62;16.05865002596162;36;17;231;1.75;21.784949904807405
3041391;111;True;137;142195824593;46753.54947555247;59;98;98;15.51278754254821;59;6;239;1.7445255474452555;21.860137401201627
4497567;159;True;143;207446920397;46124.253490164796;47;68;68;15.49323753389433;47;7;249;1.7412587412587412;22.350362396874687
4561691;795;True;131;207572633873;45503.44025340603;35;61;61;15.473687525240464;35;17;230;1.7557251908396947;22.369912405528567
2684647;743;True;146;117539270981;43782.02086941039;52;62;62;15.418050037500109;52;10;253;1.7328767123287672;21.595474894711202
3219199;767;True;137;140942996837;43782.00814457261;52;82;82;15.418050037500109;52;11;239;1.7445255474452555;21.860137401201627
3877023;159;True;128;150883444325;38917.34568636812;50;59;59;15.2481250360578;50;12;225;1.7578125;22.124799907692022
1212415;1023;True;119;46548912269;38393.54698597427;38;66;66;15.228575027403934;38;14;209;1.7563025210084033;20.389462414182418
3181803;235;True;149;117539270981;36941.089998658;55;3;3;15.172937539663579;55;10;258;1.7315436241610738;21.840587392547747
159487;767;True;64;5734125917;35953.563092916665;31;45;45;15.13383752235584;31;12;119;1.859375;17.56239995384601
1441407;639;True;134;50543191457;35065.17691186459;60;94;94;15.097750043269372;60;6;233;1.7388059701492538;20.615024903365082
3579529;649;True;147;117539270981;32836.51870986378;53;1;1;15.00301253822127;53;10;255;1.7346938775510203;22.01051239399007
4292265;681;True;138;140942996837;32836.50865848218;53;1;1;15.00301253822127;53;11;241;1.7463768115942029;22.275174900480465
4562087;167;True;136;142195824593;31169.029567607984;58;97;97;14.927825041827049;58;6;238;1.75;22.445099901922788
270271;959;True;150;8216025965;30399.21399262222;87;103;103;14.891737562740587;87;7;256;1.7066666666666668;18.255624891826585
4026971;603;True;145;117539270981;29188.01028887469;51;61;61;14.833087536778962;51;10;252;1.7379310344827585;22.180437395432364
4828799;639;True;136;140942996837;29188.002407430915;51;81;81;14.833087536778962;51;11;238;1.75;22.445099901922788
1042431;1023;True;162;30079718549;28855.35690036079;92;107;107;14.816550066346366;92;10;277;1.7098765432098766;20.236074883172705
1616553;681;True;120;46548912269;28795.16617704461;39;1;1;14.813537528125089;39;14;211;1.7583333333333333;20.804499913461257
4064103;871;True;210;117026438465;28795.145808312438;39;91;91;14.813537528125089;39;17;355;1.6904761904761905;22.157874848557242
288615;871;True;143;8216025965;28467.078859380144;80;96;96;14.797000057692486;80;7;245;1.7132867132867133;18.350362396874687
1875711;767;True;135;51968116565;27705.82278666596;56;61;61;14.75790004038474;56;12;235;1.7407407407407407;21.03006240264392
3542887;871;True;217;98158530773;27705.80342330986;56;113;113;14.75790004038474;56;10;366;1.6866359447004609;22.06313734350914
212649;681;True;65;5734125917;26965.21458835922;32;1;1;14.718800023076994;32;12;121;1.8615384615384616;17.97743745312485
704511;1023;True;86;18997161173;26965.031309660175;32;46;46;14.718800023076994;32;13;156;1.813953488372093;19.693224937980574
1126015;639;True;196;30079718549;26713.426152404718;126;141;141;14.705275090865655;126;10;331;1.6887755102040816;20.347349858653388
665215;639;True;163;17494428437;26298.90852882151;61;88;88;14.682712543990519;61;9;278;1.705521472392638;19.651112382451572
1988859;251;True;157;52304792741;26298.894361540963;61;85;85;14.682712543990519;61;12;270;1.7197452229299364;21.160887386778484
3732423;967;True;222;98158530773;26298.87629912258;61;5;5;14.682712543990519;61;10;374;1.6846846846846846;22.138324839903362
4530343;167;True;143;117539270981;25944.8944552322;49;58;58;14.663162535336653;49;10;249;1.7412587412587412;22.350362396874687
1818623;1023;True;118;46548912269;25595.690953540125;37;65;65;14.643612526682773;37;13;208;1.7627118644067796;20.97442491490358
4772705;865;True;148;117539270981;24627.390752413987;54;1;1;14.587975038942432;54;10;257;1.7364864864864864;22.425549893268908
2643183;239;True;158;63486606161;24018.997610456787;83;115;115;14.551887559855942;83;10;272;1.7215189873417722;21.57592488605735
239231;639;True;63;5734125917;23968.99196592415;30;44;44;14.548875021634686;30;12;118;1.873015873015873;18.147362454567173
2237467;27;True;155;52304792741;23376.788458109102;59;83;83;14.51278754254821;59;12;267;1.7225806451612904;21.330812388220806
2162111;447;True;133;50543191457;23376.779201900365;59;93;93;14.51278754254821;59;5;232;1.744360902255639;21.199987404086244
360361;937;True;151;8216025965;22799.43158388394;88;1;1;14.476700063461749;88;7;258;1.7086092715231789;18.670662391105424
4000767;1023;True;80;87580804661;21891.00356531635;52;66;66;14.418050037500109;52;9;149;1.8625;22.202999942307514
376831;1023;True;120;8138196845;21596.41018122182;40;97;97;14.398500028846243;40;13;209;1.7416666666666667;18.804499913461257
2517151;159;True;153;52304792741;20779.362358873186;57;81;81;14.342862541105902;57;12;264;1.7254901960784315;21.50073738966313
4723849;137;True;218;98158530773;20779.354033755102;57;1;1;14.342862541105902;57;10;368;1.688073394495413;22.47817484278795
405407;927;True;149;8216025965;20266.117666937178;86;102;102;14.306775062019426;86;7;255;1.7114093959731544;18.840587392547747
1501353;169;True;197;30079718549;20035.074062528933;127;1;1;14.290237591586816;127;10;333;1.6903553299492386;20.762387357932255
886953;169;True;164;17494428437;19724.188809328116;62;1;1;14.26767504471168;62;9;280;1.7073170731707317;20.066149881730382
2471679;767;True;165;48095597285;19458.674562918568;50;93;93;14.2481250360578;50;13;283;1.715151515151515;21.48118738100925
1563647;1023;True;161;30079718549;19236.8984489466;91;106;106;14.231587565625205;91;9;276;1.7142857142857142;20.821037383893866
2022639;239;True;121;38828142341;19196.77329518515;38;87;87;14.228575027403934;38;16;213;1.7603305785123966;21.219537412740124
2424831;1023;True;119;46548912269;19196.76557624016;38;66;66;14.228575027403934;38;15;210;1.7647058823529411;21.389462414182418
432923;795;True;142;8216025965;18978.030654411985;79;94;94;14.212037556971325;79;7;244;1.7183098591549295;18.935324897595848
2813567;639;True;134;51968116565;18470.545242036176;55;60;60;14.172937539663579;55;12;234;1.7462686567164178;21.615024903365082
3191911;103;True;144;58956314129;18470.538222713603;55;96;96;14.172937539663579;55;7;250;1.7361111111111112;21.765399896153525
2870431;159;True;139;52304792741;18221.92999622705;43;67;67;14.153387531009713;43;12;242;1.7410071942446044;21.690212399759304
318975;511;True;64;5734125917;17976.725188494394;31;44;44;14.13383752235584;31;12;120;1.875;18.56239995384601
1056767;1023;True;85;18997161173;17976.679034262048;31;45;45;14.13383752235584;31;12;155;1.8235294117647058;20.278187438701735
1689023;447;True;195;30079718549;17808.94549630171;125;140;140;14.120312590144522;125;10;330;1.6923076923076923;20.932312359374578
2943135;159;True;168;52304792741;17771.795293454088;72;96;96;14.117300051923237;72;12;288;1.7142857142857142;21.726299878845794
2375451;795;True;124;42216015293;17771.789564592156;72;89;89;14.117300051923237;72;10;218;1.7580645161290323;21.46464991057664
4985343;511;True;150;88598411297;17771.77845075053;72;111;111;14.117300051923237;72;8;260;1.7333333333333334;22.255624891826585
997823;447;True;162;17494428437;17532.596900452285;60;87;87;14.097750043269372;60;9;277;1.7098765432098766;20.236074883172705
2983289;377;True;156;52304792741;17532.593302559693;60;1;1;14.097750043269372;60;12;269;1.7243589743589745;21.745849887499645
3362671;879;True;149;58956314129;17532.58470097134;60;101;101;14.097750043269372;60;7;258;1.7315436241610738;21.840587392547747
2882815;255;True;134;50543191457;17532.582374172467;60;94;94;14.097750043269372;60;7;234;1.7462686567164178;21.615024903365082
480481;225;True;152;8216025965;17099.585550729375;89;1;1;14.061662564182882;89;7;260;1.7105263157894737;19.085699890384262
1469439;1023;True;115;25074208145;17063.79655433128;36;47;47;14.058650025961619;36;12;203;1.7652173913043478;20.729312417067064
2727935;1023;True;117;46548912269;17063.79084142401;36;63;63;14.058650025961619;36;12;207;1.7692307692307692;21.55938741562474
487039;639;True;140;8216025965;16869.33893384308;77;92;92;14.042112555529016;77;7;241;1.7214285714285715;19.105249899038142
3037039;879;True;139;50543191457;16642.25960121026;65;99;99;14.02256254687515;65;6;242;1.7410071942446044;21.690212399759304
1853211;795;True;164;30079718549;16231.135336990768;94;109;109;13.98647506778866;94;11;281;1.7134146341463414;21.066149881730382
502441;681;True;121;8138196845;16197.318381660732;41;1;1;13.983462529567404;41;13;211;1.743801652892562;19.219537412740124
2431999;1023;True;102;39391746821;16197.270977907474;41;66;66;13.983462529567404;41;9;183;1.7941176470588236;21.333824926442077
3964775;871;True;157;63486606161;16012.66305427168;82;114;114;13.966925059134809;82;10;271;1.7261146496815287;22.160887386778484
358847;447;True;62;5734125917;15979.305712462414;29;42;42;13.963912520913524;29;12;117;1.8870967741935485;18.73232495528832
3252223;1023;True;108;51968116565;15979.259898537093;29;34;34;13.963912520913524;29;12;193;1.787037037037037;21.824049922115137
2672383;767;True;122;42216015293;15797.142585101014;70;87;87;13.947375050480929;70;10;215;1.7622950819672132;21.634574912018962
3356201;553;True;154;52304792741;15584.523316988463;58;1;1;13.927825041827049;58;12;266;1.7272727272727273;21.915774888941968
3243167;159;True;132;50543191457;15584.517065263675;58;92;92;13.927825041827049;58;5;231;1.75;21.784949904807405
