start;classe_mod_1024;reached_one;total_syracuse_steps;max_value;max_ratio;peak_step;first_positive_surplus_step;first_descent_step;max_debt;max_debt_step;max_consecutive_v2_1;total_v2;avg_v2;final_surplus
1126015;639;True;196;30079718549;26713.426152404718;126;141;141;14.705275090865655;126;10;331;1.6887755102040816;20.347349858653388
2252031;255;True;196;30079718549;13356.70714523912;126;141;141;13.705275090865655;126;10;332;1.6938775510204083;21.347349858653388
1689023;447;True;195;30079718549;17808.94549630171;125;140;140;14.120312590144522;125;10;330;1.6923076923076923;20.932312359374578
2533535;159;True;194;30079718549;11872.627987772026;124;139;139;13.53535008942336;124;10;329;1.6958762886597938;21.51727486009571
1394431;767;True;170;1395535877;1000.7923497111008;82;135;135;9.966925059134809;82;7;290;1.7058823529411764;20.55637487740347
2091647;639;True;169;1395535877;667.1947403170802;81;134;134;9.381962558413647;81;6;289;1.7100591715976332;21.141337378124604
4053039;47;True;198;2281639697;562.9454088648049;84;134;134;9.136850060577103;84;8;336;1.696969696969697;22.177424857211122
2788863;511;True;170;1395535877;500.39599542896156;82;126;126;8.966925059134809;82;8;291;1.7117647058823529;21.55637487740347
3137471;959;True;168;1395535877;444.7964226601616;80;123;123;8.797000057692486;80;6;288;1.7142857142857142;21.726299878845794
1327743;639;True;153;15730912385;11847.859401254611;71;118;118;13.532337551202076;71;6;263;1.7189542483660132;20.50073738966313
2655487;255;True;153;15730912385;5923.927469801208;71;118;118;12.532337551202076;71;7;264;1.7254901960784315;21.50073738966313
3428767;415;True;207;41739568049;12173.34629299687;95;118;118;13.571437568509822;95;9;350;1.6908212560386473;21.912762350720698
1991615;959;True;152;15730912385;7898.570951212961;70;117;117;12.947375050480929;70;5;262;1.7236842105263157;21.085699890384262
1127871;447;True;155;10702358765;9488.991883823594;79;116;116;13.212037556971325;79;7;266;1.7161290322580645;20.330812388220806
1345383;871;True;187;2875668257;2137.4346613566545;89;116;116;11.061662564182882;89;10;317;1.695187165775401;20.612012365143812
2987423;415;True;151;15730912385;5265.7130861615515;69;116;116;12.362412549759767;69;5;261;1.728476821192053;21.670662391105424
3296815;559;True;154;1691498861;513.0706032943917;53;116;116;9.00301253822127;53;5;266;1.7272727272727273;21.915774888941968
1027431;359;True;138;5936080241;5777.595031685826;100;115;115;12.4962500721156;100;6;239;1.7318840579710144;20.275174900480465
2054863;719;True;138;5936080241;2888.796110008307;100;115;115;11.4962500721156;100;6;240;1.7391304347826086;21.275174900480465
2643183;239;True;158;63486606161;24018.997610456787;83;115;115;14.551887559855942;83;10;272;1.7215189873417722;21.57592488605735
