start;classe_mod_1024;steps_total;max_value;peak_step;max_debt;max_debt_step;first_surplus_step;first_descent_step;max_run_1;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;avg_v2;prefix_30;until_debt_peak;until_peak;until_descent;full_sequence
4637979;283;213;439600764977;71;16.532337551202076;71;98;98;8;122;61;11;19;0.5727699530516432;0.2863849765258216;0.051643192488262914;0.0892018779342723;1.6901408450704225;1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,4;1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,4,1,2,3,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1;1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,4,1,2,3,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1;1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,4,1,2,3,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,1,2,2,1,2,3,1,6,1,5,4,1,7,1,1,2,2,2,1,3;1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,4,1,2,3,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,1,2,2,1,2,3,1,6,1,5,4,1,7,1,1,2,2,2,1,3,1,4,1,1,1,1,4,2,1,1,1,1,2,2,3,2,1,2,1,1,2,3,1,1,2,1,2,1,1,1,1,2,1,2,1,2,4,1,1,3,2,1,1,1,4,2,4,1,1,2,1,1,2,2,4,4,2,2,1,1,2,2,1,1,1,2,3,2,1,4,1,1,4,2,3,2,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3873535;767;116;286185056525;55;16.17293753966358;55;78;78;8;66;25;14;11;0.5689655172413793;0.21551724137931033;0.1206896551724138;0.09482758620689655;1.7758620689655173;1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1;1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,3,2,1,1,1,1,1,1;1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,3,2,1,1,1,1,1,1;1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,3,2,1,1,1,1,1,1,3,4,1,6,2,1,3,2,1,2,5,2,1,2,1,2,2,4,1,1,3,2,2;1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,3,2,1,1,1,1,1,1,3,4,1,6,2,1,3,2,1,2,5,2,1,2,1,2,2,4,1,1,3,2,2,4,1,3,1,1,4,4,1,2,1,2,2,2,1,1,2,1,1,1,1,2,5,2,4,3,1,3,3,1,1,3,4,1,3,1,2,3,4
3041127;871;132;207572633873;36;16.05865002596162;36;62;62;17;74;36;12;10;0.5606060606060606;0.2727272727272727;0.09090909090909091;0.07575757575757576;1.75;1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1;1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1;1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,3,5,1,1,1,2,1,1,2,2,2,3,2,2,3,2,2,1,2,1,6,3,1,6;1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,3,5,1,1,1,2,1,1,2,2,2,3,2,2,3,2,2,1,2,1,6,3,1,6,1,1,2,1,2,2,2,3,1,1,1,1,3,1,2,3,2,1,4,2,5,2,2,2,1,1,6,2,2,1,1,3,1,1,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3041391;111;137;142195824593;59;15.51278754254821;59;98;98;6;77;39;8;13;0.5620437956204379;0.2846715328467153;0.058394160583941604;0.0948905109489051;1.7445255474452555;1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,2;1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1;1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1;1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,3,1,3,4,5,1,5,1,2,1,1,1,2,1,1,1,2,1,1,3,2,1,3,1,1,2,1,4,1,1,3,2,4,1,1,1,4,3;1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,3,1,3,4,5,1,5,1,2,1,1,1,2,1,1,1,2,1,1,3,2,1,3,1,1,2,1,4,1,1,3,2,4,1,1,1,4,3,2,5,1,1,1,2,6,1,5,3,1,1,2,2,1,1,2,1,4,2,1,2,1,2,2,2,1,1,1,6,1,2,2,4,1,1,2,3,4
4497567;159;143;207446920397;47;15.49323753389433;47;68;68;7;82;30;22;9;0.5734265734265734;0.2097902097902098;0.15384615384615385;0.06293706293706294;1.7412587412587412;1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1;1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1;1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1;1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,1,2,3,1,1,1,1,1,4,1,3;1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,1,2,3,1,1,1,1,1,4,1,3,1,1,1,2,2,2,2,1,5,2,2,1,7,1,1,3,1,2,1,3,2,2,1,1,1,2,1,4,2,3,2,4,2,2,1,1,3,1,1,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
4561691;795;131;207572633873;35;15.473687525240464;35;61;61;17;73;36;12;10;0.5572519083969466;0.2748091603053435;0.0916030534351145;0.07633587786259542;1.7557251908396947;1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1;1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1;1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,3,5,1,1,1,2,1,1,2,2,2,3,2,2,3,2,2,1,2,1,6,3,1,6;1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,3,5,1,1,1,2,1,1,2,2,2,3,2,2,3,2,2,1,2,1,6,3,1,6,1,1,2,1,2,2,2,3,1,1,1,1,3,1,2,3,2,1,4,2,5,2,2,2,1,1,6,2,2,1,1,3,1,1,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
2684647;743;146;117539270981;52;15.418050037500109;52;62;62;10;88;30;16;12;0.6027397260273972;0.2054794520547945;0.1095890410958904;0.0821917808219178;1.7328767123287672;1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1;1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1;1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1;1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,1,1,3,2,4,2,9,3;1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,1,1,3,2,4,2,9,3,1,2,2,1,2,1,1,1,1,3,1,3,3,5,1,3,2,1,1,2,1,1,2,1,4,1,4,2,2,1,1,2,3,3,1,2,1,1,3,1,1,3,1,2,6,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3219199;767;137;140942996837;52;15.418050037500109;52;82;82;11;84;29;9;15;0.6131386861313869;0.2116788321167883;0.06569343065693431;0.10948905109489052;1.7445255474452555;1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1;1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,1,2,1,3,2,1,1,1,2,1,2,1,1,1,1;1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,1,2,1,3,2,1,1,1,2,1,2,1,1,1,1;1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,1,2,1,3,2,1,1,1,2,1,2,1,1,1,1,4,1,4,2,4,2,2,1,2,1,1,2,1,1,1,1,3,1,1,1,2,2,6,1,3,1,4,1,2,5;1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,1,2,1,3,2,1,1,1,2,1,2,1,1,1,1,4,1,4,2,4,2,2,1,2,1,1,2,1,1,1,1,3,1,1,1,2,2,6,1,3,1,4,1,2,5,3,1,1,1,1,1,2,4,3,6,1,4,8,2,1,1,3,1,1,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3877023;159;128;150883444325;50;15.2481250360578;50;59;59;12;82;23;8;15;0.640625;0.1796875;0.0625;0.1171875;1.7578125;1,1,1,1,2,1,1,1,1,1,5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,1;1,1,1,1,2,1,1,1,1,1,5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1;1,1,1,1,2,1,1,1,1,1,5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1;1,1,1,1,2,1,1,1,1,1,5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,4,1,3,3,7,1,4,1,7;1,1,1,1,2,1,1,1,1,1,5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,4,1,3,3,7,1,4,1,7,1,2,1,1,1,1,5,2,2,1,1,3,5,1,1,4,4,1,1,2,1,5,2,1,1,1,3,1,2,6,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
1212415;1023;119;46548912269;38;15.228575027403934;38;66;66;14;76;16;15;12;0.6386554621848739;0.13445378151260504;0.12605042016806722;0.10084033613445378;1.7563025210084033;1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3;1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1;1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1;1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,3,5,3,3,1,2,2,4,2,1,1,1,3,3,1,1,1,2,1,1,1,3,2,3,1,1,5,3;1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,3,5,3,3,1,2,2,4,2,1,1,1,3,3,1,1,1,2,1,1,1,3,2,3,1,1,5,3,3,1,1,1,1,1,1,1,4,3,1,1,1,2,1,6,1,2,5,1,4,6,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
