start;classe_mod_1024;reached_one;total_steps;first_descent_step;final_descent_step;last_above_start_step;first_positive_surplus_step;peak_step;max_value;max_ratio;max_debt;max_debt_step;max_run_1;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;total_v2;avg_v2;final_surplus;prefix_50
4745017;825;True;201;1;146;145;1;131;30079718549;6339.222504155412;12.630087594471433;131;10;128;35;23;15;0.6368159203980099;0.17412935323383086;0.11442786069651742;0.07462686567164178;341;1.6965174129353233;22.42253735504761;2,1,2,2,1,3,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1
3558763;363;True;200;3;145;144;3;130;30079718549;8452.296078440739;13.0451250937503;130;10;128;34;23;15;0.64;0.17;0.115;0.075;339;1.695;22.0074998557688;1,2,2,1,3,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3
4085377;641;True;210;1;145;144;1;87;15523957313;3799.8836614099505;11.891737562740587;87;9;130;49;17;14;0.6190476190476191;0.23333333333333334;0.08095238095238096;0.06666666666666667;355;1.6904761904761905;22.157874848557242;2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,4,3,1,1,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1
3064033;225;True;209;1;144;143;1;86;15523957313;5066.51113516075;12.306775062019426;86;9;130;48;17;14;0.6220095693779905;0.22966507177033493;0.08133971291866028;0.06698564593301436;353;1.6889952153110048;21.742837349278375;2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,4,3,1,1,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1
1723519;127;True;207;111;143;142;111;84;15523957313;9007.128620572214;13.136850060577103;84;9;130;46;17;14;0.6280193236714976;0.2222222222222222;0.0821256038647343;0.06763285024154589;349;1.6859903381642511;20.912762350720698;1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,4,3,1,1,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1
4003609;793;True;198;1;143;142;1;128;30079718549;7513.150896853314;12.875200092307978;128;10;127;33;23;15;0.6414141414141414;0.16666666666666666;0.11616161616161616;0.07575757575757576;336;1.696969696969697;22.177424857211122;2,1,3,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2
2298025;169;True;208;1;143;142;1;85;15523957313;6755.347445306295;12.721812561298265;85;9;130;47;17;14;0.625;0.22596153846153846;0.08173076923076923;0.0673076923076923;351;1.6875;21.327799849999565;2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,4,3,1,1,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1
1501353;169;True;197;1;142;141;1;127;30079718549;20035.074062528933;14.290237591586816;127;10;127;33;22;15;0.6446700507614214;0.16751269035532995;0.1116751269035533;0.07614213197969544;333;1.6903553299492386;20.762387357932255;2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3
3002707;339;True;197;2;142;141;2;127;30079718549;10017.533695095792;13.290237591586816;127;10;127;32;23;15;0.6446700507614214;0.16243654822335024;0.116751269035533;0.07614213197969544;334;1.6954314720812182;21.762387357932255;1,3,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3
3447039;255;True;207;90;142;141;90;84;15523957313;4503.563003783827;12.136850060577103;84;9;131;44;17;15;0.6328502415458938;0.21256038647342995;0.0821256038647343;0.07246376811594203;350;1.6908212560386473;21.912762350720698;1,1,1,1,1,1,1,4,1,1,2,1,2,1,1,1,1,1,4,3,1,1,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1
