pattern;length;sum_v2;modulus_power;modulus;num_odd_classes;solutions_count;density_among_odds;first_solution;solutions_preview
1;1;1;2;4;2;1;0.5;3;3
1,1;2;2;3;8;4;1;0.25;7;7
1,1,1;3;3;4;16;8;1;0.125;15;15
1,1,1,1;4;4;5;32;16;1;0.0625;31;31
1,1,1,1,1;5;5;6;64;32;1;0.03125;63;63
1,1,1,1,1,1;6;6;7;128;64;1;0.015625;127;127
1,1,1,1,1,1,1;7;7;8;256;128;1;0.0078125;255;255
1,1,1,1,1,1,1,1;8;8;9;512;256;1;0.00390625;511;511
1,1,1,1,1,1,1,1,1;9;9;10;1024;512;1;0.001953125;1023;1023
1,1,1,1,1,1,1,1,1,1;10;10;11;2048;1024;1;0.0009765625;2047;2047
1,1,1,1,1,1,1,1,1,1,1;11;11;12;4096;2048;1;0.00048828125;4095;4095
1,1,1,1,1,1,1,1,1,1,1,1;12;12;13;8192;4096;1;0.000244140625;8191;8191
1,1,1,1,1,1,1,1,1,1,1,1,1;13;13;14;16384;8192;1;0.0001220703125;16383;16383
1,1,1,1,1,1,1,1,1,1,1,1,1,1;14;14;15;32768;16384;1;6.103515625e-05;32767;32767
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;15;15;16;65536;32768;1;3.0517578125e-05;65535;65535
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;16;16;17;131072;65536;1;1.52587890625e-05;131071;131071
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;17;17;18;262144;131072;1;7.62939453125e-06;262143;262143
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;18;18;19;524288;262144;1;3.814697265625e-06;524287;524287
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;19;19;20;1048576;524288;1;1.9073486328125e-06;1048575;1048575
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;20;20;21;2097152;1048576;1;9.5367431640625e-07;2097151;2097151
