rank;start;classe_mod_1024;pattern_length;sum_v2;modulus_power;modulus;solutions_count;residue;start_equals_residue;start_congruent_to_residue;quotient_start_minus_residue_over_modulus;density_among_odd_classes;max_debt;max_debt_step;peak_step;first_descent_step;max_run_1;avg_v2;ratio_1;pattern_prefix_80;time_seconds
1;4637979;283;71;96;97;158456325028528675187087900672;1;4637979;True;True;0;1.262177448353618888658765704452E-29;16.532337551202076;71;71;98;8;1.6901408450704225;0.5727699530516432;1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,4,1,2,3,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1;0.002264
2;3873535;767;55;71;72;4722366482869645213696;1;3873535;True;True;0;4.235164736271501695341612503398E-22;16.17293753966358;55;55;78;8;1.7758620689655173;0.5689655172413793;1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,3,2,1,1,1,1,1,1;0.001278
3;3041127;871;36;41;42;4398046511104;1;3041127;True;True;0;4.547473508864641189575195312500E-13;16.05865002596162;36;36;62;17;1.75;0.5606060606060606;1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1;0.000436
4;3041391;111;59;78;79;604462909807314587353088;1;3041391;True;True;0;3.308722450212110699485634768280E-24;15.51278754254821;59;59;98;6;1.7445255474452555;0.5620437956204379;1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1;0.001415
5;4497567;159;47;59;60;1152921504606846976;1;4497567;True;True;0;1.734723475976807094411924481392E-18;15.49323753389433;47;47;68;7;1.7412587412587412;0.5734265734265734;1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1;0.000898
6;4561691;795;35;40;41;2199023255552;1;4561691;True;True;0;9.094947017729282379150390625000E-13;15.473687525240464;35;35;61;17;1.7557251908396947;0.5572519083969466;1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1;0.000411
7;2684647;743;52;67;68;295147905179352825856;1;2684647;True;True;0;6.776263578034402712546580005437E-21;15.418050037500109;52;52;62;10;1.7328767123287672;0.6027397260273972;1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1;0.001184
8;3219199;767;52;67;68;295147905179352825856;1;3219199;True;True;0;6.776263578034402712546580005437E-21;15.418050037500109;52;52;82;11;1.7445255474452555;0.6131386861313869;1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,1,2,1,3,2,1,1,1,2,1,2,1,1,1,1;0.001200
9;3877023;159;50;64;65;36893488147419103232;1;3877023;True;True;0;5.421010862427522170037264004350E-20;15.2481250360578;50;50;59;12;1.7578125;0.640625;1,1,1,1,2,1,1,1,1,1,5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1;0.000964
10;1212415;1023;38;45;46;70368744177664;1;1212415;True;True;0;2.842170943040400743484497070312E-14;15.228575027403934;38;38;66;14;1.7563025210084033;0.6386554621848739;1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1;0.000508
