common_value;members_count;min_step;max_step;avg_step;members
8216025965;62;70;101;85.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
5477350643;62;69;100;84.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
5199203933;62;74;105;89.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
3651567095;62;68;99;83.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
3466135955;62;73;104;88.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
3245837417;62;66;97;81.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
3202149617;62;54;85;69.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
3081009737;62;71;102;86.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
2924552213;62;76;107;91.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
2434378063;62;67;98;82.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
2401612213;62;55;86;70.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
2310757303;62;72;103;87.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
2163891611;62;65;96;80.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
2134766411;62;53;84;68.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
1949701475;62;75;106;90.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249,1368251,1441445,1441447,1461119,1518561,1539281,1539283,1621629,1643759,1708377,1708383,1731693,1799771,1824335,1896063,1921925,1921929,1921931,1948157,2024743,2052375,2052377,2080383,2162171,2162173,2191679,2277835,2277843,2308925,2399695
