start;found_in_inverse_tree;depth_to_root;parent;a_to_parent;forward_check_reaches_root;path_a_sequence_to_root;path_values_to_root
270271;True;87;405407;1;True;1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;270271 -> 405407 -> 608111 -> 912167 -> 1368251 -> 2052377 -> 1539283 -> 2308925 -> 865847 -> 1298771 -> 1948157 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
288615;True;80;432923;1;True;1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;288615 -> 432923 -> 649385 -> 487039 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
360361;True;88;270271;2;True;2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;360361 -> 270271 -> 405407 -> 608111 -> 912167 -> 1368251 -> 2052377 -> 1539283 -> 2308925 -> 865847 -> 1298771 -> 1948157 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
405407;True;86;608111;1;True;1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;405407 -> 608111 -> 912167 -> 1368251 -> 2052377 -> 1539283 -> 2308925 -> 865847 -> 1298771 -> 1948157 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
432923;True;79;649385;1;True;1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;432923 -> 649385 -> 487039 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
480481;True;89;360361;2;True;2,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;480481 -> 360361 -> 270271 -> 405407 -> 608111 -> 912167 -> 1368251 -> 2052377 -> 1539283 -> 2308925 -> 865847 -> 1298771 -> 1948157 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
487039;True;77;730559;1;True;1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;487039 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
540543;True;87;810815;1;True;1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;540543 -> 810815 -> 1216223 -> 1824335 -> 2736503 -> 4104755 -> 6157133 -> 2308925 -> 865847 -> 1298771 -> 1948157 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
577231;True;80;865847;1;True;1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;577231 -> 865847 -> 1298771 -> 1948157 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
608111;True;85;912167;1;True;1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;608111 -> 912167 -> 1368251 -> 2052377 -> 1539283 -> 2308925 -> 865847 -> 1298771 -> 1948157 -> 730559 -> 1095839 -> 1643759 -> 2465639 -> 3698459 -> 5547689 -> 4160767 -> 6241151 -> 9361727 -> 14042591 -> 21063887 -> 31595831 -> 47393747 -> 71090621 -> 26658983 -> 39988475 -> 59982713 -> 44987035 -> 67480553 -> 50610415 -> 75915623 -> 113873435 -> 170810153 -> 128107615 -> 192161423 -> 288242135 -> 432363203 -> 648544805 -> 121602151 -> 182403227 -> 273604841 -> 205203631 -> 307805447 -> 461708171 -> 692562257 -> 519421693 -> 194783135 -> 292174703 -> 438262055 -> 657393083 -> 986089625 -> 739567219 -> 1109350829 -> 416006561 -> 312004921 -> 234003691 -> 351005537 -> 263254153 -> 197440615 -> 296160923 -> 444241385 -> 333181039 -> 499771559 -> 749657339 -> 1124486009 -> 843364507 -> 1265046761 -> 948785071 -> 1423177607 -> 2134766411 -> 3202149617 -> 2401612213 -> 225151145 -> 168863359 -> 253295039 -> 379942559 -> 569913839 -> 854870759 -> 1282306139 -> 1923459209 -> 1442594407 -> 2163891611 -> 3245837417 -> 2434378063 -> 3651567095 -> 5477350643 -> 8216025965
