start;entry_step;max_value;max_value_step;max_ratio;max_debt;max_debt_step;total_v2_pre_trunk;avg_v2_pre_trunk;final_surplus_at_trunk;final_debt_at_trunk;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;max_run_1;first_positive_surplus_step;first_descent_step;mod_1024;mod_4096;mod_65536;prefix_80_v2;is_top_member
270271;87;8216025965;87;30399.21399262222;14.891737562740587;87;123;1.4137931034482758;-14.891737562740587;14.891737562740587;61;19;5;2;0.7011494252873564;0.21839080459770116;0.05747126436781609;0.022988505747126436;7;;;959;4031;8127;1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1;True
288615;80;8216025965;80;28467.078859380144;14.797000057692486;80;112;1.4;-14.797000057692486;14.797000057692486;56;19;3;2;0.7;0.2375;0.0375;0.025;7;;;871;1895;26471;1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;True
360361;88;8216025965;88;22799.43158388394;14.476700063461749;88;125;1.4204545454545454;-14.476700063461749;14.476700063461749;61;20;5;2;0.6931818181818182;0.22727272727272727;0.056818181818181816;0.022727272727272728;7;1;1;937;4009;32681;2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1;True
405407;86;8216025965;86;20266.117666937178;14.306775062019426;86;122;1.4186046511627908;-14.306775062019426;14.306775062019426;60;19;5;2;0.6976744186046512;0.22093023255813954;0.05813953488372093;0.023255813953488372;7;;;927;3999;12191;1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2;True
432923;79;8216025965;79;18978.030654411985;14.212037556971325;79;111;1.4050632911392404;-14.212037556971325;14.212037556971325;55;19;3;2;0.6962025316455697;0.24050632911392406;0.0379746835443038;0.02531645569620253;7;;;795;2843;39707;1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;True
480481;89;8216025965;89;17099.585550729375;14.061662564182882;89;127;1.4269662921348314;-14.061662564182882;14.061662564182882;61;21;5;2;0.6853932584269663;0.23595505617977527;0.056179775280898875;0.02247191011235955;7;1;1;225;1249;21729;2,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1;True
487039;77;8216025965;77;16869.33893384308;14.042112555529016;77;108;1.4025974025974026;-14.042112555529016;14.042112555529016;54;18;3;2;0.7012987012987013;0.23376623376623376;0.03896103896103896;0.025974025974025976;7;;;639;3711;28287;1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;True
540543;87;8216025965;87;15199.578877166108;13.891737562740587;87;124;1.4252873563218391;-13.891737562740587;13.891737562740587;61;18;6;2;0.7011494252873564;0.20689655172413793;0.06896551724137931;0.022988505747126436;7;;;895;3967;16255;1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1;True
577231;80;8216025965;80;14233.514771382688;13.797000057692486;80;113;1.4125;-13.797000057692486;13.797000057692486;56;18;4;2;0.7;0.225;0.05;0.025;7;;;719;3791;52943;1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;True
608111;85;8216025965;85;13510.73400250941;13.721812561298265;85;121;1.423529411764706;-13.721812561298265;13.721812561298265;59;19;5;2;0.6941176470588235;0.2235294117647059;0.058823529411764705;0.023529411764705882;7;;;879;1903;18287;1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1;True
