common_value;members_count;min_step;max_step;avg_step;trunk_start;reached_one;steps_to_1;total_v2;avg_v2;critical_v2;final_surplus;max_debt;max_debt_step;min_surplus;min_surplus_step;starts_dissipative;max_value;max_value_step;max_ratio;biggest_drop_ratio;biggest_drop_step;biggest_drop_v2;biggest_drop_from;biggest_drop_to;prefix_80_v2
8216025965;62;70;101;85.0;8216025965;True;63;133;2.111111111111111;1.584962500721156;33.14736245456717;0.0;0;0.0;0;True;8216025965;0;1.0;0.005859379553959686;16;9;428885;2513;3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
5477350643;62;69;100;84.0;5477350643;True;64;134;2.09375;1.584962500721156;32.56239995384601;0.5849625007211561;1;-0.5849625007211561;1;False;8216025965;1;1.500000000091285;0.005859379553959686;17;9;428885;2513;1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
5199203933;62;74;105;89.0;5199203933;True;59;126;2.135593220338983;1.584962500721156;32.48721245745179;0.0;0;0.0;0;True;5199203933;0;1.0;0.005859379553959686;12;9;428885;2513;3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3651567095;62;68;99;83.0;3651567095;True;65;135;2.076923076923077;1.584962500721156;31.97743745312485;1.1699250014423122;2;-1.1699250014423122;2;False;8216025965;2;2.2500000003423186;0.005859379553959686;18;9;428885;2513;1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3466135955;62;73;104;88.0;3466135955;True;60;127;2.1166666666666667;1.584962500721156;31.90224995673063;0.5849625007211561;1;-0.5849625007211561;1;False;5199203933;1;1.5000000001442528;0.005859379553959686;13;9;428885;2513;1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3245837417;62;66;97;81.0;3245837417;True;67;138;2.0597014925373136;1.584962500721156;31.80751245168254;1.3398500028846243;4;-1.3398500028846243;4;False;8216025965;4;2.5312500009916548;0.005859379553959686;20;9;428885;2513;2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3202149617;62;54;85;69.0;3202149617;True;79;157;1.9873417721518987;1.584962500721156;31.787962443028675;1.3594000115384972;16;-1.3594000115384972;16;False;8216025965;16;2.5657845346706045;0.005859379553959686;32;9;428885;2513;2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
3081009737;62;71;102;86.0;3081009737;True;62;130;2.096774193548387;1.584962500721156;31.73232495528832;0.7548875021634682;3;-0.7548875021634682;3;False;5199203933;3;1.6875000005882812;0.005859379553959686;15;9;428885;2513;2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
2924552213;62;76;107;91.0;2924552213;True;57;122;2.1403508771929824;1.584962500721156;31.6571374588941;0.0;0;0.0;0;True;2924552213;0;1.0;0.005859379553959686;10;9;428885;2513;6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
2434378063;62;67;98;82.0;2434378063;True;66;136;2.0606060606060606;1.584962500721156;31.392474952403703;1.7548875021634682;3;-1.7548875021634682;3;False;8216025965;3;3.3750000009756085;0.005859379553959686;19;9;428885;2513;1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
