family_id;members_count;nodes_count;max_common_value;min_common_value;max_avg_step;min_avg_step;members_preview;common_values_preview
5166a862c128;62;78;8216025965;428885;100.0;23.0;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287;8216025965,5477350643,5199203933,3651567095,3466135955,3245837417,3202149617,3081009737,2924552213,2434378063,2401612213,2310757303,2163891611,2134766411,1949701475,1923459209,1442594407,1423177607,1282306139,1265046761,1124486009,1109350829,986089625,948785071,854870759,843364507,749657339,739567219,692562257,657393083
a20409475c9c;61;7;71090621;6241151;22.24590163934426;16.24590163934426;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,974079,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287;71090621,47393747,31595831,21063887,14042591,9361727,6241151
9ab590894f04;58;5;5547689;1643759;15.724137931034482;11.724137931034482;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771;5547689,4160767,3698459,2465639,1643759
ec808c2135fe;57;1;1095839;1095839;10.929824561403509;10.929824561403509;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,1026187,1081085,1095839,1138921,1154461,1199847,1216223,1281283,1281287,1298771;1095839
a5c2c72234b6;56;1;730559;730559;10.125;10.125;270271,288615,360361,405407,432923,480481,487039,540543,577231,608111,640641,649385,720723,730559,769641,810815,854191,865847,912167,960963,1026187,1081085,1138921,1154461,1199847,1216223,1281283,1281287,1298771,1368249;730559
1cdc0b0c8ace;42;1;1948157;1948157;10.666666666666666;10.666666666666666;270271,360361,405407,480481,540543,577231,608111,640641,720723,769641,810815,854191,865847,912167,960963,1081085,1138921,1199847,1216223,1281283,1281287,1298771,1368251,1441445,1518561,1539283,1621629,1708377,1708383,1799771;1948157
b604d18230e8;41;1;1298771;1298771;9.926829268292684;9.926829268292684;270271,360361,405407,480481,540543,577231,608111,640641,720723,769641,810815,854191,865847,912167,960963,1081085,1138921,1199847,1216223,1281283,1281287,1298771,1368251,1441445,1518561,1539283,1621629,1708377,1708383,1799771;1298771
a771b7133ae2;40;1;865847;865847;9.175;9.175;270271,360361,405407,480481,540543,577231,608111,640641,720723,769641,810815,854191,865847,912167,960963,1081085,1138921,1199847,1216223,1281283,1281287,1368251,1441445,1518561,1539283,1621629,1708377,1708383,1799771,1824335;865847
bb03c8f94299;37;1;2308925;2308925;8.837837837837839;8.837837837837839;270271,360361,405407,480481,540543,608111,640641,720723,810815,854191,912167,960963,1081085,1138921,1199847,1216223,1281283,1281287,1368251,1441445,1518561,1539283,1621629,1708377,1708383,1799771,1824335,1896063,1921925,1921931;2308925
d28d60955bf6;28;4;17981;10115;100.32142857142857;96.32142857142857;1357855,1450015,1469439,1469799,1810473,1835007,1933353,2036783,2174823,2175023,2204159,2204699,2480287,2715711,2752511,2938879,3054895,3262235,3306239,3483115,3670015,3918505,4073193,4128767,4349647,4408319,4644153,4959359;17981,15173,11987,10115
dbe9d33f49c6;27;36;5734125917;266069;44.111111111111114;9.11111111111111;159487,212649,239231,318975,358847,378043,425299,478463,504057,538271,567065,637949,717695,756087,807407,850597,956925,1008115,1076543,1134129,1134131,1211111,1275901,1344153,1435389,1512173,1614815;5734125917,3822750611,3225445829,2548500407,2150297219,1699000271,1132666847,755111231,604771093,503407487,447473321,335604991,298315547,198877031,132584687,88389791,58926527,39284351,28348645,26189567,17459711,11639807,7973057,7759871,5979793,5315371,5173247,4598441,4484845,3448831
