family_rank;family_id;members_count;nodes_count;max_common_value;min_common_value;common_span;max_avg_step;min_avg_step;steps_to_1;total_v2;avg_v2;final_surplus;max_debt_trunk;max_debt_trunk_step;trunk_starts_dissipative;max_value_inside_trunk;max_value_inside_trunk_step;max_ratio_inside_trunk;biggest_drop_ratio;biggest_drop_v2;biggest_drop_step;biggest_drop_from;biggest_drop_to;prefix_60_v2_trunk;surplus_per_step;nodes_per_member
1;5166a862c128;62;78;8216025965;428885;8215597080;100.0;23.0;63;133;2.111111111111111;33.14736245456717;0.0;0;True;8216025965;0;1.0;0.005859379553959686;9;16;428885;2513;3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1;0.5261486103899551;1.2580645161290323
2;a20409475c9c;61;7;71090621;6241151;64849470;22.24590163934426;16.24590163934426;126;226;1.7936507936507937;26.294724909134345;6.852637545432827;63;False;8216025965;63;115.57116606141336;0.005859379553959686;9;79;428885;2513;3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2;0.20868829292963767;0.11475409836065574
3;9ab590894f04;58;5;5547689;1643759;3903930;15.724137931034482;11.724137931034482;134;235;1.7537313432835822;22.615024903365082;10.532337551202076;71;False;8216025965;71;1480.9817141876554;0.005859379553959686;9;87;428885;2513;2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1;0.168768842562426;0.08620689655172414
4;ec808c2135fe;57;1;1095839;1095839;0;10.929824561403509;10.929824561403509;138;239;1.7318840579710144;20.275174900480465;12.872187554086707;75;False;8216025965;75;7497.475418378065;0.005859379553959686;9;91;428885;2513;1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2;0.14692155724985845;0.017543859649122806
5;a5c2c72234b6;56;1;730559;730559;0;10.125;10.125;139;240;1.7266187050359711;19.690212399759304;13.457150054807869;76;False;8216025965;76;11246.218258894902;0.005859379553959686;9;92;428885;2513;1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1;0.14165620431481513;0.017857142857142856
6;1cdc0b0c8ace;42;1;1948157;1948157;0;10.666666666666666;10.666666666666666;140;243;1.7357142857142858;21.105249899038142;12.042112555529016;77;False;8216025965;77;4217.332568679013;0.005859379553959686;9;93;428885;2513;3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1;0.15075178499312958;0.023809523809523808
7;b604d18230e8;41;1;1298771;1298771;0;9.926829268292684;9.926829268292684;141;244;1.7304964539007093;20.52028739831698;12.627075056250177;78;False;8216025965;78;6326.00047660442;0.005859379553959686;9;94;428885;2513;1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1;0.14553395317955306;0.024390243902439025
8;a771b7133ae2;40;1;865847;865847;0;9.175;9.175;142;245;1.7253521126760563;19.935324897595848;13.212037556971325;79;False;8216025965;79;9489.004367977252;0.005859379553959686;9;95;428885;2513;1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2;0.14038961195490035;0.025
9;bb03c8f94299;37;1;2308925;2308925;0;8.837837837837839;8.837837837837839;143;248;1.7342657342657342;21.350362396874687;11.797000057692486;80;False;8216025965;80;3558.3771517047976;0.005859379553959686;9;96;428885;2513;3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1;0.14930323354457822;0.02702702702702703
10;d28d60955bf6;28;4;17981;10115;7866;100.32142857142857;96.32142857142857;25;54;2.16;14.3759374819711;0.0;0;True;17981;0;1.0;0.18750411915903248;4;4;15173;2845;3,1,1,4,3,1,2,2,4,2,1,1,1,1,1,1,2,4,3,3,3,1,2,3,4;0.575037499278844;0.14285714285714285
