METRICHE DELLE FAMIGLIE GRAVITAZIONALI
========================================================================================================================

Famiglie analizzate: 344
Famiglie con tronco dissipativo da subito: 77
Percentuale dissipative da subito: 0.2238

Media membri: 6.979651
Media nodi comuni: 19.389535
Media avg_v2 tronco: 1.847881
Media surplus finale: 24.010594

TOP 20 PER MEMBRI
------------------------------------------------------------------------------------------------------------------------
id=5166a862c128 | members=  62 | nodes=  78 | max_common=     8216025965 | steps=  63 | avg_v2=2.111111 | surplus=+33.147362 | surplus_step=+0.526149 | max_debt_trunk=0.000000 | diss=True
id=a20409475c9c | members=  61 | nodes=   7 | max_common=       71090621 | steps= 126 | avg_v2=1.793651 | surplus=+26.294725 | surplus_step=+0.208688 | max_debt_trunk=6.852638 | diss=False
id=9ab590894f04 | members=  58 | nodes=   5 | max_common=        5547689 | steps= 134 | avg_v2=1.753731 | surplus=+22.615025 | surplus_step=+0.168769 | max_debt_trunk=10.532338 | diss=False
id=ec808c2135fe | members=  57 | nodes=   1 | max_common=        1095839 | steps= 138 | avg_v2=1.731884 | surplus=+20.275175 | surplus_step=+0.146922 | max_debt_trunk=12.872188 | diss=False
id=a5c2c72234b6 | members=  56 | nodes=   1 | max_common=         730559 | steps= 139 | avg_v2=1.726619 | surplus=+19.690212 | surplus_step=+0.141656 | max_debt_trunk=13.457150 | diss=False
id=1cdc0b0c8ace | members=  42 | nodes=   1 | max_common=        1948157 | steps= 140 | avg_v2=1.735714 | surplus=+21.105250 | surplus_step=+0.150752 | max_debt_trunk=12.042113 | diss=False
id=b604d18230e8 | members=  41 | nodes=   1 | max_common=        1298771 | steps= 141 | avg_v2=1.730496 | surplus=+20.520287 | surplus_step=+0.145534 | max_debt_trunk=12.627075 | diss=False
id=a771b7133ae2 | members=  40 | nodes=   1 | max_common=         865847 | steps= 142 | avg_v2=1.725352 | surplus=+19.935325 | surplus_step=+0.140390 | max_debt_trunk=13.212038 | diss=False
id=bb03c8f94299 | members=  37 | nodes=   1 | max_common=        2308925 | steps= 143 | avg_v2=1.734266 | surplus=+21.350362 | surplus_step=+0.149303 | max_debt_trunk=11.797000 | diss=False
id=d28d60955bf6 | members=  28 | nodes=   4 | max_common=          17981 | steps=  25 | avg_v2=2.160000 | surplus=+14.375937 | surplus_step=+0.575037 | max_debt_trunk=0.000000 | diss=True
id=dbe9d33f49c6 | members=  27 | nodes=  36 | max_common=     5734125917 | steps=  33 | avg_v2=2.575758 | surplus=+32.696237 | surplus_step=+0.990795 | max_debt_trunk=0.000000 | diss=True
id=ef2cfc17ddb0 | members=  27 | nodes=   1 | max_common=          14741 | steps=  46 | avg_v2=1.891304 | surplus=+14.091725 | surplus_step=+0.306342 | max_debt_trunk=0.000000 | diss=True
id=d06c883baba3 | members=  25 | nodes= 100 | max_common=    30079718549 | steps=  70 | avg_v2=2.085714 | surplus=+35.052625 | surplus_step=+0.500752 | max_debt_trunk=0.000000 | diss=True
