start;log_step;log_value;h_step;h_value;loss;initial_debt;initial_debt_step;debt_at_log_descent;debt_step_at_log_descent;log_delta_at_log_descent;h_delta_at_log_descent;ratio_at_log_descent;v2_at_log_descent
3002707;2;1689023;141;33497429;139;8.532337551202076;71;9.797000057692486;80;-0.5753639598853422;0.05696729335986106;0.5625001040727583;3
4941897;1;3706423;108;357305909;107;10.797000057692486;80;11.797000057692486;80;-0.2876820050013009;0.21231799499869908;0.7500000505878613;2
2779817;1;2084863;106;357305909;105;12.212037556971325;79;12.797000057692486;80;-0.28768195253981865;0.004799297820760273;0.7500000899339777;2
3378047;34;3127295;139;33497429;105;8.797000057692486;80;12.797000057692486;80;-0.07712931819849089;1.9228706818015127;0.9257701269402113;3
3800303;32;3127295;137;33497429;105;8.627075056250177;78;12.797000057692486;80;-0.19491238674698863;1.8900501139741692;0.8229067524352663;3
3706423;3;3127295;107;357305909;104;11.797000057692486;80;12.797000057692486;80;-0.16989884693481372;0.3301011530651863;0.8437501601948834;3
4169725;1;1563647;105;357305909;104;11.797000057692486;80;13.797000057692486;80;-0.980829173070406;0.01917082692959582;0.37500002997799614;3
4809759;28;3127295;132;357305909;104;9.797000057692486;80;12.797000057692486;80;-0.43047856526367845;1.0695214347363233;0.6501978581463229;3
4893465;1;3670099;104;4368013;103;3.8135375281250887;39;4.797000057692486;80;-0.2876820043337247;0.20404926044997396;0.7500000510885436;2
1835049;1;1376287;103;4368013;102;5.797000057692486;80;6.797000057692486;80;-0.28768189080360607;0.21231810919639216;0.7500001362361441;2
3670099;2;2064431;103;4368013;101;4.797000057692486;80;6.212037556971325;79;-0.5753639935301216;0.13215475610929772;0.5625000851475669;3
3082295;3;2600687;103;58694153;100;6.797000057692486;80;7.6270750562501775;78;-0.16989880849031103;0.24513869078853645;0.8437501926324379;3
3792111;11;1281283;108;137088385;97;8.212037556971325;79;11.287225053365546;74;-1.0850609364457924;0.4525328117513183;0.3378811959881976;6
4128863;5;3919195;101;4368013;96;5.212037556971325;79;6.212037556971325;79;-0.052115790835919995;0.44788420916408;0.9492189496236615;4
4644971;3;3919195;99;4368013;96;5.042112555529016;77;6.212037556971325;79;-0.1698988534031276;0.4150636473180285;0.8437501547372417;2
1959595;3;1653409;96;4368013;93;7.212037556971325;79;7.797000057692486;80;-0.1698986020873754;0.12258264827320886;0.8437503667849734;2
2204545;1;1653409;94;4368013;93;7.042112555529016;77;7.797000057692486;80;-0.28768192124901226;0.08976182983272452;0.7500001134020853;2
1653409;1;1240057;93;4368013;92;7.797000057692486;80;8.797000057692486;80;-0.28768187084812347;0.21231812915187476;0.7500001512027574;2
1896063;16;1216223;108;137088385;92;9.212037556971325;79;11.362412549759767;69;-0.44402947624058164;0.631158020153638;0.6414465131169165;5
2844095;15;1216223;107;137088385;92;8.797000057692486;80;11.362412549759767;69;-0.8494947601516092;0.43321148588202973;0.4276309335658619;5
3370779;18;1216223;110;137088385;92;8.362412549759767;69;11.362412549759767;69;-1.019393720033257;0.480606279966743;0.36081362794772365;5
3792127;16;1216223;108;137088385;92;8.212037556971325;79;11.362412549759767;69;-1.1371769205048103;0.4380105758894075;0.32072317198237293;5
4266143;14;1216223;106;137088385;92;8.212037556971325;79;11.362412549759767;69;-1.2549599854616655;0.3202275109325541;0.28508725563114035;5
4588385;1;3441289;93;48486277;92;6.797000057692486;80;7.797000057692486;80;-0.2876819998045814;0.2123180001954168;0.7500000544854017;2
4734811;24;1216223;116;137088385;92;7.8721875540867075;75;11.362412549759767;69;-1.3591916554303758;0.38592084240615065;0.25686833117520425;5
3058923;3;2580967;94;48486277;91;6.797000057692486;80;8.212037556971325;79;-0.16989875831446355;0.5376199913249593;0.8437502349683206;2
3096647;10;2790131;100;4368013;90;5.6270750562501775;78;8.212037556971325;79;-0.104231365086493;1.1882498852740824;0.9010168094716641;3
1368249;1;1026187;90;137088385;89;11.212037556971325;79;11.797000057692486;80;-0.28768182883143645;0.004799421529146031;0.7500001827152806;2
