lambda;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.01;2499999;3.487790995116398;3.4789841915936766;141;141;11046;0;2488953;0.004418401767360707;0.0;0.9955815982326393;0;;32;181695;0.00880680352272141
0.02;2499999;3.487790995116398;3.473541789416716;141;141;15917;2;2484080;0.006366802546721019;8.00000320000128e-07;0.993632397452959;106;3378047;47;4906343;0.01424920569968228
0.03;2499999;3.487790995116398;3.4669781867912746;141;141;25152;3;2474844;0.01006080402432161;1.200000480000192e-06;0.9899379959751984;106;3378047;47;4906343;0.02081280832512333
0.04;2499999;3.487790995116398;3.4585169834067933;141;141;36130;4;2463865;0.014452005780802312;1.600000640000256e-06;0.9855463942185577;106;3378047;47;4906343;0.029274011709604683
0.05;2499999;3.487790995116398;3.4508977803591123;141;141;45762;6;2454231;0.01830480732192293;2.400000960000384e-06;0.9816927926771171;106;3378047;47;4906343;0.0368932147572859
0.06;2499999;3.487790995116398;3.443798577519431;141;141;53248;9;2446742;0.021299208519683407;3.600001440000576e-06;0.9786971914788766;106;3378047;47;4906343;0.04399241759696704
0.07;2499999;3.487790995116398;3.43792337516935;141;141;59275;10;2440714;0.023710009484003793;4.00000160000064e-06;0.9762859905143962;106;3378047;47;4906343;0.04986761994704798
0.08;2499999;3.487790995116398;3.430654972261989;141;141;66553;14;2433432;0.02662121064848426;5.600002240000896e-06;0.9733731893492757;106;3378047;47;4906343;0.05713602285440914
0.09;2499999;3.487790995116398;3.4238437695375077;141;141;72743;14;2427242;0.029097211638884655;5.600002240000896e-06;0.9708971883588754;106;3378047;47;4906343;0.06394722557889024
0.1;2499999;3.487790995116398;3.418101367240547;141;141;77705;16;2422278;0.03108201243280497;6.400002560001024e-06;0.968911587564635;106;3378047;48;2189311;0.06968962787585115
0.11;2499999;3.487790995116398;3.412718565087426;141;141;82310;19;2417670;0.03292401316960527;7.600003040001216e-06;0.9670683868273547;106;3378047;48;2189311;0.07507243002897201
0.12;2499999;3.487790995116398;3.405836162334465;141;141;87036;21;2412942;0.03481441392576557;8.400003360001345e-06;0.9651771860708744;106;3378047;48;2189311;0.0819548327819331
0.13;2499999;3.487790995116398;3.399586159834464;141;141;92287;26;2407686;0.0369148147659259;1.0400004160001664e-05;0.9630747852299141;106;3378047;48;2189311;0.08820483528193411
0.14;2499999;3.487790995116398;3.3891981556792623;141;141;107931;30;2392038;0.04317241726896691;1.200000480000192e-05;0.9568155827262331;106;3378047;48;2189311;0.09859283943713577
0.15;2499999;3.487790995116398;3.3837717535087015;141;141;112630;35;2387334;0.04505201802080721;1.400000560000224e-05;0.9549339819735928;106;3378047;48;1822367;0.10401924160769664
0.16;2499999;3.487790995116398;3.3752181500872602;141;141;119846;38;2380115;0.04793841917536767;1.5200006080002431e-05;0.9520463808185523;106;3378047;49;3270895;0.11257284502913802
0.17;2499999;3.487790995116398;3.369439347775739;141;141;124411;40;2375548;0.049764419905767965;1.600000640000256e-05;0.950219580087832;106;3378047;49;3270895;0.11835164734065894
0.18;2499999;3.487790995116398;3.3640377456150983;141;141;127551;41;2372407;0.05102042040816816;1.6400006560002625e-05;0.9489631795852719;106;3378047;49;3270895;0.1237532495012998
