ANALISI PEGGIORAMENTI LAMBDA=0.45
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
DEBT_LOOKAHEAD = 80
LAMBDA = 0.45

Peggioramenti trovati: 129
Loss medio: 47.031008
Initial debt medio: 6.462500
Future debt at log step medio: 8.033661
Ratio v2=1 medio fino a H descent: 0.587405

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   4941897 | log_step=   1 | h_step= 108 | loss= 107 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=6086.675 | ratio_1=0.694444
n=   3082295 | log_step=   3 | h_step= 108 | loss= 105 | init_debt=6.797000 | debt_log=7.627075 | debt_delta_log=+0.830075 | h_delta_log=+0.203635 | max_ratio=1925.864 | ratio_1=0.611111
n=   3378047 | log_step=  34 | h_step= 139 | loss= 105 | init_debt=8.797000 | debt_log=12.797000 | debt_delta_log=+4.000000 | h_delta_log=+1.722871 | max_ratio=8904.470 | ratio_1=0.690647
n=   3800303 | log_step=  32 | h_step= 137 | loss= 105 | init_debt=8.627075 | debt_log=12.797000 | debt_delta_log=+4.169925 | h_delta_log=+1.681554 | max_ratio=7915.084 | ratio_1=0.686131
n=   3706423 | log_step=   3 | h_step= 107 | loss= 104 | init_debt=11.797000 | debt_log=12.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.280101 | max_ratio=8115.565 | ratio_1=0.700935
n=   4809759 | log_step=  28 | h_step= 132 | loss= 104 | init_debt=9.797000 | debt_log=12.797000 | debt_delta_log=+3.000000 | h_delta_log=+0.919521 | max_ratio=6253.893 | ratio_1=0.681818
n=   4893465 | log_step=   1 | h_step= 104 | loss= 103 | init_debt=3.813538 | debt_log=4.797000 | debt_delta_log=+0.983463 | h_delta_log=+0.154876 | max_ratio=169.077 | ratio_1=0.644231
n=   1835049 | log_step=   1 | h_step= 103 | loss= 102 | init_debt=5.797000 | debt_log=6.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=450.871 | ratio_1=0.650485
n=   3670099 | log_step=   2 | h_step= 103 | loss= 101 | init_debt=4.797000 | debt_log=6.212038 | debt_delta_log=+1.415037 | h_delta_log=+0.061403 | max_ratio=225.435 | ratio_1=0.650485
n=   4128863 | log_step=   5 | h_step= 101 | loss=  96 | init_debt=5.212038 | debt_log=6.212038 | debt_delta_log=+1.000000 | h_delta_log=+0.397884 | max_ratio=200.387 | ratio_1=0.663366
n=   4644971 | log_step=   3 | h_step=  99 | loss=  96 | init_debt=5.042113 | debt_log=6.212038 | debt_delta_log=+1.169925 | h_delta_log=+0.356567 | max_ratio=178.122 | ratio_1=0.646465
n=   1896063 | log_step=  16 | h_step= 109 | loss=  93 | init_debt=9.212038 | debt_log=11.362413 | debt_delta_log=+2.150375 | h_delta_log=+0.523639 | max_ratio=4333.203 | ratio_1=0.678899
n=   2844095 | log_step=  15 | h_step= 107 | loss=  92 | init_debt=8.797000 | debt_log=11.362413 | debt_delta_log=+2.565412 | h_delta_log=+0.304941 | max_ratio=2888.802 | ratio_1=0.682243
