start;log_step;log_value;h_step;h_value;loss;initial_debt;initial_debt_step;future_debt_at_log_step;future_debt_step_at_log_step;future_debt_delta_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_100_v2
4941897;1;3706423;108;357305909;107;10.797000057692486;80;11.797000057692486;80;1.0;-0.2876820050013009;0.1623179949986991;-0.4150374992788439;30079718549;95;6086.674519723903;1.5277777777777777;0.6944444444444444;10;75;16;13;4;2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,1,1,1,6,1,1,3,2
3082295;3;2600687;108;6964199;105;6.797000057692486;80;7.6270750562501775;78;0.8300749985576914;-0.16989880849031103;0.2036349408606501;-0.24511249783653177;5936080241;99;1925.863760931384;1.5740740740740742;0.6111111111111112;6;66;28;11;3;1,1,3,1,1,1,2,1,1,1,3,1,1,1,3,2,1,1,1,1,2,1,1,1,2,1,3,1,2,3,1,2,1,3,1,1,2,1,1,3,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,3,1,1,2,2,1,1,2,2,1,1,1,3,4,1,1,1,1,1,2,1,1,1,1,3,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2
3378047;34;3127295;139;33497429;105;8.797000057692486;80;12.797000057692486;80;4.0;-0.07712931819849089;1.7228706818015092;-0.11127497548069698;30079718549;125;8904.470112168363;1.5611510791366907;0.6906474820143885;10;96;20;16;7;1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2
3800303;32;3127295;137;33497429;105;8.627075056250177;78;12.797000057692486;80;4.169925001442309;-0.19491238674698863;1.6815538639020502;-0.2811999769230056;30079718549;123;7915.0842838057915;1.562043795620438;0.6861313868613139;10;94;21;15;7;1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1
3706423;3;3127295;107;357305909;104;11.797000057692486;80;12.797000057692486;80;1.0;-0.16989884693481372;0.2801011530651863;-0.24511249783653177;30079718549;94;8115.565478899737;1.5233644859813085;0.7009345794392523;10;75;15;13;4;1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,1,1,1,6,1,1,3,2,3
4809759;28;3127295;132;357305909;104;9.797000057692486;80;12.797000057692486;80;3.0;-0.43047856526367845;0.9195214347363216;-0.6210499798076299;30079718549;119;6253.89308466391;1.5378787878787878;0.6818181818181818;10;90;22;15;5;1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2
4893465;1;3670099;104;4368013;103;3.8135375281250887;39;4.797000057692486;80;0.9834625295673973;-0.2876820043337247;0.1548761339716041;-0.4150374992788439;827370449;93;169.07660502322997;1.5865384615384615;0.6442307692307693;8;67;25;6;6;2,1,3,1,1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1
1835049;1;1376287;103;4368013;102;5.797000057692486;80;6.797000057692486;80;1.0;-0.28768189080360607;0.16231810919639394;-0.4150374992788439;827370449;92;450.87103886599215;1.5728155339805825;0.6504854368932039;8;67;25;5;6;2,1,1,1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1,2
3670099;2;2064431;103;4368013;101;4.797000057692486;80;6.212037556971325;79;1.4150374992788386;-0.5753639935301216;0.06140288114535586;-0.8300749985576878;827370449;92;225.43545800808099;1.5825242718446602;0.6504854368932039;8;67;24;6;6;1,3,1,1,1,2,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1,2
4128863;5;3919195;101;4368013;96;5.212037556971325;79;6.212037556971325;79;1.0;-0.052115790835919995;0.39788420916408;-0.07518749639421962;827370449;90;200.38699491845577;1.5841584158415842;0.6633663366336634;8;67;22;5;7;1,1,1,1,4,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4,1,1,1,1,2,1,5,1,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,3,1,3,1,1,1,2,2,3
