lambda;mu;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.35;0.05;2499999;3.487790995116398;3.081727632691053;141;140;368286;101;2131612;0.14731445892578357;4.0400016160006465e-05;0.8526451410580564;107;4941897;80;2943135;0.40606336242534496
0.35;0.1;2499999;3.487790995116398;2.956238782495513;141;139;400800;111;2099088;0.16032006412802566;4.44000177600071e-05;0.8396355358542144;97;3378047;80;601727;0.531552212620885
0.35;0.15;2499999;3.487790995116398;2.880683552273421;141;127;416463;118;2083418;0.16658526663410667;4.720001888000755e-05;0.8333675333470133;92;3378047;80;401151;0.6071074428429771
0.35;0.2;2499999;3.487790995116398;2.8103475241390097;141;87;471099;137;2028763;0.18843967537587014;5.480002192000877e-05;0.8115055246022098;83;1859241;80;45127;0.6774434709773884
0.35;0.25;2499999;3.487790995116398;2.755133902053561;141;81;501277;150;1998572;0.2005108802043521;6.00000240000096e-05;0.7994291197716479;80;1859241;80;45127;0.7326570930628372
0.35;0.3;2499999;3.487790995116398;2.693813077525231;141;77;525190;169;1974640;0.21007608403043362;6.760002704001082e-05;0.7898563159425264;76;1859241;80;35655;0.793977917591167
0.35;0.4;2499999;3.487790995116398;1.724792689917076;141;65;1249948;536199;713852;0.49997939999176;0.21447968579187432;0.2855409142163657;64;1859241;112;3137471;1.762998305199322
0.35;0.5;2499999;3.487790995116398;1.869995547998219;141;62;1249970;614955;635074;0.49998819999528;0.24598209839283935;0.25402970161188065;61;1501353;137;2533535;1.6177954471181788
0.4;0.05;2499999;3.487790995116398;3.0294108117643246;141;140;390621;118;2109260;0.156248462499385;4.720001888000755e-05;0.843704337481735;104;3378047;80;1784859;0.45838018335207337
0.4;0.1;2499999;3.487790995116398;2.8843251537300616;141;139;446608;125;2053266;0.17864327145730857;5.0000020000008e-05;0.8213067285226914;131;3002707;80;601727;0.6034658413863365
