lambda;mu;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.3;0.0;2499999;3.487790995116398;3.2302532921013167;141;141;305222;91;2194686;0.12208884883553954;3.640001456000583e-05;0.8778747511499004;108;4941897;50;2633839;0.2575377030150812
0.3;0.01;2499999;3.487790995116398;3.2123040849216338;141;141;313107;87;2186805;0.12524285009714003;3.480001392000557e-05;0.8747223498889399;108;4941897;75;2036783;0.27548691019476407
0.3;0.02;2499999;3.487790995116398;3.193720877488351;141;140;318451;89;2181459;0.12738045095218037;3.56000142400057e-05;0.8725839490335796;108;4941897;78;824347;0.2940701176280471
0.3;0.03;2499999;3.487790995116398;3.1659972663989064;141;140;336644;86;2163269;0.13465765386306155;3.44000137600055e-05;0.8653079461231784;108;4941897;78;824347;0.3217937287174915
0.3;0.04;2499999;3.487790995116398;3.1474160589664235;141;140;341157;86;2158756;0.13646285458514185;3.44000137600055e-05;0.8635027454010982;107;4941897;79;1784859;0.34037493614997444
0.3;0.05;2499999;3.487790995116398;3.1302844521137807;141;140;345027;88;2154884;0.1380108552043421;3.520001408000563e-05;0.8619539447815779;107;4941897;80;2943135;0.3575065430026172
0.3;0.06;2499999;3.487790995116398;3.1090440436176174;141;140;351085;88;2148826;0.14043405617362248;3.520001408000563e-05;0.8595307438122975;107;4941897;80;2943135;0.3787469514987806
0.3;0.07;2499999;3.487790995116398;3.0913224365289746;141;140;354734;90;2145175;0.1418936567574627;3.600001440000576e-05;0.8580703432281372;107;4941897;80;1784859;0.3964685585874234
0.3;0.08;2499999;3.487790995116398;3.0578644231457695;141;140;362442;91;2137466;0.1449768579907432;3.640001456000583e-05;0.8549867419946968;104;3378047;80;1784859;0.4299265719706288
0.3;0.09;2499999;3.487790995116398;3.038321615328646;141;140;366849;93;2133057;0.14673965869586347;3.720001488000595e-05;0.8532231412892565;104;3378047;80;651335;0.4494693797877519
0.3;0.1;2499999;3.487790995116398;3.0203432081372834;141;139;370535;93;2129371;0.1482140592856237;3.720001488000595e-05;0.8517487406994962;104;3378047;80;601727;0.46744778697911477
0.31;0.0;2499999;3.487790995116398;3.2204956881982754;141;141;311611;94;2188294;0.12464444985777995;3.760001504000602e-05;0.8753179501271801;108;4941897;50;2633839;0.26729530691812275
