FINE SCAN H = log(n) + lambda*Dmax80(n) - mu*Cmax80(n)
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80
LAMBDAS = [0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4]
MUS = [0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1]
CPU_COUNT = 8
WORKERS = 7
CHUNK_SIZE = 25000
Tempo totale secondi = 158.75

Candidato precedente da battere:
lambda=0.35 | mu=0.05 | avg_H=3.081728 | max_H=140 | improved=368286 | worsened=101

Migliori per pochi peggioramenti
------------------------------------------------------------------------------------------------------------------------
lambda=0.30 | mu=0.04 | avg_H=3.147416 | max_H=140 | improved=  341157 | worsened=      86 | worst_loss= 107 | score=+0.340375 | worst_n=4941897 | best_n=1784859
lambda=0.30 | mu=0.03 | avg_H=3.165997 | max_H=140 | improved=  336644 | worsened=      86 | worst_loss= 108 | score=+0.321794 | worst_n=4941897 | best_n=824347
lambda=0.30 | mu=0.01 | avg_H=3.212304 | max_H=141 | improved=  313107 | worsened=      87 | worst_loss= 108 | score=+0.275487 | worst_n=4941897 | best_n=2036783
lambda=0.30 | mu=0.06 | avg_H=3.109044 | max_H=140 | improved=  351085 | worsened=      88 | worst_loss= 107 | score=+0.378747 | worst_n=4941897 | best_n=2943135
lambda=0.30 | mu=0.05 | avg_H=3.130284 | max_H=140 | improved=  345027 | worsened=      88 | worst_loss= 107 | score=+0.357507 | worst_n=4941897 | best_n=2943135
lambda=0.31 | mu=0.04 | avg_H=3.139374 | max_H=140 | improved=  345410 | worsened=      88 | worst_loss= 107 | score=+0.348417 | worst_n=4941897 | best_n=1784859
lambda=0.30 | mu=0.02 | avg_H=3.193721 | max_H=140 | improved=  318451 | worsened=      89 | worst_loss= 108 | score=+0.294070 | worst_n=4941897 | best_n=824347
lambda=0.30 | mu=0.07 | avg_H=3.091322 | max_H=140 | improved=  354734 | worsened=      90 | worst_loss= 107 | score=+0.396469 | worst_n=4941897 | best_n=1784859
lambda=0.31 | mu=0.03 | avg_H=3.159282 | max_H=140 | improved=  339566 | worsened=      90 | worst_loss= 108 | score=+0.328509 | worst_n=4941897 | best_n=824347
lambda=0.31 | mu=0.01 | avg_H=3.200792 | max_H=141 | improved=  327480 | worsened=      90 | worst_loss= 108 | score=+0.286999 | worst_n=4941897 | best_n=2036783
lambda=0.30 | mu=0.08 | avg_H=3.057864 | max_H=140 | improved=  362442 | worsened=      91 | worst_loss= 104 | score=+0.429927 | worst_n=3378047 | best_n=1784859
lambda=0.31 | mu=0.06 | avg_H=3.102003 | max_H=140 | improved=  353582 | worsened=      91 | worst_loss= 107 | score=+0.385788 | worst_n=4941897 | best_n=2943135
lambda=0.31 | mu=0.05 | avg_H=3.121558 | max_H=140 | improved=  349348 | worsened=      91 | worst_loss= 107 | score=+0.366233 | worst_n=4941897 | best_n=2943135
lambda=0.32 | mu=0.04 | avg_H=3.132885 | max_H=140 | improved=  347855 | worsened=      91 | worst_loss= 107 | score=+0.354906 | worst_n=4941897 | best_n=4519375
lambda=0.32 | mu=0.02 | avg_H=3.175049 | max_H=140 | improved=  336872 | worsened=      91 | worst_loss= 108 | score=+0.312742 | worst_n=4941897 | best_n=824347
