ANALISI PEGGIORAMENTI CANDIDATO PRUDENTE
========================================================================================================================

H(n) = log(n) + 0.3*Dmax80(n) - 0.04*Cmax80(n)
LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80

Peggioramenti trovati: 86
Loss medio: 25.744186
Initial Dmax medio: 6.575386
Initial Cmax medio: 2.791062
Dmax at log step medio: 8.123246
Cmax at log step medio: 2.437627
Ratio v2=1 medio fino a H descent: 0.533168
Max ratio medio: 1054.573598

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   4941897 | log_step=   1 | h_step= 108 | loss= 107 | dmax0=10.797000 | cmax0=0.660150 | dmax_log=11.797000 | cmax_log=0.245112 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028919 | max_ratio=6086.675 | ratio_1=0.694444
n=   3378047 | log_step=  34 | h_step= 139 | loss= 105 | dmax0=8.797000 | cmax0=0.111275 | dmax_log=12.797000 | cmax_log=0.000000 | dmax_delta=+4.000000 | cmax_delta=-0.111275 | h_delta_log=+1.127322 | max_ratio=8904.470 | ratio_1=0.690647
n=   3800303 | log_step=  32 | h_step= 137 | loss= 105 | dmax0=8.627075 | cmax0=0.281200 | dmax_log=12.797000 | cmax_log=0.000000 | dmax_delta=+4.169925 | cmax_delta=-0.281200 | h_delta_log=+1.067313 | max_ratio=7915.084 | ratio_1=0.686131
n=   4809759 | log_step=  28 | h_step= 133 | loss= 105 | dmax0=9.797000 | cmax0=0.621050 | dmax_log=12.797000 | cmax_log=0.000000 | dmax_delta=+3.000000 | cmax_delta=-0.621050 | h_delta_log=+0.494363 | max_ratio=6253.893 | ratio_1=0.676692
n=   3706423 | log_step=   3 | h_step= 107 | loss= 104 | dmax0=11.797000 | cmax0=0.245112 | dmax_log=12.797000 | cmax_log=0.000000 | dmax_delta=+1.000000 | cmax_delta=-0.245112 | h_delta_log=+0.139906 | max_ratio=8115.565 | ratio_1=0.700935
n=   3082295 | log_step=   3 | h_step= 104 | loss= 101 | dmax0=6.797000 | cmax0=0.245112 | dmax_log=7.627075 | cmax_log=0.000000 | dmax_delta=+0.830075 | cmax_delta=-0.245112 | h_delta_log=+0.088928 | max_ratio=1925.864 | ratio_1=0.615385
n=   1896063 | log_step=  16 | h_step= 110 | loss=  94 | dmax0=9.212038 | cmax0=1.375937 | dmax_log=11.362413 | cmax_log=0.735337 | dmax_delta=+2.150375 | cmax_delta=-0.640600 | h_delta_log=+0.226707 | max_ratio=4333.203 | ratio_1=0.672727
n=    769641 | log_step=   1 | h_step=  89 | loss=  88 | dmax0=12.797000 | cmax0=0.415037 | dmax_log=13.797000 | cmax_log=0.000000 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=10675.141 | ratio_1=0.662921
n=    912167 | log_step=   5 | h_step=  93 | loss=  88 | dmax0=11.797000 | cmax0=0.320300 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+1.415037 | cmax_delta=-0.075187 | h_delta_log=+0.375404 | max_ratio=9007.151 | ratio_1=0.655914
n=   4993319 | log_step=   5 | h_step=  93 | loss=  88 | dmax0=7.587975 | cmax0=1.621050 | dmax_log=9.797000 | cmax_log=1.545862 | dmax_delta=+2.209025 | cmax_delta=-0.075187 | h_delta_log=+0.613599 | max_ratio=844.419 | ratio_1=0.645161
n=   1216223 | log_step=   6 | h_step=  93 | loss=  87 | dmax0=11.362413 | cmax0=0.735337 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+1.849625 | cmax_delta=-0.490225 | h_delta_log=+0.234699 | max_ratio=6755.361 | ratio_1=0.666667
