start;log_step;log_value;h_step;h_value;loss;initial_dmax;initial_dmax_step;initial_cmax;initial_cmax_step;initial_max_single_v2;initial_max_single_v2_step;dmax_at_log_step;dmax_step_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_step_at_log_step;cmax_delta_at_log_step;max_single_v2_at_log_step;max_single_v2_step_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_120_v2
4941897;1;3706423;108;357305909;107;10.797000057692486;80;0.6601499971153757;4;4;42;11.797000057692486;80;1.0;0.24511249783653177;3;-0.4150374992788439;4;41;-0.2876820050013009;0.028919494969852824;-0.4150374992788439;30079718549;95;6086.674519723903;1.5277777777777777;0.6944444444444444;10;75;16;13;4;2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,1,1,1,6,1,1,3,2,3,1,1,1,1,1,1,5
3378047;34;3127295;139;33497429;105;8.797000057692486;80;0.11127497548069698;34;5;28;12.797000057692486;80;4.0;0.0;0;-0.11127497548069698;4;38;-0.07712931819849089;1.127321680820737;-0.11127497548069698;30079718549;125;8904.470112168363;1.5611510791366907;0.6906474820143885;10;96;20;16;7;1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2
3800303;32;3127295;137;33497429;105;8.627075056250177;78;0.2811999769230056;32;5;26;12.797000057692486;80;4.169925001442309;0.0;0;-0.2811999769230056;4;38;-0.19491238674698863;1.0673131127626243;-0.2811999769230056;30079718549;123;7915.0842838057915;1.562043795620438;0.6861313868613139;10;94;21;15;7;1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1
4809759;28;3127295;133;33497429;105;9.797000057692486;80;0.6210499798076299;28;5;22;12.797000057692486;80;3.0;0.0;0;-0.6210499798076299;4;38;-0.43047856526367845;0.49436343392862664;-0.6210499798076299;30079718549;119;6253.89308466391;1.5639097744360901;0.6766917293233082;10;90;22;15;6;1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,1,1,1,6
3706423;3;3127295;107;357305909;104;11.797000057692486;80;0.24511249783653177;3;4;41;12.797000057692486;80;1.0;0.0;0;-0.24511249783653177;4;38;-0.16989884693481372;0.13990565297864754;-0.24511249783653177;30079718549;94;8115.565478899737;1.5233644859813085;0.7009345794392523;10;75;15;13;4;1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,1,1,1,6,1,1,3,2,3,1,1,1,1,1,1,5
3082295;3;2600687;104;44020615;101;6.797000057692486;80;0.24511249783653177;3;4;71;7.6270750562501775;78;0.8300749985576914;0.0;0;-0.24511249783653177;4;68;-0.16989880849031103;0.08892819099045765;-0.24511249783653177;5936080241;99;1925.863760931384;1.5480769230769231;0.6153846153846154;6;64;27;11;2;1,1,3,1,1,1,2,1,1,1,3,1,1,1,3,2,1,1,1,1,2,1,1,1,2,1,3,1,2,3,1,2,1,3,1,1,2,1,1,3,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,3,1,1,2,2,1,1,2,2,1,1,1,3,4,1,1,1,1,1,2,1,1,1,1,3,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,6,2,3,2
1896063;16;1216223;110;77112217;94;9.212037556971325;79;1.3759374819710999;25;5;14;11.362412549759767;69;2.150374992788443;0.7353374935095953;9;-0.6405999884615046;5;71;-0.44402947624058164;0.22670702113441132;-0.6405999884615028;8216025965;101;4333.203044941018;1.5363636363636364;0.6727272727272727;7;74;23;8;5;1,1,1,1,1,1,2,1,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2
769641;1;577231;89;102816289;88;12.797000057692486;80;0.4150374992788439;1;5;67;13.797000057692486;80;1.0;0.0;0;-0.4150374992788439;5;66;-0.28768163934951474;0.028919860621639006;-0.4150374992788439;8216025965;81;10675.140701963643;1.5056179775280898;0.6629213483146067;7;59;21;6;3;2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2
912167;5;865847;93;77112217;88;11.797000057692486;80;0.3202999942307514;8;5;70;13.212037556971325;79;1.4150374992788386;0.24511249783653177;3;-0.07518749639421962;5;65;-0.052114868757305643;0.3754038808821147;-0.07518749639421962;8216025965;84;9007.151064443244;1.5161290322580645;0.6559139784946236;7;61;22;7;3;1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2
4993319;5;4739753;93;26382587;88;7.587975038942432;54;1.6210499798076299;28;5;27;9.797000057692486;80;2.2090250187500544;1.5458624834134085;23;-0.0751874963942214;5;22;-0.05211579427826507;0.6135992112025201;-0.07518749639421962;4216452893;85;844.4188911223176;1.5591397849462365;0.6451612903225806;11;60;22;6;5;1,1,2,1,3,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,2,2,3,1,5,3,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,5,2,1,1,1,1,1,1,2,2,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,4,1,5
