lambda;mu;theta;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.28;0.02;0.0;2499999;3.487790995116398;3.2098340839336337;141;141;309198;85;2190716;0.1236792494716998;3.400001360000544e-05;0.8762867505147002;108;4941897;78;824347;0.2779569111827645
0.28;0.02;0.05;2499999;3.487790995116398;3.2037728815091526;141;141;321027;81;2178891;0.12841085136434055;3.240001296000518e-05;0.8715567486226995;108;4941897;78;824347;0.28401811360724544
0.28;0.02;0.1;2499999;3.487790995116398;3.199185679674272;141;141;329696;81;2170222;0.1318784527513811;3.240001296000518e-05;0.8680891472356589;108;4941897;78;824347;0.2886053154421262
0.28;0.02;0.15;2499999;3.487790995116398;3.1952144780857914;141;141;337299;80;2162620;0.1349196539678616;3.200001280000512e-05;0.8650483460193384;108;4941897;78;824347;0.29257651703060683
0.28;0.02;0.2;2499999;3.487790995116398;3.1887328754931503;141;141;350423;77;2149499;0.14016925606770242;3.080001232000493e-05;0.8597999439199776;108;4941897;78;824347;0.29905811962324785
0.28;0.02;0.25;2499999;3.487790995116398;3.1786640714656285;141;141;372142;77;2127780;0.14885685954274383;3.080001232000493e-05;0.8511123404449362;108;4941897;78;824347;0.30912692365076944
0.28;0.02;0.3;2499999;3.487790995116398;3.170140468056187;141;140;387433;77;2112489;0.1549732619893048;3.080001232000493e-05;0.8449959379983752;108;4941897;78;824347;0.3176505270602108
0.28;0.03;0.0;2499999;3.487790995116398;3.18772847509139;141;140;315953;84;2183962;0.1263812505525002;3.360001344000538e-05;0.8735851494340597;108;4941897;78;824347;0.300062520025008
0.28;0.03;0.05;2499999;3.487790995116398;3.1805764722305887;141;140;329938;83;2169978;0.1319752527901011;3.320001328000531e-05;0.8679915471966189;108;4941897;78;824347;0.30721452288580914
0.28;0.03;0.1;2499999;3.487790995116398;3.176620470648188;141;140;337091;81;2162827;0.13483645393458157;3.240001296000518e-05;0.8651311460524584;108;4941897;78;824347;0.3111705244682098
0.28;0.03;0.15;2499999;3.487790995116398;3.1726008690403478;141;140;344445;79;2155475;0.13777805511122204;3.160001264000506e-05;0.862190344876138;108;4941897;78;824347;0.3151901260760504
0.28;0.03;0.2;2499999;3.487790995116398;3.161864864745946;141;140;368125;77;2131797;0.14725005890002357;3.080001232000493e-05;0.8527191410876565;108;4941897;78;824347;0.32592613037045215
0.28;0.03;0.25;2499999;3.487790995116398;3.1557692623077047;141;140;379457;77;2120465;0.15178286071314429;3.080001232000493e-05;0.8481863392745357;108;4941897;78;824347;0.3320217328086931
0.28;0.03;0.3;2499999;3.487790995116398;3.145942058376823;141;140;396644;76;2103279;0.1586576634630654;3.0400012160004862e-05;0.8413119365247747;108;4941897;78;824347;0.34184893673957467
0.28;0.04;0.0;2499999;3.487790995116398;3.1708040683216274;141;140;319984;84;2179931;0.12799365119746048;3.360001344000538e-05;0.8719727487890995;108;4941897;79;1784859;0.3169869267947707
0.28;0.04;0.05;2499999;3.487790995116398;3.162451264980506;141;140;336488;83;2163428;0.13459525383810153;3.320001328000531e-05;0.8653715461486184;108;4941897;79;1784859;0.32533973013589207
0.28;0.04;0.1;2499999;3.487790995116398;3.1595368638147456;141;140;341754;83;2158162;0.13670165468066187;3.320001328000531e-05;0.8632651453060581;108;4941897;79;1784859;0.32825413130165254
0.28;0.04;0.15;2499999;3.487790995116398;3.1551152620461047;141;140;349667;80;2150252;0.1398668559467424;3.200001280000512e-05;0.8601011440404576;108;4941897;79;1784859;0.33267573307029324
0.28;0.04;0.2;2499999;3.487790995116398;3.144503657801463;141;140;373028;77;2126894;0.14921125968450388;3.080001232000493e-05;0.8507579403031761;108;4941897;79;1784859;0.34328733731493494
0.28;0.04;0.25;2499999;3.487790995116398;3.137943255177302;141;140;384706;77;2115216;0.15388246155298463;3.080001232000493e-05;0.8460867384346954;108;4941897;79;1784859;0.34984773993909596
0.28;0.04;0.3;2499999;3.487790995116398;3.1271288508515402;141;140;402895;77;2097027;0.16115806446322578;3.080001232000493e-05;0.8388111355244542;108;4941897;79;1784859;0.3606621442648577
0.28;0.05;0.0;2499999;3.487790995116398;3.1528468611387446;141;140;324457;84;2175458;0.12978285191314076;3.360001344000538e-05;0.8701835480734192;107;4941897;80;2943135;0.3349441339776536
0.28;0.05;0.05;2499999;3.487790995116398;3.144652057860823;141;140;340856;83;2159060;0.13634245453698182;3.320001328000531e-05;0.8636243454497382;107;4941897;80;2943135;0.3431389372555749
0.28;0.05;0.1;2499999;3.487790995116398;3.1416468566587428;141;140;345964;84;2153951;0.13838565535426214;3.360001344000538e-05;0.8615807446322978;107;4941897;80;2943135;0.3461441384576554
0.28;0.05;0.15;2499999;3.487790995116398;3.1366092546437017;141;140;354910;80;2145009;0.1419640567856227;3.200001280000512e-05;0.8580039432015772;107;4941897;80;2943135;0.3511817404726962
0.28;0.05;0.2;2499999;3.487790995116398;3.12606205042482;141;140;377886;79;2122034;0.15115446046178418;3.160001264000506e-05;0.8488139395255758;107;4941897;80;2943135;0.3617289446915779
0.28;0.05;0.25;2499999;3.487790995116398;3.1155456462182585;141;140;397480;77;2102442;0.15899206359682544;3.080001232000493e-05;0.8409771363908546;107;4941897;80;2943135;0.37224534889813954
0.28;0.05;0.3;2499999;3.487790995116398;3.106659242663697;141;140;409974;82;2089943;0.16398966559586625;3.280001312000525e-05;0.8359775343910137;107;4941897;80;2943135;0.381131752452701
0.28;0.06;0.0;2499999;3.487790995116398;3.1292440516976208;141;140;332746;85;2167168;0.1330984532393813;3.400001360000544e-05;0.8668675467470187;107;4941897;80;2943135;0.35854694341877735
0.28;0.06;0.05;2499999;3.487790995116398;3.1230224492089795;141;140;346391;83;2153525;0.13855645542258216;3.320001328000531e-05;0.8614103445641378;107;4941897;80;2943135;0.36476854590741836
0.28;0.06;0.1;2499999;3.487790995116398;3.119460047784019;141;140;352151;84;2147764;0.14086045634418254;3.360001344000538e-05;0.8591059436423775;107;4941897;80;2943135;0.3683309473323789
0.28;0.06;0.15;2499999;3.487790995116398;3.1144592457836984;141;140;361017;82;2138900;0.14440685776274312;3.280001312000525e-05;0.8555603422241369;107;4941897;80;1784859;0.37333174933269975
0.28;0.06;0.2;2499999;3.487790995116398;3.1020836408334564;141;140;386251;80;2113668;0.15450046180018473;3.200001280000512e-05;0.8454675381870153;107;4941897;80;1784859;0.38570735428294173
0.28;0.06;0.25;2499999;3.487790995116398;3.0916824366729747;141;140;405525;78;2094396;0.16221006488402595;3.120001248000499e-05;0.8377587351034941;107;4941897;80;1784859;0.39610855844342335
0.28;0.06;0.3;2499999;3.487790995116398;3.1110792444316977;141;140;419313;33016;2047670;0.16772526709010685;0.013206405282562114;0.8190683276273311;107;4941897;80;1784859;0.37671175068470025
0.3;0.02;0.0;2499999;3.487790995116398;3.193720877488351;141;140;318451;89;2181459;0.12738045095218037;3.56000142400057e-05;0.8725839490335796;108;4941897;78;824347;0.2940701176280471
0.3;0.02;0.05;2499999;3.487790995116398;3.18748847499539;141;140;332257;87;2167655;0.13290285316114125;3.480001392000557e-05;0.8670623468249388;108;4941897;78;824347;0.30030252012100805
0.3;0.02;0.1;2499999;3.487790995116398;3.1838100735240293;141;140;338509;87;2161403;0.13540365416146166;3.480001392000557e-05;0.8645615458246183;108;4941897;78;824347;0.3039809215923686
0.3;0.02;0.15;2499999;3.487790995116398;3.1792576717030685;141;140;347183;84;2152732;0.13887325554930222;3.360001344000538e-05;0.8610931444372578;108;4941897;78;824347;0.30853332341332934
0.3;0.02;0.2;2499999;3.487790995116398;3.168386867354747;141;140;370929;84;2128986;0.14837165934866373;3.360001344000538e-05;0.8515947406378963;108;4941897;78;824347;0.3194041277616511
0.3;0.02;0.25;2499999;3.487790995116398;3.161424064569626;141;140;383328;80;2116591;0.15333126133250452;3.200001280000512e-05;0.8466367386546955;108;4941897;78;824347;0.32636693054677224
0.3;0.02;0.3;2499999;3.487790995116398;3.1510184604073843;141;140;401122;81;2098796;0.16044886417954568;3.240001296000518e-05;0.8395187358074944;108;4941897;78;824347;0.33677253470901386
0.3;0.03;0.0;2499999;3.487790995116398;3.1659972663989064;141;140;336644;86;2163269;0.13465765386306155;3.44000137600055e-05;0.8653079461231784;108;4941897;78;824347;0.3217937287174915
0.3;0.03;0.05;2499999;3.487790995116398;3.163756465502586;141;140;339934;86;2159979;0.13597365438946177;3.44000137600055e-05;0.8639919455967783;108;4941897;78;824347;0.32403452961381185
0.3;0.03;0.1;2499999;3.487790995116398;3.1598692639477055;141;140;346715;85;2153199;0.1386860554744222;3.400001360000544e-05;0.8612799445119778;108;4941897;78;824347;0.32792173116869244
0.3;0.03;0.15;2499999;3.487790995116398;3.155418462167385;141;140;354719;85;2145195;0.1418876567550627;3.400001360000544e-05;0.8580783432313372;108;4941897;78;824347;0.3323725329490132
0.3;0.03;0.2;2499999;3.487790995116398;3.144206857682743;141;140;378817;84;2121098;0.15152686061074425;3.360001344000538e-05;0.8484395393758157;108;4941897;78;824347;0.34358413743365496
0.3;0.03;0.25;2499999;3.487790995116398;3.1343888537555413;141;140;397753;82;2102164;0.15910126364050545;3.280001312000525e-05;0.8408659363463745;108;4941897;78;824347;0.35340214136085657
0.3;0.03;0.3;2499999;3.487790995116398;3.12410684964274;141;140;413137;85;2086777;0.16525486610194645;3.400001360000544e-05;0.8347111338844535;108;4941897;78;824347;0.3636841454736582
