SCAN H = log(n) + lambda*Dmax80(n) - mu*Cmax80(n) + theta*Pmax80(n)
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80
LAMBDAS = [0.28, 0.3, 0.32, 0.34]
MUS = [0.02, 0.03, 0.04, 0.05, 0.06]
THETAS = [0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3]
CPU_COUNT = 8
WORKERS = 7
CHUNK_SIZE = 25000
Tempo totale secondi = 213.47

Candidato precedente:
lambda=0.30 | mu=0.04 | theta=0.00 | avg_H=3.147416 | max_H=140 | improved=341157 | worsened=86

Migliori per pochi peggioramenti
------------------------------------------------------------------------------------------------------------------------
lambda=0.28 | mu=0.03 | theta=0.30 | avg_H=3.145942 | max_H=140 | improved=  396644 | worsened=      76 | worst_loss= 108 | score=+0.341849 | worst_n=4941897 | best_n=824347
lambda=0.28 | mu=0.05 | theta=0.25 | avg_H=3.115546 | max_H=140 | improved=  397480 | worsened=      77 | worst_loss= 107 | score=+0.372245 | worst_n=4941897 | best_n=2943135
lambda=0.28 | mu=0.04 | theta=0.30 | avg_H=3.127129 | max_H=140 | improved=  402895 | worsened=      77 | worst_loss= 108 | score=+0.360662 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.04 | theta=0.25 | avg_H=3.137943 | max_H=140 | improved=  384706 | worsened=      77 | worst_loss= 108 | score=+0.349848 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.04 | theta=0.20 | avg_H=3.144504 | max_H=140 | improved=  373028 | worsened=      77 | worst_loss= 108 | score=+0.343287 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.03 | theta=0.25 | avg_H=3.155769 | max_H=140 | improved=  379457 | worsened=      77 | worst_loss= 108 | score=+0.332022 | worst_n=4941897 | best_n=824347
lambda=0.28 | mu=0.03 | theta=0.20 | avg_H=3.161865 | max_H=140 | improved=  368125 | worsened=      77 | worst_loss= 108 | score=+0.325926 | worst_n=4941897 | best_n=824347
lambda=0.28 | mu=0.02 | theta=0.30 | avg_H=3.170140 | max_H=140 | improved=  387433 | worsened=      77 | worst_loss= 108 | score=+0.317651 | worst_n=4941897 | best_n=824347
lambda=0.28 | mu=0.02 | theta=0.25 | avg_H=3.178664 | max_H=141 | improved=  372142 | worsened=      77 | worst_loss= 108 | score=+0.309127 | worst_n=4941897 | best_n=824347
lambda=0.28 | mu=0.02 | theta=0.20 | avg_H=3.188733 | max_H=141 | improved=  350423 | worsened=      77 | worst_loss= 108 | score=+0.299058 | worst_n=4941897 | best_n=824347
lambda=0.28 | mu=0.06 | theta=0.25 | avg_H=3.091682 | max_H=140 | improved=  405525 | worsened=      78 | worst_loss= 107 | score=+0.396109 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.05 | theta=0.20 | avg_H=3.126062 | max_H=140 | improved=  377886 | worsened=      79 | worst_loss= 107 | score=+0.361729 | worst_n=4941897 | best_n=2943135
lambda=0.28 | mu=0.03 | theta=0.15 | avg_H=3.172601 | max_H=140 | improved=  344445 | worsened=      79 | worst_loss= 108 | score=+0.315190 | worst_n=4941897 | best_n=824347
lambda=0.28 | mu=0.06 | theta=0.20 | avg_H=3.102084 | max_H=140 | improved=  386251 | worsened=      80 | worst_loss= 107 | score=+0.385707 | worst_n=4941897 | best_n=1784859
lambda=0.28 | mu=0.05 | theta=0.15 | avg_H=3.136609 | max_H=140 | improved=  354910 | worsened=      80 | worst_loss= 107 | score=+0.351182 | worst_n=4941897 | best_n=2943135
lambda=0.28 | mu=0.04 | theta=0.15 | avg_H=3.155115 | max_H=140 | improved=  349667 | worsened=      80 | worst_loss= 108 | score=+0.332676 | worst_n=4941897 | best_n=1784859
