start;log_step;log_value;h_step;h_value;loss;initial_dmax;initial_dmax_step;initial_cmax;initial_cmax_step;initial_pmax;initial_pmax_step;initial_pavg;initial_longest_run_1;dmax_at_log_step;dmax_step_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_step_at_log_step;cmax_delta_at_log_step;pmax_at_log_step;pmax_step_at_log_step;pmax_delta_at_log_step;pavg_at_log_step;longest_run_1_future_at_log_step;max_single_v2_at_log_step;max_single_v2_step_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_120_v2;classification
4941897;1;3706423;109;33497429;108;10.797000057692486;80;0.6601499971153757;4;0.8571428571428571;14;0.7125;10;11.797000057692486;80;1.0;0.24511249783653177;3;-0.4150374992788439;1.0;1;0.1428571428571429;0.725;10;4;41;-0.2876820050013009;0.047626262834210564;-0.4150374992788439;30079718549;95;6086.674519723903;1.5596330275229358;0.6880733944954128;10;75;16;13;5;2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,1,1,1,6,1,1,3,2,3,1,1,1,1,1,1,5,5;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
3082295;3;2600687;108;6964199;105;6.797000057692486;80;0.24511249783653177;3;1.0;1;0.6375;5;7.6270750562501775;78;0.8300749985576914;0.0;0;-0.24511249783653177;1.0;1;0.0;0.6375;5;4;68;-0.16989880849031103;0.06987556604093825;-0.24511249783653177;5936080241;99;1925.863760931384;1.5740740740740742;0.6111111111111112;6;66;28;11;3;1,1,3,1,1,1,2,1,1,1,3,1,1,1,3,2,1,1,1,1,2,1,1,1,2,1,3,1,2,3,1,2,1,3,1,1,2,1,1,3,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,3,1,1,2,2,1,1,2,2,1,1,1,3,4,1,1,1,1,1,2,1,1,1,1,3,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,6,2,3,2,1,1,2,5;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
3378047;34;3127295;139;33497429;105;8.797000057692486;80;0.11127497548069698;34;1.0;1;0.725;10;12.797000057692486;80;4.0;0.0;0;-0.11127497548069698;1.0;1;0.0;0.725;10;4;38;-0.07712931819849089;1.0462089310659266;-0.11127497548069698;30079718549;125;8904.470112168363;1.5611510791366907;0.6906474820143885;10;96;20;16;7;1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
3706423;3;3127295;108;33497429;105;11.797000057692486;80;0.24511249783653177;3;1.0;1;0.725;10;12.797000057692486;80;1.0;0.0;0;-0.24511249783653177;1.0;1;0.0;0.725;10;4;38;-0.16989884693481372;0.11745452800028033;-0.24511249783653177;30079718549;94;8115.565478899737;1.5555555555555556;0.6944444444444444;10;75;15;13;5;1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,1,1,1,6,1,1,3,2,3,1,1,1,1,1,1,5,5;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
3800303;32;3127295;137;33497429;105;8.627075056250177;78;0.2811999769230056;32;1.0;1;0.7125;10;12.797000057692486;80;4.169925001442309;0.0;0;-0.2811999769230056;1.0;1;0.0;0.725;10;4;38;-0.19491238674698863;0.9811026129645448;-0.2811999769230056;30079718549;123;7915.0842838057915;1.562043795620438;0.6861313868613139;10;94;21;15;7;1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
4809759;28;3127295;133;33497429;105;9.797000057692486;80;0.6210499798076299;28;1.0;1;0.7125;10;12.797000057692486;80;3.0;0.0;0;-0.6210499798076299;1.0;1;0.0;0.725;10;4;38;-0.43047856526367845;0.4281529341305479;-0.6210499798076299;30079718549;119;6253.89308466391;1.5639097744360901;0.6766917293233082;10;90;22;15;6;1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,1,1,1,6;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
1896063;16;1216223;113;32531717;97;9.212037556971325;79;1.3759374819710999;25;1.0;1;0.7;7;11.362412549759767;69;2.150374992788443;0.7353374935095953;9;-0.6405999884615046;1.0;1;0.0;0.6875;7;5;71;-0.44402947624058164;0.1772935213940272;-0.6405999884615028;8216025965;101;4333.203044941018;1.5486725663716814;0.6637168141592921;7;75;24;9;5;1,1,1,1,1,1,2,1,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
769641;1;577231;93;32531717;92;12.797000057692486;80;0.4150374992788439;1;0.8333333333333334;18;0.6875;7;13.797000057692486;80;1.0;0.0;0;-0.4150374992788439;1.0;1;0.16666666666666663;0.7;7;5;66;-0.28768163934951474;0.054769485628849424;-0.4150374992788439;8216025965;81;10675.140701963643;1.5268817204301075;0.6451612903225806;7;60;23;7;3;2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
912167;5;865847;96;32531717;91;11.797000057692486;80;0.3202999942307514;8;1.0;1;0.6875;7;13.212037556971325;79;1.4150374992788386;0.24511249783653177;3;-0.07518749639421962;1.0;1;0.0;0.6875;7;5;65;-0.052114868757305643;0.3463512559325963;-0.07518749639421962;8216025965;84;9007.151064443244;1.53125;0.6458333333333334;7;62;23;8;3;1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
1216223;6;865847;97;32531717;91;11.362412549759767;69;0.7353374935095953;9;1.0;1;0.6875;7;13.212037556971325;79;1.8496250072115572;0.24511249783653177;3;-0.49022499567306355;1.0;1;0.0;0.6875;7;5;65;-0.33979721528166884;0.19280453660775976;-0.49022499567306355;8216025965;85;6755.361446872818;1.5360824742268042;0.6494845360824743;7;63;22;9;3;1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
