T;src;dst;count;weight_sum;source_count;normalized_weight
6;v2=0|odd=3|h=0;v2=0|odd=3|h=1;1;0.125;16;0.0078125
6;v2=0|odd=3|h=1;v2=0|odd=3|h=2;1;0.125;16;0.0078125
6;v2=0|odd=3|h=2;v2=0|odd=3|h=3;1;0.125;16;0.0078125
6;v2=0|odd=3|h=3;v2=0|odd=3|h=0;1;0.125;16;0.0078125
6;v2=3|odd=1|h=0;v2=3|odd=1|h=1;1;0.25;2;0.125
6;v2=3|odd=1|h=1;v2=3|odd=1|h=2;1;0.25;2;0.125
6;v2=3|odd=1|h=2;v2=3|odd=1|h=3;1;0.25;2;0.125
6;v2=3|odd=1|h=3;v2=3|odd=1|h=0;1;0.25;2;0.125
6;v2=2|odd=3|h=0;v2=0|odd=3|h=1;1;0.5;4;0.125
6;v2=2|odd=3|h=1;v2=0|odd=3|h=2;1;0.5;4;0.125
6;v2=2|odd=3|h=2;v2=0|odd=3|h=3;1;0.5;4;0.125
6;v2=2|odd=3|h=3;v2=0|odd=3|h=0;1;0.5;4;0.125
6;v2=0|odd=1|h=0;v2=1|odd=1|h=1;1;0.25;16;0.015625
6;v2=0|odd=1|h=1;v2=1|odd=1|h=2;1;0.25;16;0.015625
6;v2=0|odd=1|h=2;v2=1|odd=1|h=3;1;0.25;16;0.015625
6;v2=0|odd=1|h=3;v2=1|odd=1|h=0;1;0.25;16;0.015625
6;v2=5|odd=1|h=0;v2=1|odd=1|h=1;1;1.0;1;1.0
6;v2=5|odd=1|h=1;v2=1|odd=1|h=2;1;1.0;1;1.0
6;v2=5|odd=1|h=2;v2=1|odd=1|h=3;1;1.0;1;1.0
6;v2=5|odd=1|h=3;v2=1|odd=1|h=0;1;1.0;1;1.0
6;v2=1|odd=3|h=0;v2=1|odd=1|h=1;1;1.0;8;0.125
6;v2=1|odd=3|h=1;v2=1|odd=1|h=2;1;1.0;8;0.125
6;v2=1|odd=3|h=2;v2=1|odd=1|h=3;1;1.0;8;0.125
6;v2=1|odd=3|h=3;v2=1|odd=1|h=0;1;1.0;8;0.125
6;v2=2|odd=3|h=0;v2=4|odd=3|h=1;1;0.5;4;0.125
6;v2=2|odd=3|h=1;v2=4|odd=3|h=2;1;0.5;4;0.125
