q,status,steps_observed,tau,exponent_sum,cap,coefficient_time,coefficient_delay,prefix_gap_certificate,rational_descent_certificate,minimal_parameter_certificate,source_bits,burst_bits,peak_bits,endpoint_bits,prepassage_gap_bits,word_sha256,endpoint_sha256,cohorts
1,descended,0,0,0,272,0,0,True,True,False,6,5,5,5,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1f18d650d205d71d934c3646ff5fac1c096ba52eba4cf758b865364f4167d3cd,exhaustive
3,descended,1,1,2,304,1,0,True,True,True,18,18,18,18,15,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,9d40c1780eece9ad22286dbbec81ab8277cbc75688500724b606ce534f55a7e3,exhaustive
5,descended,1,1,8,336,1,0,True,True,True,30,31,31,24,30,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,ef5000fb5b95c689e2340cc8008e56be42e81095e4af4697931864640fe21746,exhaustive
7,descended,2,2,6,368,2,0,True,True,True,42,43,43,41,42,ec75f1bc739bcd3152b74a55c792294f2e67f2aa385db15aca121a73c740fa35,bb27b10e831d368c4171a64a82298388cf776aa73f7a4a309a8118c4c2b155d5,exhaustive
9,descended,2,2,8,400,2,0,True,True,True,54,56,56,51,54,f129ab6516df2cf50bd628a5d4893a12157b6f9f8c9e8268a3406ce616d53f42,0b3670fbb441959bce320a6ef03d34af8f4e33c430bac6d0802d011738072718,exhaustive
11,descended,24,24,41,432,24,0,True,True,True,66,69,72,66,68,bb5f9cd62c904294e4e5c014b337ef4512e43d4f75e3a74a45d22adb53327b83,0fd9e61d16734447637ae74143beab878c152a731d7a236767327862b4f45389,exhaustive
13,descended,2,2,8,464,2,0,True,True,True,78,82,82,77,78,6a186daaf10e884cde0bed402cca27c23c37419120c45e21e261b4eb74e351f1,8dd72fc7d82f07ed55b4ae00e0d11bc8ee35fcbf05f37eaa16aae69e5db0eff6,exhaustive
15,descended,8,8,17,496,8,0,True,True,True,90,94,94,90,92,fea95c56538aca9ac0d77fd783ce017e3784b21f5cbaf26946f3ce2598f5f496,47d00af5e3e0e7018cdedc0d1ff0b1dcd63804a74881cda56169e20fcc8d1ea0,exhaustive
17,descended,34,34,62,528,34,0,True,True,True,102,107,108,99,101,631678d1c91912fb1f63b6edc8bbc2670dcb22cdde3fdd5921f93ce26f372169,5c9c6aedcf2ba6e21c78766ee7969b3f47e1bd6bdaa41a7feb415360639738b0,exhaustive
19,descended,4,4,12,560,4,0,True,True,True,114,120,120,114,117,49a4a2cb243e70cc35a37bb5ba09cab968aebf150cb9a13c6c13d6ed020a9677,e7ed4cba09eb9e0345338a0917ee643b49a398657a0c238cfbbc2a2b5f79ca5b,exhaustive
21,descended,8,8,20,592,8,0,True,True,True,126,132,132,125,126,5b44c6b6de161d57349123dc15c60fb95db2ac624e4060aae4dbfbcfca8956e8,98f56cb9b61319ee3144aa242a34051e477105c2b31622783d21ed876358869c,exhaustive
23,descended,16,16,34,624,16,0,True,True,True,138,145,145,136,138,9204158c2631ad1b10a52757860e7d763e68ae35376f537fa9ec5298c691f1bc,205b798e9000bb7555639d66cffc72f8e729ff7f6c6f1b8a35f5d1d43f5b2ecd,exhaustive
25,descended,11,11,26,656,11,0,True,True,True,150,158,158,149,152,ec2686dd16528e6ee20c4aec236cd44f2f4f98269258149566aceb05d33e9edc,13f330e0b48d1bf1805cbdcd7ad129556e6fc8dbf60bfa887f7322ec961f8aea,exhaustive
27,descended,17,17,36,688,17,0,True,True,True,162,170,171,161,158,a63fcacf889357bc6a4016bf6d19b9af995c833de6bdb54eed28375a87cdd330,3fd03e880d9cdb49fcd22233007e30927d8dbc336aea337e295d58c588d3f12c,exhaustive
29,descended,17,17,36,720,17,0,True,True,True,174,183,183,174,171,bd13cfd95a4451cf60815485898a15db90a52aa96c6eb1db5af4d78cebef72d9,21feb7420fa8b824f7939813f08d557eed134a0ae240c8079bc3931e0862ad61,exhaustive
31,descended,31,31,60,752,31,0,True,True,True,186,196,196,185,186,137e2f4f0567b279d646832a3d7607761563426c6e7df88fd212968ac904d0ca,28d4cb86db4bb4c5417a642df01c713f554147d283c6b45ed0fb3589f6c31f01,exhaustive
33,descended,23,23,47,784,23,0,True,True,True,198,208,208,198,197,f4a30b029962836af0e52247e6668324f4dd8d61684817f96c6fdb312d33ff6f,1035dcfc2c46e0624e5044833d06824284db7808f6128667a39b5cdb99c7e177,exhaustive
35,descended,33,33,64,816,33,0,True,True,True,210,221,221,209,209,055601ce3f165d4216a2a4b0b076006fac3de2285d52db50793525678eb91c5a,960fe14c926e5eb181440b0865e607300631e19bcebe791e0e78318e057bc9d7,exhaustive
37,descended,24,24,50,848,24,0,True,True,True,222,234,234,222,216,5f99c1b7b7ead8fd326e4890eebc08d5657bf0d2e406fe0c2feef35b0705edba,dec670eb6cecbf6d6a24162089a957517a342f5557bb90b767cf139c5d0775a5,exhaustive
39,descended,25,25,54,880,25,0,True,True,True,234,246,246,232,235,7736977ec2ae88ad353c75858c2b417765dc660969f467f13cfcc4ef59242111,45c5eaf67db9de7cb6028cd60b31b913144524156ead574e922f7ddd5e2ecd6c,exhaustive
41,descended,69,69,123,912,69,0,True,True,True,246,259,259,245,246,c288e2fe8d15e4a37b338539a514af3c227f71184a3bb28b16679f96cec629f0,6deb52f6649840854f48463d9205840f8e7f3db52d029a85fa80e90dca1c173e,exhaustive
43,descended,56,56,104,944,56,0,True,True,True,258,272,275,256,257,dc97c2100d055e7301b9300a7a993f881447a778658cd2eacab165bce28c342f,850185336529edb54aed578591de511666d1dd581eb6873f38beaf1f689a0e32,exhaustive|prescribed_growth_prefix
45,descended,67,67,122,976,67,0,True,True,True,270,284,284,269,269,0dead559132ba01aae7fc1043611adb6b1f357f94bcfe7b95e01917e27df68ea,cb00072ce222ac30355c6101fcf1181fcf2698bd982a5b98fcebb747f57b7a95,exhaustive
47,descended,36,36,74,1008,36,0,True,True,True,282,297,298,280,281,a7c3d7e5a9acb29bec48aabfcd3dff79506418230f841578b2ccf0a8b5140fd1,ad4ad88aaeffd5ac41573f732387f657a5aeb6e93720298e6c2e6202be8e3dc5,exhaustive
49,descended,85,85,151,1040,85,0,True,True,True,294,310,310,293,294,c2e2aab1a04cd78fa229bf499efac23c6b178a3a2d056d49dc23004ee84cb6e6,c19bbc3004ce5a1adf897f2e2cb0338e1b54e846c68925d597001355e55cf865,exhaustive
51,descended,72,72,132,1072,72,0,True,True,True,306,322,326,305,301,60d6116f47ca42a3c8af580b364d86b8ca29332876155fdac7dbbef154158d6c,daf5e9566a406a612a4f8f4523b100d1693e628b2edb3488c664b2a3db2d4f19,exhaustive
53,descended,47,47,92,1104,47,0,True,True,True,318,335,335,318,319,88e3a7c51e12608e4b8978cdcf3818861f5b1aaa369a24817f652ce8813fd385,232e79788137875c41306eb36862a2dd7c7e9363580e5981f5278202eb547add,exhaustive
55,descended,48,48,94,1136,48,0,True,True,True,330,348,350,330,333,9acff5e58727195a7efeb53481e94ff6932e27ba58a1c7b0cee76040121da43c,90fc401b77888b3c63ede4a6ada312ae7f77af9739b814d74d45d6d9553e80e9,exhaustive
57,descended,44,44,92,1168,44,0,True,True,True,342,360,360,338,341,8c290743d02757d84c428f144a13f2862b0c07e08fee9864d6db5c8cefdc3b6b,02e1a5ebfac1e98d11bb1d7656728412d40fb4ecbd082065aeb9a5928a84638c,exhaustive
59,descended,29,29,67,1200,29,0,True,True,True,354,373,374,352,357,14254e107d696fc84703ae3823f0c9fd6f0ebefb70ef3caf771a947e99938db0,e815ef4e0b21953ffbad15f83dd03b1fbe99ea84073d5b337c9bcf38abb596a9,exhaustive
61,descended,17,17,50,1232,17,0,True,True,True,366,386,386,363,366,f5c15a6b66f515dcbc7d0861e4e940d5f8ab631996cc68f67cad0251ec5725d0,c450a445ae45afe884a911331ceb14fc1150d91ed761cb329b77d6df45c9f0a6,exhaustive
63,descended,34,34,77,1264,34,0,True,True,True,378,398,398,375,382,47b1c9bf5b0b58eb6daed96353fffcb0b834118f011329172eaf0c2fcc1043ed,9db3dbfbed16e00c124ff976adb56075236e4cc3782516692432220914b5f9e0,exhaustive
65,descended,37,37,80,1296,37,0,True,True,True,390,411,411,390,390,579d0c7825747acd3f60689d56039462b9641fdf4cb2424c4de689719c4c7698,5e829895ca02b032c8dba772ef5c07b44bce2ac0ce163476d79f65a47db546e6,exhaustive
