src,dst,count,source_events,deterministic_probability,empirical_probability
K16:L11:b1,K15:L10:b1,2993,4064,0.7364665354330708,0.7364665354330708
K15:L10:b1,K14:L9:b1,2132,2991,0.7128050819124039,0.7128050819124039
K16:L12:b1,K15:L11:b1,1376,1696,0.8113207547169812,0.8113207547169812
K15:L11:b1,K14:L10:b1,792,1376,0.5755813953488372,0.5755813953488372
K14:L10:b1,K13:L9:b1,510,792,0.6439393939393939,0.6439393939393939
K16:L13:b1,K15:L12:b1,464,528,0.8787878787878788,0.8787878787878788
K14:L9:b1,K11:L7:b1,454,2128,0.21334586466165414,0.21334586466165414
K13:L9:b1,K12:L8:b1,347,510,0.6803921568627451,0.6803921568627451
K15:L12:b1,K14:L11:b1,288,464,0.6206896551724138,0.6206896551724138
K15:L11:b1,K16:L11:b1,273,1376,0.19840116279069767,0.19840116279069767
K12:L8:b1,K11:L7:b1,251,347,0.723342939481268,0.723342939481268
K14:L9:b1,K3:L2:b1,238,2128,0.1118421052631579,0.1118421052631579
K14:L9:b1,K6:L4:b1,191,2128,0.08975563909774437,0.08975563909774437
K15:L10:b1,K6:L4:b1,179,2991,0.059846205282514206,0.059846205282514206
K14:L9:b1,K10:L7:b1,177,2128,0.08317669172932331,0.08317669172932331
K14:L9:b1,K4:L3:b1,173,2128,0.081296992481203,0.081296992481203
K14:L11:b1,K13:L10:b1,168,288,0.5833333333333334,0.5833333333333334
K16:L11:b1,K4:L3:b2,160,4064,0.03937007874015748,0.03937007874015748
K16:L11:b1,K6:L4:b1,156,4064,0.038385826771653545,0.038385826771653545
K14:L9:b1,K9:L6:b1,144,2128,0.06766917293233082,0.06766917293233082
K15:L10:b1,K4:L3:b1,137,2991,0.045804078903376795,0.045804078903376795
K16:L11:b1,K11:L7:b1,129,4064,0.03174212598425197,0.03174212598425197
K10:L7:b2,K9:L6:b1,112,160,0.7,0.7
K16:L11:b1,K4:L3:b1,112,4064,0.027559055118110236,0.027559055118110236
K16:L14:b1,K15:L13:b1,112,112,1.0,1.0
K14:L10:b1,K16:L11:b1,104,792,0.13131313131313133,0.13131313131313133
K13:L10:b1,K12:L9:b1,102,168,0.6071428571428571,0.6071428571428571
K14:L9:b1,K3:L2:b2,100,2128,0.046992481203007516,0.046992481203007516
K15:L12:b1,K16:L12:b1,100,464,0.21551724137931033,0.21551724137931033
K15:L10:b1,K4:L3:b2,97,2991,0.032430625208960215,0.032430625208960215
K14:L9:b1,K7:L5:b1,96,2128,0.045112781954887216,0.045112781954887216
K16:L11:b1,K5:L4:b1,96,4064,0.023622047244094488,0.023622047244094488
K11:L7:b1,K3:L2:b1,83,366,0.226775956284153,0.226775956284153
K14:L9:b1,K5:L4:b1,80,2128,0.03759398496240601,0.03759398496240601
K15:L10:b1,K3:L2:b1,80,2991,0.026746907388833167,0.026746907388833167
K15:L10:b1,K3:L2:b2,80,2991,0.026746907388833167,0.026746907388833167
K16:L11:b1,K9:L6:b1,77,4064,0.01894685039370079,0.01894685039370079
K15:L13:b1,K14:L12:b1,72,112,0.6428571428571429,0.6428571428571429
K12:L9:b1,K11:L8:b1,70,102,0.6862745098039216,0.6862745098039216
K16:L11:b1,K7:L5:b1,69,4064,0.016978346456692914,0.016978346456692914
K14:L9:b1,K9:L7:b1,64,2128,0.03007518796992481,0.03007518796992481
K10:L7:b1,K9:L6:b1,63,78,0.8076923076923077,0.8076923076923077
K16:L12:b1,K10:L7:b1,62,1696,0.036556603773584904,0.036556603773584904
K11:L8:b1,K10:L7:b1,52,72,0.7222222222222222,0.7222222222222222
K11:L7:b1,K6:L4:b1,51,366,0.13934426229508196,0.13934426229508196
K11:L7:b2,K3:L2:b1,48,80,0.6,0.6
K12:L9:b2,K11:L8:b1,48,48,1.0,1.0
K14:L12:b1,K13:L11:b1,48,72,0.6666666666666666,0.6666666666666666
K14:L9:b1,K8:L6:b1,48,2128,0.022556390977443608,0.022556390977443608
K14:L9:b1,K4:L3:b2,48,2128,0.022556390977443608,0.022556390977443608
K16:L11:b1,K5:L4:b2,48,4064,0.011811023622047244,0.011811023622047244
K16:L12:b1,K7:L5:b1,48,1696,0.02830188679245283,0.02830188679245283
