src,dst,count,source_events,deterministic_probability,empirical_probability
K16:b1,K15:b1,4961,6416,0.7732231920199502,0.7732231920199502
K15:b1,K14:b1,3297,4959,0.6648517846339987,0.6648517846339987
K14:b1,K13:b1,734,3292,0.2229647630619684,0.2229647630619684
K13:b1,K12:b1,479,734,0.6525885558583107,0.6525885558583107
K14:b1,K11:b1,454,3292,0.137910085054678,0.137910085054678
K15:b1,K16:b1,401,4959,0.08086307723331317,0.08086307723331317
K12:b1,K11:b1,345,479,0.7202505219206681,0.7202505219206681
K14:b1,K6:b1,259,3292,0.07867557715674361,0.07867557715674361
K14:b1,K9:b1,242,3292,0.07351154313487242,0.07351154313487242
K14:b1,K3:b1,238,3292,0.07229647630619684,0.07229647630619684
K15:b1,K6:b1,231,4959,0.04658197217180883,0.04658197217180883
K14:b1,K16:b1,219,3292,0.06652490886998785,0.06652490886998785
K16:b1,K4:b2,192,6416,0.029925187032418952,0.029925187032418952
K16:b1,K6:b1,188,6416,0.029301745635910224,0.029301745635910224
K14:b1,K4:b1,185,3292,0.056196840826245445,0.056196840826245445
K14:b1,K10:b1,177,3292,0.05376670716889429,0.05376670716889429
K15:b1,K4:b1,153,4959,0.030852994555353903,0.030852994555353903
K15:b1,K4:b2,144,4959,0.029038112522686024,0.029038112522686024
K14:b1,K7:b1,136,3292,0.041312272174969626,0.041312272174969626
K16:b1,K11:b1,129,6416,0.020105985037406484,0.020105985037406484
K10:b2,K9:b1,128,176,0.7272727272727273,0.7272727272727273
K16:b1,K9:b1,121,6416,0.01885910224438903,0.01885910224438903
K16:b1,K7:b1,117,6416,0.018235660847880298,0.018235660847880298
K16:b1,K5:b1,112,6416,0.017456359102244388,0.017456359102244388
K16:b1,K4:b1,112,6416,0.017456359102244388,0.017456359102244388
K14:b1,K5:b1,104,3292,0.031591737545565005,0.031591737545565005
K14:b1,K3:b2,100,3292,0.030376670716889428,0.030376670716889428
K16:b1,K5:b2,96,6416,0.014962593516209476,0.014962593516209476
K14:b1,K4:b2,95,3292,0.028857837181044958,0.028857837181044958
K13:b1,K16:b1,85,734,0.11580381471389646,0.11580381471389646
K11:b1,K3:b1,83,459,0.18082788671023964,0.18082788671023964
K15:b1,K9:b1,80,4959,0.01613228473482557,0.01613228473482557
K15:b1,K3:b1,80,4959,0.01613228473482557,0.01613228473482557
K15:b1,K3:b2,80,4959,0.01613228473482557,0.01613228473482557
K10:b1,K9:b1,77,93,0.8279569892473119,0.8279569892473119
K14:b1,K8:b1,72,3292,0.02187120291616039,0.02187120291616039
K16:b1,K10:b1,72,6416,0.011221945137157107,0.011221945137157107
K11:b1,K6:b1,70,459,0.15250544662309368,0.15250544662309368
K16:b1,K6:b2,67,6416,0.010442643391521197,0.010442643391521197
K15:b1,K7:b1,65,4959,0.013107481347045775,0.013107481347045775
K11:b1,K10:b1,64,459,0.1394335511982571,0.1394335511982571
K12:b2,K11:b1,64,64,1.0,1.0
K15:b1,K5:b2,64,4959,0.012905827787860456,0.012905827787860456
K9:b2,K8:b1,64,222,0.2882882882882883,0.2882882882882883
K15:b1,K7:b2,63,4959,0.012704174228675136,0.012704174228675136
K8:b2,K7:b1,62,62,1.0,1.0
K11:b2,K3:b1,48,112,0.42857142857142855,0.42857142857142855
K15:b1,K5:b1,48,4959,0.009679370840895343,0.009679370840895343
K15:b1,K6:b2,48,4959,0.009679370840895343,0.009679370840895343
K7:b2,K6:b1,47,63,0.746031746031746,0.746031746031746
K9:b2,K3:b1,47,222,0.21171171171171171,0.21171171171171171
K11:b1,K4:b1,44,459,0.09586056644880174,0.09586056644880174
K11:b1,K7:b1,39,459,0.08496732026143791,0.08496732026143791
K11:b2,K4:b1,32,112,0.2857142857142857,0.2857142857142857
K14:b1,K3:b3,32,3292,0.009720534629404616,0.009720534629404616
K15:b1,K3:b3,32,4959,0.006452913893930228,0.006452913893930228
