src,dst,count,source_events,deterministic_probability,empirical_probability
K16:b1,K15:b1,19851,25664,0.7734959476309227,0.7734959476309227
K15:b1,K14:b1,13189,19839,0.6648016533091385,0.6648016533091385
K14:b1,K13:b1,2933,13166,0.22277077320370653,0.22277077320370653
K13:b1,K12:b1,1917,2935,0.6531516183986371,0.6531516183986371
K14:b1,K11:b1,1818,13166,0.13808294090840043,0.13808294090840043
K15:b1,K16:b1,1604,19839,0.08085084933716417,0.08085084933716417
K12:b1,K11:b1,1359,1916,0.7092901878914405,0.7092901878914405
K14:b1,K6:b1,1037,13166,0.07876348169527571,0.07876348169527571
K14:b1,K9:b1,963,13166,0.07314294394652894,0.07314294394652894
K14:b1,K3:b1,950,13166,0.07215555217985721,0.07215555217985721
K15:b1,K6:b1,922,19839,0.0464741166389435,0.0464741166389435
K14:b1,K16:b1,873,13166,0.06630715479264773,0.06630715479264773
K16:b1,K4:b2,767,25664,0.029886221945137157,0.029886221945137157
K16:b1,K6:b1,752,25664,0.029301745635910224,0.029301745635910224
K14:b1,K4:b1,747,13166,0.05673704997721404,0.05673704997721404
K14:b1,K10:b1,705,13166,0.053547015038736136,0.053547015038736136
K15:b1,K4:b1,609,19839,0.03069711174958415,0.03069711174958415
K15:b1,K4:b2,579,19839,0.0291849387569938,0.0291849387569938
K14:b1,K7:b1,545,13166,0.041394500987391766,0.041394500987391766
K16:b1,K11:b1,517,25664,0.02014495012468828,0.02014495012468828
K10:b2,K9:b1,511,703,0.7268847795163584,0.7268847795163584
K16:b1,K9:b1,487,25664,0.018975997506234413,0.018975997506234413
K16:b1,K7:b1,472,25664,0.01839152119700748,0.01839152119700748
K16:b1,K5:b1,448,25664,0.017456359102244388,0.017456359102244388
K16:b1,K4:b1,448,25664,0.017456359102244388,0.017456359102244388
K14:b1,K5:b1,417,13166,0.03167248974631627,0.03167248974631627
K14:b1,K3:b2,399,13166,0.030305331915540027,0.030305331915540027
K16:b1,K5:b2,384,25664,0.014962593516209476,0.014962593516209476
K14:b1,K4:b2,380,13166,0.028862220871942883,0.028862220871942883
K13:b1,K16:b1,340,2935,0.11584327086882454,0.11584327086882454
K11:b1,K3:b1,332,1837,0.18072945019052802,0.18072945019052802
K15:b1,K9:b1,332,19839,0.016734714451333232,0.016734714451333232
K15:b1,K3:b1,320,19839,0.01612984525429709,0.01612984525429709
K15:b1,K3:b2,320,19839,0.01612984525429709,0.01612984525429709
K10:b1,K9:b1,293,361,0.8116343490304709,0.8116343490304709
K14:b1,K8:b1,288,13166,0.02187452529241987,0.02187452529241987
K16:b1,K10:b1,288,25664,0.011221945137157107,0.011221945137157107
K11:b1,K6:b1,278,1837,0.15133369624387588,0.15133369624387588
K16:b1,K6:b2,271,25664,0.010559538653366583,0.010559538653366583
K11:b1,K10:b1,262,1837,0.14262384322264562,0.14262384322264562
K15:b1,K7:b1,260,19839,0.013105499269116387,0.013105499269116387
K12:b2,K11:b1,256,256,1.0,1.0
K15:b1,K5:b2,256,19839,0.012903876203437673,0.012903876203437673
K9:b2,K8:b1,256,893,0.2866741321388578,0.2866741321388578
K15:b1,K7:b2,255,19839,0.012853470437017995,0.012853470437017995
K8:b2,K7:b1,253,253,1.0,1.0
K15:b1,K6:b2,193,19839,0.009728312918997933,0.009728312918997933
K11:b2,K3:b1,192,448,0.42857142857142855,0.42857142857142855
K15:b1,K5:b1,192,19839,0.009677907152578255,0.009677907152578255
K7:b2,K6:b1,190,253,0.7509881422924901,0.7509881422924901
K9:b2,K3:b1,190,893,0.2127659574468085,0.2127659574468085
K11:b1,K4:b1,178,1837,0.09689711486118671,0.09689711486118671
K11:b1,K7:b1,153,1837,0.08328796951551443,0.08328796951551443
K14:b1,K3:b3,130,13166,0.009873917666717302,0.009873917666717302
K11:b2,K4:b1,128,448,0.2857142857142857,0.2857142857142857
K15:b1,K3:b3,128,19839,0.006451938101718836,0.006451938101718836
K16:b1,K4:b3,128,25664,0.004987531172069825,0.004987531172069825
K16:b1,K3:b1,128,25664,0.004987531172069825,0.004987531172069825
K16:b1,K8:b1,128,25664,0.004987531172069825,0.004987531172069825
K9:b2,K6:b1,127,893,0.1422172452407615,0.1422172452407615
K7:b3,K6:b1,126,126,1.0,1.0
K11:b1,K3:b2,111,1837,0.06042460533478498,0.06042460533478498
K13:b1,K6:b2,109,2935,0.03713798977853492,0.03713798977853492
K9:b1,K3:b1,108,367,0.29427792915531337,0.29427792915531337
K12:b1,K16:b1,106,1916,0.055323590814196244,0.055323590814196244
K11:b1,K5:b1,101,1837,0.054980947196516056,0.054980947196516056
K14:b1,K5:b2,96,13166,0.007291508430806623,0.007291508430806623
K12:b1,K3:b1,80,1916,0.04175365344467641,0.04175365344467641
K12:b1,K3:b2,80,1916,0.04175365344467641,0.04175365344467641
K13:b1,K4:b2,80,2935,0.027257240204429302,0.027257240204429302
K13:b1,K6:b1,80,2935,0.027257240204429302,0.027257240204429302
K13:b1,K4:b1,79,2935,0.026916524701873935,0.026916524701873935
K12:b1,K4:b1,72,1916,0.037578288100208766,0.037578288100208766
K10:b2,K4:b1,64,703,0.09103840682788052,0.09103840682788052
K10:b2,K3:b1,64,703,0.09103840682788052,0.09103840682788052
K10:b2,K3:b3,64,703,0.09103840682788052,0.09103840682788052
K11:b2,K7:b1,64,448,0.14285714285714285,0.14285714285714285
K11:b2,K5:b2,64,448,0.14285714285714285,0.14285714285714285
K13:b2,K4:b2,64,128,0.5,0.5
K13:b2,K4:b1,64,128,0.5,0.5
K15:b2,K14:b1,64,64,1.0,1.0
K15:b1,K3:b4,64,19839,0.003225969050859418,0.003225969050859418
K15:b1,K4:b3,64,19839,0.003225969050859418,0.003225969050859418
K16:b1,K3:b2,64,25664,0.0024937655860349127,0.0024937655860349127
K16:b1,K3:b3,64,25664,0.0024937655860349127,0.0024937655860349127
K9:b2,K5:b1,64,893,0.07166853303471445,0.07166853303471445
K9:b1,K6:b1,64,367,0.17438692098092642,0.17438692098092642
K9:b2,K4:b1,64,893,0.07166853303471445,0.07166853303471445
K9:b2,K3:b2,64,893,0.07166853303471445,0.07166853303471445
K9:b2,K4:b2,64,893,0.07166853303471445,0.07166853303471445
K13:b1,K7:b1,63,2935,0.021465076660988076,0.021465076660988076
K6:b3,K6:b2,63,189,0.3333333333333333,0.3333333333333333
K6:b2,K3:b1,63,189,0.3333333333333333,0.3333333333333333
K6:b3,K3:b1,63,189,0.3333333333333333,0.3333333333333333
K6:b4,K3:b1,63,63,1.0,1.0
K6:b2,K5:b1,63,189,0.3333333333333333,0.3333333333333333
K6:b3,K5:b1,63,189,0.3333333333333333,0.3333333333333333
K7:b2,K3:b2,63,253,0.2490118577075099,0.2490118577075099
K16:b1,K5:b3,62,25664,0.0024158354114713217,0.0024158354114713217
K5:b2,K4:b1,62,62,1.0,1.0
K5:b3,K4:b1,62,62,1.0,1.0
K5:b4,K4:b1,62,62,1.0,1.0
K7:b1,K6:b1,61,92,0.6630434782608695,0.6630434782608695
K12:b1,K4:b2,60,1916,0.031315240083507306,0.031315240083507306
K4:b2,K3:b1,60,60,1.0,1.0
K4:b3,K3:b1,60,60,1.0,1.0
K4:b4,K3:b1,60,60,1.0,1.0
K12:b1,K6:b1,58,1916,0.030271398747390398,0.030271398747390398
