src,dst,count,source_events,deterministic_probability,empirical_probability
K10:L7:w1-1-1-1-1-3-2:b2,K9:L6:w1-1-1-1-3-2:b1,16,16,1.0,1.0
K10:L7:w1-1-1-1-2-1-3:b2,K9:L6:w1-1-1-2-1-3:b1,16,16,1.0,1.0
K10:L7:w1-1-1-1-2-2-2:b2,K9:L6:w1-1-1-2-2-2:b1,16,16,1.0,1.0
K10:L7:w1-1-1-1-3-1-2:b2,K9:L6:w1-1-1-3-1-2:b1,16,16,1.0,1.0
K10:L7:w1-1-1-2-1-1-3:b2,K9:L6:w1-1-2-1-1-3:b1,16,16,1.0,1.0
K10:L7:w1-1-1-2-1-2-2:b2,K9:L6:w1-1-2-1-2-2:b1,16,16,1.0,1.0
K10:L7:w1-1-1-2-2-1-2:b2,K9:L6:w1-1-2-2-1-2:b1,16,16,1.0,1.0
K10:L7:w1-1-1-3-1-1-2:b2,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K10:L7:w1-1-2-1-1-2-2:b2,K3:L2:w1-2:b1,16,16,1.0,1.0
K10:L7:w1-1-2-1-2-1-2:b2,K3:L2:w1-2:b3,16,16,1.0,1.0
K10:L9:w1-1-1-1-1-1-1-1-2:b2,K9:L8:w1-1-1-1-1-1-1-2:b1,16,16,1.0,1.0
K11:L7:w1-1-1-1-1-3-3:b2,K7:L5:w1-1-1-1-3:b1,16,16,1.0,1.0
K11:L7:w1-1-1-2-1-3-2:b2,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K11:L7:w1-1-2-1-1-2-3:b2,K3:L2:w1-2:b1,16,16,1.0,1.0
K11:L7:w1-1-2-2-1-1-3:b2,K3:L2:w1-2:b1,16,16,1.0,1.0
K11:L7:w1-1-2-2-1-2-2:b2,K3:L2:w1-2:b1,16,16,1.0,1.0
K11:L8:w1-1-1-2-1-1-1-3:b2,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K11:L9:w1-1-1-1-2-1-1-1-2:b2,K5:L4:w1-1-1-2:b2,16,16,1.0,1.0
K12:L8:w1-1-1-1-2-2-1-3:b2,K11:L7:w1-1-1-2-2-1-3:b1,16,16,1.0,1.0
K12:L9:w1-1-1-1-1-1-1-2-3:b2,K11:L8:w1-1-1-1-1-1-2-3:b1,16,16,1.0,1.0
K12:L9:w1-1-1-1-1-1-2-1-3:b2,K11:L8:w1-1-1-1-1-2-1-3:b1,16,16,1.0,1.0
K12:L9:w1-1-1-1-1-1-3-1-2:b2,K11:L8:w1-1-1-1-1-3-1-2:b1,16,16,1.0,1.0
K13:L9:w1-1-1-2-1-1-2-1-3:b2,K4:L3:w1-1-2:b2,16,16,1.0,1.0
K13:L9:w1-1-1-2-1-3-1-1-2:b2,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-1-1-1-2-5:b1,K8:L7:w1-1-1-1-1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-1-1-1-3-4:b1,K9:L7:w1-1-1-1-1-1-3:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-1-1-1-4-3:b1,K10:L7:w1-1-1-1-1-1-4:b1,16,16,1.0,1.0
