node,K,L,b,total_lift_classes,canonical_source_classes,shadowed_initial_classes,no_initial_classes,internal_hit_classes,external_hit_classes,below_start_classes,budget_classes,max_steps_observed,max_bit_length_observed
K10:L7:w1-1-1-1-1-1-4:b1,10,7,1,16,7,9,0,7,0,0,0,1,16
K10:L7:w1-1-1-1-1-2-3:b1,10,7,1,16,7,9,0,7,0,0,0,1,16
K10:L7:w1-1-1-1-1-3-2:b1,10,7,1,16,7,9,0,7,0,0,0,1,16
K10:L7:w1-1-1-1-1-3-2:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L7:w1-1-1-1-2-1-3:b1,10,7,1,16,7,9,0,7,0,0,0,1,16
K10:L7:w1-1-1-1-2-1-3:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L7:w1-1-1-1-2-2-2:b1,10,7,1,16,7,9,0,7,0,0,0,1,16
K10:L7:w1-1-1-1-2-2-2:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L7:w1-1-1-1-3-1-2:b1,10,7,1,16,6,10,0,6,0,0,0,1,16
K10:L7:w1-1-1-1-3-1-2:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L7:w1-1-1-2-1-1-3:b1,10,7,1,16,8,8,0,8,0,0,0,1,16
K10:L7:w1-1-1-2-1-1-3:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L7:w1-1-1-2-1-2-2:b1,10,7,1,16,6,10,0,6,0,0,0,1,16
K10:L7:w1-1-1-2-1-2-2:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L7:w1-1-1-2-2-1-2:b1,10,7,1,16,8,8,0,8,0,0,0,1,16
K10:L7:w1-1-1-2-2-1-2:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L7:w1-1-1-3-1-1-2:b1,10,7,1,16,8,8,0,8,0,0,0,4,17
K10:L7:w1-1-1-3-1-1-2:b2,10,7,2,16,16,0,0,16,0,0,0,4,27
K10:L7:w1-1-2-1-1-2-2:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L7:w1-1-2-1-2-1-2:b1,10,7,1,16,7,9,0,7,0,0,0,1,16
K10:L7:w1-1-2-1-2-1-2:b2,10,7,2,16,16,0,0,16,0,0,0,1,26
K10:L8:w1-1-1-1-1-1-1-3:b1,10,8,1,16,3,13,0,3,0,0,0,1,16
K10:L8:w1-1-1-1-1-1-2-2:b1,10,8,1,16,3,13,0,3,0,0,0,1,15
K10:L8:w1-1-1-1-1-2-1-2:b1,10,8,1,16,4,12,0,4,0,0,0,1,16
K10:L8:w1-1-1-1-2-1-1-2:b1,10,8,1,16,3,13,0,3,0,0,0,1,16
K10:L9:w1-1-1-1-1-1-1-1-2:b1,10,9,1,16,2,14,0,2,0,0,0,1,16
