T;j_count;odd_bits;hit_bits;v2_cap;graph;src;dst;count;weight_num;weight_den;source_count;normalized_num;normalized_den
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=0|odd=1|h=1;211;3673;64;8192;3673;524288
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=0|odd=3|h=1;200;6645;128;8192;6645;1048576
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=1|odd=1|h=1;110;2121;64;8192;2121;524288
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=1|odd=3|h=1;110;897;32;8192;897;262144
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=2|odd=1|h=1;55;437;32;8192;437;262144
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=2|odd=3|h=1;56;1075;64;8192;1075;524288
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=3|odd=1|h=1;24;49;8;8192;49;65536
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=3|odd=3|h=1;32;601;64;8192;601;524288
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=4|odd=1|h=1;10;27;8;8192;27;65536
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=4|odd=3|h=1;16;37;8;8192;37;65536
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=5|odd=1|h=1;6;11;8;8192;11;65536
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=5|odd=3|h=1;5;3;2;8192;3;16384
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=6|odd=1|h=1;4;11;16;8192;11;131072
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=6|odd=3|h=1;3;3;2;8192;3;16384
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=7|odd=1|h=1;1;1;4;8192;1;32768
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=7|odd=3|h=1;2;3;8;8192;3;65536
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=8|odd=3|h=1;1;1;4;8192;1;32768
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=11|odd=3|h=1;1;1;4;8192;1;32768
10;32;2;2;13;full;v2=0|odd=1|h=0;v2=13|odd=3|h=1;1;1;8;8192;1;65536
10;32;2;2;13;full;v2=0|odd=1|h=1;v2=0|odd=1|h=2;211;3673;64;8192;3673;524288
10;32;2;2;13;full;v2=0|odd=1|h=1;v2=0|odd=3|h=2;200;6645;128;8192;6645;1048576
