source_node,source_id,source_K,source_L,source_b,t,start_residue_bits,start_residue,start_bit_length,stopped_below_start,stop_or_final_step,episode_count,max_ratio,episode_path
K3:L2:w1-2,0,3,2,1,0,4,11,4,1,3,1,1.5454545454545454,K3:L2:w1-2:b1@0
K3:L2:w1-2,0,3,2,1,1,4,11,5,1,37,16,113.96296296296296,K3:L2:w1-2:b1@0 > K8:L6:w1-1-1-1-2-2:b1@2 > K10:L7:w1-1-1-2-2-1-2:b1@3 > K9:L6:w1-1-2-2-1-2:b1@4 > K3:L2:w1-2:b1@5 > K4:L3:w1-1-2:b1@10 > K3:L2:w1-2:b1@11 > K5:L4:w1-1-1-2:b1@13 > K4:L3:w1-1-2:b1@14 > K3:L2:w1-2:b1@15 > K7:L5:w1-1-2-1-2:b1@18 > K3:L2:w1-2:b2@19 > K3:L2:w1-2:b1@21 > K8:L6:w1-1-1-1-1-3:b1@23 > K7:L5:w1-1-1-1-3:b1@24 > K6:L4:w1-1-1-3:b1@25
K3:L2:w1-2,0,3,2,1,2,4,11,6,1,3,1,1.5116279069767442,K3:L2:w1-2:b1@0
K3:L2:w1-2,0,3,2,1,3,4,11,6,1,4,1,1.7118644067796611,K3:L2:w1-2:b1@0
K3:L2:w1-2,0,3,2,1,4,4,11,7,1,3,1,1.5066666666666666,K3:L2:w1-2:b1@0
K3:L2:w1-2,0,3,2,1,5,4,11,7,1,28,12,33.81318681318681,K3:L2:w1-2:b1@0 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3 > K5:L4:w1-1-1-2:b1@5 > K4:L3:w1-1-2:b1@6 > K3:L2:w1-2:b1@7 > K7:L5:w1-1-2-1-2:b1@10 > K3:L2:w1-2:b2@11 > K3:L2:w1-2:b1@13 > K8:L6:w1-1-1-1-1-3:b1@15 > K7:L5:w1-1-1-1-3:b1@16 > K6:L4:w1-1-1-3:b1@17
K3:L2:w1-2,0,3,2,1,6,4,11,7,1,3,1,1.5046728971962617,K3:L2:w1-2:b1@0
K3:L2:w1-2,0,3,2,1,7,4,11,7,1,5,2,1.6991869918699187,K3:L2:w1-2:b2@0 > K3:L2:w1-2:b1@2
K3:L2:w1-2,0,3,2,2,0,7,123,7,1,5,2,1.6991869918699187,K3:L2:w1-2:b2@0 > K3:L2:w1-2:b1@2
K3:L2:w1-2,0,3,2,2,1,7,123,8,1,17,5,12.258964143426295,K3:L2:w1-2:b2@0 > K3:L2:w1-2:b1@2 > K8:L6:w1-1-1-1-1-3:b1@4 > K7:L5:w1-1-1-1-3:b1@5 > K6:L4:w1-1-1-3:b1@6
K3:L2:w1-2,0,3,2,2,2,7,123,9,1,5,2,1.6912928759894459,K3:L2:w1-2:b2@0 > K3:L2:w1-2:b1@2
K3:L2:w1-2,0,3,2,2,3,7,123,9,1,6,2,1.903353057199211,K3:L2:w1-2:b2@0 > K3:L2:w1-2:b1@2
K3:L2:w1-2,0,3,2,2,4,7,123,10,1,5,2,1.689763779527559,K3:L2:w1-2:b2@0 > K3:L2:w1-2:b1@2
K3:L2:w1-2,0,3,2,2,5,7,123,10,1,12,4,2.853211009174312,K3:L2:w1-2:b2@0 > K3:L2:w1-2:b1@2 > K6:L4:w1-1-2-2:b1@4 > K3:L2:w1-2:b1@5
K3:L2:w1-2,0,3,2,2,6,7,123,10,1,5,2,1.6891133557800224,K3:L2:w1-2:b2@0 > K3:L2:w1-2:b1@2
K3:L2:w1-2,0,3,2,2,7,7,123,10,1,7,3,1.900883218842002,K3:L2:w1-2:b3@0 > K3:L2:w1-2:b2@2 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,1,0,5,7,3,1,4,2,2.4285714285714284,K4:L3:w1-1-2:b1@0 > K3:L2:w1-2:b1@1
K4:L3:w1-1-2,1,4,3,1,1,5,7,6,1,5,2,2.58974358974359,K4:L3:w1-1-2:b1@0 > K3:L2:w1-2:b1@1
K4:L3:w1-1-2,1,4,3,1,2,5,7,7,1,32,13,43.33802816901409,K9:L6:w1-1-2-2-1-2:b1@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@6 > K3:L2:w1-2:b1@7 > K5:L4:w1-1-1-2:b1@9 > K4:L3:w1-1-2:b1@10 > K3:L2:w1-2:b1@11 > K7:L5:w1-1-2-1-2:b1@14 > K3:L2:w1-2:b2@15 > K3:L2:w1-2:b1@17 > K8:L6:w1-1-1-1-1-3:b1@19 > K7:L5:w1-1-1-1-3:b1@20 > K6:L4:w1-1-1-3:b1@21
K4:L3:w1-1-2,1,4,3,1,3,5,7,7,1,26,11,29.87378640776699,K4:L3:w1-1-2:b1@0 > K3:L2:w1-2:b1@1 > K5:L4:w1-1-1-2:b1@3 > K4:L3:w1-1-2:b1@4 > K3:L2:w1-2:b1@5 > K7:L5:w1-1-2-1-2:b1@8 > K3:L2:w1-2:b2@9 > K3:L2:w1-2:b1@11 > K8:L6:w1-1-1-1-1-3:b1@13 > K7:L5:w1-1-1-1-3:b1@14 > K6:L4:w1-1-1-3:b1@15
K4:L3:w1-1-2,1,4,3,1,4,5,7,8,1,4,2,2.259259259259259,K4:L3:w1-1-2:b1@0 > K3:L2:w1-2:b1@1
K4:L3:w1-1-2,1,4,3,1,5,5,7,8,1,18,6,18.4251497005988,K7:L5:w1-1-2-1-2:b1@0 > K3:L2:w1-2:b2@1 > K3:L2:w1-2:b1@3 > K8:L6:w1-1-1-1-1-3:b1@5 > K7:L5:w1-1-1-1-3:b1@6 > K6:L4:w1-1-1-3:b1@7
K4:L3:w1-1-2,1,4,3,1,6,5,7,8,1,5,2,2.2562814070351758,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1
K4:L3:w1-1-2,1,4,3,1,7,5,7,8,1,7,4,3.813852813852814,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,2,0,9,231,8,1,7,4,3.813852813852814,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,2,1,9,231,10,1,15,8,6.4185733512786,K4:L3:w1-1-2:b3@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b2@3 > K3:L2:w1-2:b1@4 > K9:L6:w1-1-2-2-1-2:b1@6 > K3:L2:w1-2:b1@7 > K3:L2:w1-2:b2@10 > K3:L2:w1-2:b1@12
K4:L3:w1-1-2,1,4,3,2,2,9,231,11,1,12,6,3.8,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K9:L6:w1-1-2-2-1-2:b1@3 > K3:L2:w1-2:b1@4 > K3:L2:w1-2:b2@7 > K3:L2:w1-2:b1@9
K4:L3:w1-1-2,1,4,3,2,3,9,231,11,1,13,5,4.2744765138653085,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K9:L6:w1-1-2-1-2-2:b1@3 > K3:L2:w1-2:b2@4 > K3:L2:w1-2:b1@6
K4:L3:w1-1-2,1,4,3,2,4,9,231,12,1,9,4,3.79859587538394,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,2,5,9,231,12,1,10,4,9.615549982085273,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,2,6,9,231,12,1,9,4,3.7980623675446563,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@3 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,2,7,9,231,12,1,10,4,4.272870249017038,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K5:L4:w1-1-1-2,2,5,4,1,0,6,47,6,1,34,14,65.46808510638297,K10:L7:w1-1-1-2-2-1-2:b1@0 > K9:L6:w1-1-2-2-1-2:b1@1 > K3:L2:w1-2:b1@2 > K4:L3:w1-1-2:b1@7 > K3:L2:w1-2:b1@8 > K5:L4:w1-1-1-2:b1@10 > K4:L3:w1-1-2:b1@11 > K3:L2:w1-2:b1@12 > K7:L5:w1-1-2-1-2:b1@15 > K3:L2:w1-2:b2@16 > K3:L2:w1-2:b1@18 > K8:L6:w1-1-1-1-1-3:b1@20 > K7:L5:w1-1-1-1-3:b1@21 > K6:L4:w1-1-1-3:b1@22
K5:L4:w1-1-1-2,2,5,4,1,1,6,47,7,1,19,7,27.72072072072072,K8:L6:w1-1-1-2-1-2:b1@0 > K7:L5:w1-1-2-1-2:b1@1 > K3:L2:w1-2:b2@2 > K3:L2:w1-2:b1@4 > K8:L6:w1-1-1-1-1-3:b1@6 > K7:L5:w1-1-1-1-3:b1@7 > K6:L4:w1-1-1-3:b1@8
K5:L4:w1-1-1-2,2,5,4,1,2,6,47,8,1,5,3,3.388571428571429,K5:L4:w1-1-1-2:b1@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2
K5:L4:w1-1-1-2,2,5,4,1,3,6,47,8,1,12,3,12.874476987447698,K5:L4:w1-1-1-2:b1@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2
K5:L4:w1-1-1-2,2,5,4,1,4,6,47,9,1,8,3,3.382838283828383,K9:L6:w1-1-1-2-2-2:b1@0 > K6:L4:w1-1-2-2:b1@1 > K3:L2:w1-2:b1@2
