src,dst,count
K4:L3:w1-1-2:b1,K3:L2:w1-2:b1,465
K3:L2:w1-2:b2,K3:L2:w1-2:b1,299
K6:L4:w1-1-2-2:b1,K3:L2:w1-2:b1,269
K5:L4:w1-1-1-2:b1,K4:L3:w1-1-2:b1,218
K3:L2:w1-2:b1,K4:L3:w1-1-2:b1,129
K7:L5:w1-1-2-1-2:b1,K3:L2:w1-2:b2,113
K7:L5:w1-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,106
K7:L5:w1-1-1-1-3:b1,K6:L4:w1-1-1-3:b1,105
K4:L3:w1-1-2:b2,K3:L2:w1-2:b1,104
K6:L5:w1-1-1-1-2:b1,K5:L4:w1-1-1-2:b1,81
K8:L6:w1-1-1-1-1-3:b1,K7:L5:w1-1-1-1-3:b1,80
K9:L6:w1-1-2-1-2-2:b1,K3:L2:w1-2:b2,79
K8:L6:w1-1-1-1-2-2:b1,K7:L5:w1-1-1-2-2:b1,77
K9:L6:w1-1-2-2-1-2:b1,K3:L2:w1-2:b1,76
K9:L6:w1-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,72
K8:L6:w1-1-1-2-1-2:b1,K7:L5:w1-1-2-1-2:b1,63
K9:L6:w1-1-2-1-1-3:b1,K3:L2:w1-2:b1,63
K7:L6:w1-1-1-1-1-2:b1,K6:L5:w1-1-1-1-2:b1,63
K9:L6:w1-1-1-1-3-2:b1,K6:L4:w1-1-1-3:b1,63
K9:L7:w1-1-1-2-1-1-2:b1,K4:L3:w1-1-2:b2,62
K3:L2:w1-2:b1,K6:L4:w1-1-2-2:b1,60
K9:L6:w1-1-1-1-2-3:b1,K5:L4:w1-1-1-2:b1,59
K9:L7:w1-1-1-1-1-2-2:b1,K8:L6:w1-1-1-1-2-2:b1,59
K9:L6:w1-1-1-3-1-2:b1,K3:L2:w1-2:b1,57
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b1,52
K9:L6:w1-1-1-2-1-3:b1,K4:L3:w1-1-2:b1,51
K8:L7:w1-1-1-1-1-1-2:b1,K7:L6:w1-1-1-1-1-2:b1,49
K3:L2:w1-2:b3,K3:L2:w1-2:b2,45
K10:L7:w1-1-1-2-1-2-2:b1,K9:L6:w1-1-2-1-2-2:b1,42
K9:L7:w1-1-1-1-1-1-3:b1,K8:L6:w1-1-1-1-1-3:b1,42
K9:L8:w1-1-1-1-1-1-1-2:b1,K8:L7:w1-1-1-1-1-1-2:b1,40
K9:L7:w1-1-1-1-2-1-2:b1,K8:L6:w1-1-1-2-1-2:b1,39
K10:L8:w1-1-1-1-1-1-2-2:b1,K9:L7:w1-1-1-1-1-2-2:b1,35
K10:L7:w1-1-1-1-2-2-2:b1,K9:L6:w1-1-1-2-2-2:b1,34
K10:L7:w1-1-1-2-2-1-2:b1,K9:L6:w1-1-2-2-1-2:b1,33
K10:L8:w1-1-1-1-2-1-1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,33
K3:L2:w1-2:b1,K3:L2:w1-2:b2,32
K10:L7:w1-1-1-1-1-2-3:b1,K9:L6:w1-1-1-1-2-3:b1,32
K10:L7:w1-1-1-1-1-3-2:b1,K9:L6:w1-1-1-1-3-2:b1,32
K3:L2:w1-2:b1,K7:L5:w1-1-2-1-2:b1,31
K10:L7:w1-1-1-1-3-1-2:b1,K9:L6:w1-1-1-3-1-2:b1,31
K10:L8:w1-1-1-1-1-2-1-2:b1,K9:L7:w1-1-1-1-2-1-2:b1,30
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-1-3:b1,26
K10:L7:w1-1-1-2-1-1-3:b1,K9:L6:w1-1-2-1-1-3:b1,26
K10:L7:w1-1-2-1-2-1-2:b1,K3:L2:w1-2:b3,26
K3:L2:w1-2:b1,K9:L6:w1-1-2-2-1-2:b1,24
K3:L2:w1-2:b1,K6:L4:w1-1-1-3:b1,24
K10:L7:w1-1-1-1-2-1-3:b1,K9:L6:w1-1-1-2-1-3:b1,24
K10:L8:w1-1-1-1-1-1-1-3:b1,K9:L7:w1-1-1-1-1-1-3:b1,22
K10:L9:w1-1-1-1-1-1-1-1-2:b1,K9:L8:w1-1-1-1-1-1-1-2:b1,20
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-2-2:b1,19
K9:L7:w1-1-1-1-2-1-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,19
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-1-3:b1,19
