source_node,source_b,t,event_index,step,node,node_id,K,L,b,v2_n_minus_q,value_bit_length
K3:L2:w1-2,1,0,0,0,K3:L2:w1-2,0,3,2,1,4,4
K3:L2:w1-2,1,1,0,0,K3:L2:w1-2,0,3,2,1,5,5
K3:L2:w1-2,1,1,1,2,K8:L6:w1-1-1-1-2-2,11,8,6,1,10,5
K3:L2:w1-2,1,1,2,3,K10:L7:w1-1-1-2-2-1-2,36,10,7,1,13,6
K3:L2:w1-2,1,1,3,4,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K3:L2:w1-2,1,1,4,5,K3:L2:w1-2,0,3,2,1,4,7
K3:L2:w1-2,1,1,5,10,K4:L3:w1-1-2,1,4,3,1,7,7
K3:L2:w1-2,1,1,6,11,K3:L2:w1-2,0,3,2,1,5,8
K3:L2:w1-2,1,1,7,13,K5:L4:w1-1-1-2,2,5,4,1,6,8
K3:L2:w1-2,1,1,8,14,K4:L3:w1-1-2,1,4,3,1,5,9
K3:L2:w1-2,1,1,9,15,K3:L2:w1-2,0,3,2,1,4,9
K3:L2:w1-2,1,1,10,18,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K3:L2:w1-2,1,1,11,19,K3:L2:w1-2,0,3,2,2,8,8
K3:L2:w1-2,1,1,12,21,K3:L2:w1-2,0,3,2,1,5,9
K3:L2:w1-2,1,1,13,23,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K3:L2:w1-2,1,1,14,24,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K3:L2:w1-2,1,1,15,25,K6:L4:w1-1-1-3,3,6,4,1,12,10
K3:L2:w1-2,1,2,0,0,K3:L2:w1-2,0,3,2,1,4,6
K3:L2:w1-2,1,3,0,0,K3:L2:w1-2,0,3,2,1,6,6
K3:L2:w1-2,1,4,0,0,K3:L2:w1-2,0,3,2,1,4,7
K3:L2:w1-2,1,5,0,0,K3:L2:w1-2,0,3,2,1,5,7
K3:L2:w1-2,1,5,1,2,K4:L3:w1-1-2,1,4,3,1,7,7
K3:L2:w1-2,1,5,2,3,K3:L2:w1-2,0,3,2,1,5,8
K3:L2:w1-2,1,5,3,5,K5:L4:w1-1-1-2,2,5,4,1,6,8
K3:L2:w1-2,1,5,4,6,K4:L3:w1-1-2,1,4,3,1,5,9
K3:L2:w1-2,1,5,5,7,K3:L2:w1-2,0,3,2,1,4,9
K3:L2:w1-2,1,5,6,10,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K3:L2:w1-2,1,5,7,11,K3:L2:w1-2,0,3,2,2,8,8
K3:L2:w1-2,1,5,8,13,K3:L2:w1-2,0,3,2,1,5,9
K3:L2:w1-2,1,5,9,15,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K3:L2:w1-2,1,5,10,16,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K3:L2:w1-2,1,5,11,17,K6:L4:w1-1-1-3,3,6,4,1,12,10
K3:L2:w1-2,1,6,0,0,K3:L2:w1-2,0,3,2,1,4,7
K3:L2:w1-2,1,7,0,0,K3:L2:w1-2,0,3,2,2,7,7
K3:L2:w1-2,1,7,1,2,K3:L2:w1-2,0,3,2,1,4,8
K3:L2:w1-2,2,0,0,0,K3:L2:w1-2,0,3,2,2,7,7
K3:L2:w1-2,2,0,1,2,K3:L2:w1-2,0,3,2,1,4,8
K3:L2:w1-2,2,1,0,0,K3:L2:w1-2,0,3,2,2,8,8
K3:L2:w1-2,2,1,1,2,K3:L2:w1-2,0,3,2,1,5,9
K3:L2:w1-2,2,1,2,4,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K3:L2:w1-2,2,1,3,5,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K3:L2:w1-2,2,1,4,6,K6:L4:w1-1-1-3,3,6,4,1,12,10
K3:L2:w1-2,2,2,0,0,K3:L2:w1-2,0,3,2,2,7,9
K3:L2:w1-2,2,2,1,2,K3:L2:w1-2,0,3,2,1,4,9
K3:L2:w1-2,2,3,0,0,K3:L2:w1-2,0,3,2,2,9,9
K3:L2:w1-2,2,3,1,2,K3:L2:w1-2,0,3,2,1,6,10
K3:L2:w1-2,2,4,0,0,K3:L2:w1-2,0,3,2,2,7,10
K3:L2:w1-2,2,4,1,2,K3:L2:w1-2,0,3,2,1,4,10
K3:L2:w1-2,2,5,0,0,K3:L2:w1-2,0,3,2,2,8,10
K3:L2:w1-2,2,5,1,2,K3:L2:w1-2,0,3,2,1,5,10
K3:L2:w1-2,2,5,2,4,K6:L4:w1-1-2-2,4,6,4,1,7,10
K3:L2:w1-2,2,5,3,5,K3:L2:w1-2,0,3,2,1,4,11
K3:L2:w1-2,2,6,0,0,K3:L2:w1-2,0,3,2,2,7,10
K3:L2:w1-2,2,6,1,2,K3:L2:w1-2,0,3,2,1,4,10
K3:L2:w1-2,2,7,0,0,K3:L2:w1-2,0,3,2,3,10,10
K3:L2:w1-2,2,7,1,2,K3:L2:w1-2,0,3,2,2,7,11
K3:L2:w1-2,2,7,2,4,K3:L2:w1-2,0,3,2,1,4,11
K4:L3:w1-1-2,1,0,0,0,K4:L3:w1-1-2,1,4,3,1,5,3
