src,dst,count
K4:L3:w1-1-2:b1,K3:L2:w1-2:b1,18249
K3:L2:w1-2:b2,K3:L2:w1-2:b1,9783
K6:L4:w1-1-2-2:b1,K3:L2:w1-2:b1,8290
K5:L4:w1-1-1-2:b1,K4:L3:w1-1-2:b1,6188
K3:L2:w1-2:b1,K4:L3:w1-1-2:b1,5298
K4:L3:w1-1-2:b2,K3:L2:w1-2:b1,3980
K7:L5:w1-1-2-1-2:b1,K3:L2:w1-2:b2,2723
K3:L2:w1-2:b1,K6:L4:w1-1-2-2:b1,2523
K7:L5:w1-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,1945
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b1,1664
K3:L2:w1-2:b1,K6:L4:w1-1-1-3:b1,1653
K7:L5:w1-1-1-1-3:b1,K6:L4:w1-1-1-3:b1,1631
K3:L2:w1-2:b3,K3:L2:w1-2:b2,1608
K6:L5:w1-1-1-1-2:b1,K5:L4:w1-1-1-2:b1,1547
K5:L4:w1-1-1-2:b2,K4:L3:w1-1-2:b1,1332
K3:L2:w1-2:b1,K3:L2:w1-2:b2,1226
K3:L2:w1-2:b1,K4:L3:w1-1-2:b2,1008
K9:L6:w1-1-2-2-1-2:b1,K3:L2:w1-2:b1,962
K9:L6:w1-1-2-1-2-2:b1,K3:L2:w1-2:b2,950
K3:L2:w1-2:b1,K7:L5:w1-1-2-1-2:b1,786
K9:L6:w1-1-2-1-1-3:b1,K3:L2:w1-2:b1,774
K8:L6:w1-1-1-2-1-2:b1,K7:L5:w1-1-2-1-2:b1,729
K9:L6:w1-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,726
K9:L6:w1-1-1-3-1-2:b1,K3:L2:w1-2:b1,725
K6:L4:w1-1-1-3:b1,K3:L2:w1-2:b1,722
K9:L6:w1-1-1-2-1-3:b1,K4:L3:w1-1-2:b1,605
K9:L6:w1-1-1-1-3-2:b1,K6:L4:w1-1-1-3:b1,559
K8:L6:w1-1-1-1-2-2:b1,K7:L5:w1-1-1-2-2:b1,557
K3:L2:w1-2:b1,K7:L5:w1-1-1-2-2:b1,500
K9:L6:w1-1-1-1-2-3:b1,K5:L4:w1-1-1-2:b1,496
K11:L7:w1-1-2-2-1-2-2:b1,K3:L2:w1-2:b1,482
K8:L6:w1-1-1-1-1-3:b1,K7:L5:w1-1-1-1-3:b1,473
K11:L7:w1-1-2-1-2-2-2:b1,K3:L2:w1-2:b2,467
K7:L6:w1-1-1-1-1-2:b1,K6:L5:w1-1-1-1-2:b1,456
K3:L2:w1-2:b1,K7:L5:w1-1-1-1-3:b1,445
K10:L7:w1-1-2-1-2-1-2:b1,K3:L2:w1-2:b3,441
K11:L7:w1-1-2-2-2-1-2:b1,K3:L2:w1-2:b1,439
K11:L7:w1-1-2-1-1-3-2:b1,K3:L2:w1-2:b1,438
K11:L7:w1-1-2-1-2-1-3:b1,K3:L2:w1-2:b2,430
K9:L7:w1-1-1-2-1-1-2:b1,K4:L3:w1-1-2:b2,396
K11:L7:w1-1-1-2-2-2-2:b1,K6:L4:w1-1-2-2:b1,394
K11:L7:w1-1-2-2-1-1-3:b1,K3:L2:w1-2:b1,393
K4:L3:w1-1-2:b3,K3:L2:w1-2:b1,392
K11:L7:w1-1-3-1-2-1-2:b1,K3:L2:w1-2:b2,388
K11:L7:w1-1-2-1-3-1-2:b1,K3:L2:w1-2:b1,386
K10:L7:w1-1-1-2-1-2-2:b1,K9:L6:w1-1-2-1-2-2:b1,373
K11:L7:w1-1-1-3-1-2-2:b1,K3:L2:w1-2:b1,362
K10:L7:w1-1-1-3-1-1-2:b1,K4:L3:w1-1-2:b1,356
K3:L2:w1-2:b1,K6:L5:w1-1-1-1-2:b1,354
K11:L7:w1-1-1-2-1-3-2:b1,K4:L3:w1-1-2:b1,354
K6:L5:w1-1-1-1-2:b2,K5:L4:w1-1-1-2:b1,346
K6:L4:w1-1-2-2:b2,K3:L2:w1-2:b1,344
K10:L7:w1-1-1-2-1-1-3:b1,K9:L6:w1-1-2-1-1-3:b1,344
K11:L7:w1-1-1-3-2-1-2:b1,K3:L2:w1-2:b1,343
K11:L7:w1-1-1-2-3-1-2:b1,K4:L3:w1-1-2:b1,328
K11:L7:w1-1-1-1-3-2-2:b1,K6:L4:w1-1-1-3:b1,325
K11:L7:w1-1-1-2-2-1-3:b1,K6:L4:w1-1-2-2:b1,324
K10:L7:w1-1-1-2-2-1-2:b1,K9:L6:w1-1-2-2-1-2:b1,322
K11:L7:w1-1-1-2-1-2-3:b1,K7:L5:w1-1-2-1-2:b1,321
K6:L4:w1-1-1-3:b1,K5:L4:w1-1-1-2:b1,309
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b2,299
K10:L7:w1-1-1-1-2-2-2:b1,K9:L6:w1-1-1-2-2-2:b1,295
K3:L2:w1-2:b4,K3:L2:w1-2:b3,292
K11:L7:w1-1-1-1-2-3-2:b1,K5:L4:w1-1-1-2:b1,289
K3:L2:w1-2:b1,K9:L6:w1-1-2-2-1-2:b1,288
K11:L7:w1-1-1-2-1-1-4:b1,K4:L3:w1-1-2:b1,284
K11:L7:w1-1-1-1-2-2-3:b1,K7:L5:w1-1-1-2-2:b1,284
K9:L7:w1-1-1-1-2-1-2:b1,K8:L6:w1-1-1-2-1-2:b1,282
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-2-2:b1,280
K10:L7:w1-1-1-1-3-1-2:b1,K9:L6:w1-1-1-3-1-2:b1,279
K11:L7:w1-1-1-1-1-3-3:b1,K7:L5:w1-1-1-1-3:b1,273
K11:L7:w1-1-1-1-3-1-3:b1,K6:L4:w1-1-1-3:b1,265
K11:L7:w1-1-1-1-1-2-4:b1,K6:L5:w1-1-1-1-2:b1,264
K9:L7:w1-1-1-1-1-2-2:b1,K8:L6:w1-1-1-1-2-2:b1,260
K10:L7:w1-1-1-1-1-3-2:b1,K9:L6:w1-1-1-1-3-2:b1,260
K11:L7:w1-1-1-1-2-1-4:b1,K5:L4:w1-1-1-2:b1,254
K10:L7:w1-1-1-1-2-1-3:b1,K9:L6:w1-1-1-2-1-3:b1,250
K10:L7:w1-1-1-1-1-1-4:b1,K9:L6:w1-1-1-1-1-4:b1,248
K11:L7:w1-1-1-1-4-1-2:b1,K3:L2:w1-2:b1,245
K10:L7:w1-1-1-1-1-2-3:b1,K9:L6:w1-1-1-1-2-3:b1,243
K8:L7:w1-1-1-1-1-1-2:b1,K7:L6:w1-1-1-1-1-2:b1,239
K9:L7:w1-1-1-1-1-1-3:b1,K8:L6:w1-1-1-1-1-3:b1,219
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-2-2:b1,209
K3:L2:w1-2:b1,K9:L6:w1-1-1-3-1-2:b1,204
K12:L8:w1-1-2-1-2-2-1-2:b1,K3:L2:w1-2:b2,198
K3:L2:w1-2:b1,K8:L6:w1-1-1-2-1-2:b1,196
K12:L8:w1-1-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,182
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-1-3:b1,182
K6:L4:w1-1-1-3:b1,K4:L3:w1-1-2:b1,175
K12:L8:w1-1-2-1-2-1-2-2:b1,K3:L2:w1-2:b3,169
K6:L4:w1-1-1-3:b2,K6:L4:w1-1-1-3:b1,162
K3:L2:w1-2:b1,K3:L2:w1-2:b3,162
