src,dst,count,source_events,empirical_probability
K4:L3:b1,K3:L2:b1,18249,18249,1.0
K3:L2:b2,K3:L2:b1,9783,9783,1.0
K6:L4:b1,K3:L2:b1,9012,14347,0.6281452568481216
K15:L10:b1,K14:L9:b1,7764,10809,0.7182903136275326
K5:L4:b1,K4:L3:b1,6188,6188,1.0
K3:L2:b1,K4:L3:b1,5298,50343,0.10523806686133126
K16:L11:b1,K15:L10:b1,5236,7076,0.7399660825325043
K3:L2:b1,K6:L4:b1,4176,50343,0.08295095643882963
K4:L3:b2,K3:L2:b1,3980,3980,1.0
K7:L5:b1,K6:L4:b1,3576,6299,0.5677091601841562
K12:L8:b1,K11:L7:b1,3320,4829,0.6875129426382274
K13:L9:b1,K12:L8:b1,3236,4707,0.6874867219035479
K14:L10:b1,K13:L9:b1,3205,4733,0.6771603634058736
K11:L7:b1,K3:L2:b1,3176,9499,0.33435098431413834
K15:L11:b1,K14:L10:b1,2956,4915,0.6014242115971515
K14:L9:b1,K11:L7:b1,2939,12291,0.23911805386054838
K7:L5:b1,K3:L2:b2,2723,6299,0.43229083981584376
K10:L7:b1,K9:L6:b1,2614,3416,0.7652224824355972
K9:L6:b1,K3:L2:b1,2513,6235,0.40304731355252604
K16:L12:b1,K15:L11:b1,2345,2845,0.8242530755711776
K3:L2:b1,K16:L11:b1,2277,50343,0.04522972409272391
K3:L2:b1,K11:L7:b1,1996,50343,0.0396480146197088
K3:L2:b1,K15:L10:b1,1982,50343,0.039369922332797014
K3:L2:b1,K14:L9:b1,1911,50343,0.037959597163458675
K8:L6:b1,K7:L5:b1,1759,1759,1.0
K3:L2:b1,K7:L5:b1,1731,50343,0.034384124903164295
K3:L2:b1,K5:L4:b1,1664,50343,0.03305325467294361
K3:L2:b1,K9:L6:b1,1637,50343,0.03251693383389945
K3:L2:b3,K3:L2:b2,1608,1608,1.0
K6:L5:b1,K5:L4:b1,1547,1547,1.0
K14:L9:b1,K3:L2:b1,1498,12291,0.12187779676185827
K11:L7:b1,K6:L4:b1,1403,9499,0.14769975786924938
K5:L4:b2,K4:L3:b1,1332,1332,1.0
K11:L7:b1,K3:L2:b2,1291,9499,0.13590904305716392
K9:L6:b1,K6:L4:b1,1291,6235,0.2070569366479551
K14:L9:b1,K6:L4:b1,1252,12291,0.10186315189976405
K3:L2:b1,K3:L2:b2,1226,50343,0.024352938839560613
K11:L7:b1,K4:L3:b1,1157,9499,0.12180229497841878
K14:L9:b1,K4:L3:b1,1132,12291,0.09209991050362054
K11:L8:b1,K10:L7:b1,1121,1577,0.7108433734939759
K14:L11:b1,K13:L10:b1,1080,1659,0.650994575045208
