src,dst,count,source_events,empirical_probability
K4:b1,K3:b1,18249,18249,1.0
K15:b1,K14:b1,12034,17683,0.6805406322456596
K3:b2,K3:b1,9783,9783,1.0
K6:b1,K3:b1,9012,15894,0.5670064175160437
K16:b1,K15:b1,8494,10922,0.7776963926020876
K5:b1,K4:b1,6188,6188,1.0
K3:b1,K4:b1,5298,50343,0.10523806686133126
K12:b1,K11:b1,4736,6711,0.7057070481299359
K14:b1,K13:b1,4625,19122,0.24186800543876164
K13:b1,K12:b1,4600,6742,0.6822901216256304
K3:b1,K6:b1,4530,50343,0.08998271855074191
K7:b1,K6:b1,4032,6755,0.5968911917098445
K4:b2,K3:b1,3980,3980,1.0
K3:b1,K16:b1,3571,50343,0.07093339689728463
K3:b1,K15:b1,3274,50343,0.0650338676677989
K11:b1,K3:b1,3176,11541,0.2751927909193311
K10:b1,K9:b1,3073,3917,0.7845289762573397
K14:b1,K11:b1,2942,19122,0.15385419935153227
K3:b1,K14:b1,2870,50343,0.05700891881691596
K7:b1,K3:b2,2723,6755,0.40310880829015544
K9:b1,K3:b1,2513,7493,0.33537968770852794
K3:b1,K11:b1,2339,50343,0.046461275649047534
K8:b1,K7:b1,1998,1998,1.0
K3:b1,K9:b1,1900,50343,0.03774109608088513
K6:b1,K5:b1,1856,15894,0.1167736252673965
K3:b1,K7:b1,1828,50343,0.036310907176767375
K11:b1,K6:b1,1828,11541,0.15839182046616412
K3:b1,K5:b1,1664,50343,0.03305325467294361
K14:b1,K6:b1,1648,19122,0.08618345361363874
K3:b3,K3:b2,1608,1608,1.0
K14:b1,K3:b1,1498,19122,0.0783390858696789
K11:b1,K10:b1,1486,11541,0.12875833983190366
K14:b1,K9:b1,1369,19122,0.07159292960987344
K5:b2,K4:b1,1332,1332,1.0
K9:b1,K6:b1,1292,7493,0.1724275990924863
K11:b1,K3:b2,1291,11541,0.11186205701412356
K11:b1,K4:b1,1279,11541,0.11082228576379863
K3:b1,K3:b2,1226,50343,0.024352938839560613
K15:b1,K16:b1,1213,17683,0.06859695752983092
K14:b1,K4:b1,1209,19122,0.06322560401631629
K3:b1,K12:b1,1156,50343,0.022962477405001687
K3:b1,K4:b2,1008,50343,0.020022644657648532
K14:b1,K10:b1,994,19122,0.05198201024997385
K14:b1,K16:b1,978,19122,0.051145277690618135
K9:b1,K3:b2,959,7493,0.1279861203790204
K11:b1,K7:b1,895,11541,0.07754960575340092
K3:b1,K13:b1,880,50343,0.017480086605883637
K9:b1,K8:b1,852,7493,0.11370612571733618
K3:b1,K10:b1,827,50343,0.016427308662574736
K14:b1,K3:b2,819,19122,0.04283024788202071
K14:b1,K7:b1,808,19122,0.04225499424746366
K15:b1,K6:b1,772,17683,0.04365775038172256
K9:b1,K4:b1,616,7493,0.0822100627252102
K14:b1,K4:b2,559,19122,0.029233343792490325
K15:b1,K4:b1,557,17683,0.031499180003393086
K11:b1,K5:b1,556,11541,0.04817606793172169
K14:b1,K5:b1,556,19122,0.02907645643761113
K15:b1,K4:b2,546,17683,0.030877113611943674
K13:b1,K16:b1,530,6742,0.07861168792643132
K6:b1,K16:b1,507,15894,0.031898829747074364
K9:b1,K5:b1,503,7493,0.06712932069931936
K3:b1,K8:b1,486,50343,0.009653775102794828
K6:b1,K15:b1,481,15894,0.03026299232414748
K10:b1,K3:b3,441,3917,0.11258616287975491
K9:b1,K4:b2,397,7493,0.05298278393166956
K4:b3,K3:b1,392,392,1.0
K16:b1,K4:b2,389,10922,0.03561618751144479
K14:b1,K8:b1,369,19122,0.0192971446501412
K10:b1,K4:b1,356,3917,0.09088588205259127
K15:b1,K3:b1,356,17683,0.02013233048690833
K6:b2,K5:b1,346,963,0.3592938733125649
