src,dst,count,source_events,empirical_probability
K4:L3:w1-1-2:b1,K3:L2:w1-2:b1,18249,18249,1.0
K3:L2:w1-2:b2,K3:L2:w1-2:b1,9783,9783,1.0
K6:L4:w1-1-2-2:b1,K3:L2:w1-2:b1,8290,8290,1.0
K5:L4:w1-1-1-2:b1,K4:L3:w1-1-2:b1,6188,6188,1.0
K3:L2:w1-2:b1,K4:L3:w1-1-2:b1,5298,50343,0.10523806686133126
K4:L3:w1-1-2:b2,K3:L2:w1-2:b1,3980,3980,1.0
K7:L5:w1-1-2-1-2:b1,K3:L2:w1-2:b2,2723,2723,1.0
K3:L2:w1-2:b1,K6:L4:w1-1-2-2:b1,2523,50343,0.050116202848459565
K7:L5:w1-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,1945,1945,1.0
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b1,1664,50343,0.03305325467294361
K3:L2:w1-2:b1,K6:L4:w1-1-1-3:b1,1653,50343,0.03283475359037006
K7:L5:w1-1-1-1-3:b1,K6:L4:w1-1-1-3:b1,1631,1631,1.0
K3:L2:w1-2:b3,K3:L2:w1-2:b2,1608,1608,1.0
K6:L5:w1-1-1-1-2:b1,K5:L4:w1-1-1-2:b1,1547,1547,1.0
K5:L4:w1-1-1-2:b2,K4:L3:w1-1-2:b1,1332,1332,1.0
K3:L2:w1-2:b1,K3:L2:w1-2:b2,1226,50343,0.024352938839560613
K3:L2:w1-2:b1,K4:L3:w1-1-2:b2,1008,50343,0.020022644657648532
K9:L6:w1-1-2-2-1-2:b1,K3:L2:w1-2:b1,962,962,1.0
K9:L6:w1-1-2-1-2-2:b1,K3:L2:w1-2:b2,950,950,1.0
K3:L2:w1-2:b1,K7:L5:w1-1-2-1-2:b1,786,50343,0.015612895536618794
K9:L6:w1-1-2-1-1-3:b1,K3:L2:w1-2:b1,774,774,1.0
K8:L6:w1-1-1-2-1-2:b1,K7:L5:w1-1-2-1-2:b1,729,729,1.0
K9:L6:w1-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,726,726,1.0
K9:L6:w1-1-1-3-1-2:b1,K3:L2:w1-2:b1,725,725,1.0
K6:L4:w1-1-1-3:b1,K3:L2:w1-2:b1,722,6057,0.11920092455010732
K9:L6:w1-1-1-2-1-3:b1,K4:L3:w1-1-2:b1,605,605,1.0
K9:L6:w1-1-1-1-3-2:b1,K6:L4:w1-1-1-3:b1,559,559,1.0
K8:L6:w1-1-1-1-2-2:b1,K7:L5:w1-1-1-2-2:b1,557,557,1.0
K3:L2:w1-2:b1,K7:L5:w1-1-1-2-2:b1,500,50343,0.009931867389706613
K9:L6:w1-1-1-1-2-3:b1,K5:L4:w1-1-1-2:b1,496,496,1.0
K11:L7:w1-1-2-2-1-2-2:b1,K3:L2:w1-2:b1,482,482,1.0
K8:L6:w1-1-1-1-1-3:b1,K7:L5:w1-1-1-1-3:b1,473,473,1.0
K11:L7:w1-1-2-1-2-2-2:b1,K3:L2:w1-2:b2,467,467,1.0
K7:L6:w1-1-1-1-1-2:b1,K6:L5:w1-1-1-1-2:b1,456,456,1.0
K3:L2:w1-2:b1,K7:L5:w1-1-1-1-3:b1,445,50343,0.008839361976838885
K10:L7:w1-1-2-1-2-1-2:b1,K3:L2:w1-2:b3,441,441,1.0
K11:L7:w1-1-2-2-2-1-2:b1,K3:L2:w1-2:b1,439,439,1.0
K11:L7:w1-1-2-1-1-3-2:b1,K3:L2:w1-2:b1,438,438,1.0
K11:L7:w1-1-2-1-2-1-3:b1,K3:L2:w1-2:b2,430,430,1.0
K9:L7:w1-1-1-2-1-1-2:b1,K4:L3:w1-1-2:b2,396,396,1.0
K11:L7:w1-1-1-2-2-2-2:b1,K6:L4:w1-1-2-2:b1,394,394,1.0
K11:L7:w1-1-2-2-1-1-3:b1,K3:L2:w1-2:b1,393,393,1.0
K4:L3:w1-1-2:b3,K3:L2:w1-2:b1,392,392,1.0
K11:L7:w1-1-3-1-2-1-2:b1,K3:L2:w1-2:b2,388,398,0.9748743718592965
K11:L7:w1-1-2-1-3-1-2:b1,K3:L2:w1-2:b1,386,386,1.0
K10:L7:w1-1-1-2-1-2-2:b1,K9:L6:w1-1-2-1-2-2:b1,373,373,1.0
K11:L7:w1-1-1-3-1-2-2:b1,K3:L2:w1-2:b1,362,362,1.0
K10:L7:w1-1-1-3-1-1-2:b1,K4:L3:w1-1-2:b1,356,356,1.0
K3:L2:w1-2:b1,K6:L5:w1-1-1-1-2:b1,354,50343,0.007031762111912282
K11:L7:w1-1-1-2-1-3-2:b1,K4:L3:w1-1-2:b1,354,354,1.0
K6:L5:w1-1-1-1-2:b2,K5:L4:w1-1-1-2:b1,346,346,1.0
K6:L4:w1-1-2-2:b2,K3:L2:w1-2:b1,344,344,1.0
K10:L7:w1-1-1-2-1-1-3:b1,K9:L6:w1-1-2-1-1-3:b1,344,344,1.0
K11:L7:w1-1-1-3-2-1-2:b1,K3:L2:w1-2:b1,343,349,0.9828080229226361
K11:L7:w1-1-1-2-3-1-2:b1,K4:L3:w1-1-2:b1,328,328,1.0
K11:L7:w1-1-1-1-3-2-2:b1,K6:L4:w1-1-1-3:b1,325,325,1.0
K11:L7:w1-1-1-2-2-1-3:b1,K6:L4:w1-1-2-2:b1,324,324,1.0
K10:L7:w1-1-1-2-2-1-2:b1,K9:L6:w1-1-2-2-1-2:b1,322,322,1.0
K11:L7:w1-1-1-2-1-2-3:b1,K7:L5:w1-1-2-1-2:b1,321,321,1.0
K6:L4:w1-1-1-3:b1,K5:L4:w1-1-1-2:b1,309,6057,0.05101535413571075
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b2,299,50343,0.005939256699044554
K10:L7:w1-1-1-1-2-2-2:b1,K9:L6:w1-1-1-2-2-2:b1,295,295,1.0
K3:L2:w1-2:b4,K3:L2:w1-2:b3,292,292,1.0
K11:L7:w1-1-1-1-2-3-2:b1,K5:L4:w1-1-1-2:b1,289,289,1.0
K3:L2:w1-2:b1,K9:L6:w1-1-2-2-1-2:b1,288,50343,0.005720755616471009
K11:L7:w1-1-1-2-1-1-4:b1,K4:L3:w1-1-2:b1,284,284,1.0
K11:L7:w1-1-1-1-2-2-3:b1,K7:L5:w1-1-1-2-2:b1,284,284,1.0
K9:L7:w1-1-1-1-2-1-2:b1,K8:L6:w1-1-1-2-1-2:b1,282,282,1.0
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-2-2:b1,280,50343,0.005561845738235703
K10:L7:w1-1-1-1-3-1-2:b1,K9:L6:w1-1-1-3-1-2:b1,279,279,1.0
K11:L7:w1-1-1-1-1-3-3:b1,K7:L5:w1-1-1-1-3:b1,273,273,1.0
K11:L7:w1-1-1-1-3-1-3:b1,K6:L4:w1-1-1-3:b1,265,265,1.0
K11:L7:w1-1-1-1-1-2-4:b1,K6:L5:w1-1-1-1-2:b1,264,264,1.0
K9:L7:w1-1-1-1-1-2-2:b1,K8:L6:w1-1-1-1-2-2:b1,260,262,0.9923664122137404
K10:L7:w1-1-1-1-1-3-2:b1,K9:L6:w1-1-1-1-3-2:b1,260,260,1.0
K11:L7:w1-1-1-1-2-1-4:b1,K5:L4:w1-1-1-2:b1,254,254,1.0
K10:L7:w1-1-1-1-2-1-3:b1,K9:L6:w1-1-1-2-1-3:b1,250,250,1.0
K10:L7:w1-1-1-1-1-1-4:b1,K9:L6:w1-1-1-1-1-4:b1,248,250,0.992
K11:L7:w1-1-1-1-4-1-2:b1,K3:L2:w1-2:b1,245,251,0.9760956175298805
K10:L7:w1-1-1-1-1-2-3:b1,K9:L6:w1-1-1-1-2-3:b1,243,246,0.9878048780487805
K8:L7:w1-1-1-1-1-1-2:b1,K7:L6:w1-1-1-1-1-2:b1,239,239,1.0
K9:L7:w1-1-1-1-1-1-3:b1,K8:L6:w1-1-1-1-1-3:b1,219,223,0.9820627802690582
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-2-2:b1,209,50343,0.004151520568897364
K3:L2:w1-2:b1,K9:L6:w1-1-1-3-1-2:b1,204,50343,0.004052201895000298
K12:L8:w1-1-2-1-2-2-1-2:b1,K3:L2:w1-2:b2,198,198,1.0
K3:L2:w1-2:b1,K8:L6:w1-1-1-2-1-2:b1,196,50343,0.003893292016764992
K12:L8:w1-1-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,182,182,1.0
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-1-3:b1,182,50343,0.003615199729853207
K6:L4:w1-1-1-3:b1,K4:L3:w1-1-2:b1,175,6057,0.02889219085355787
K12:L8:w1-1-2-1-2-1-2-2:b1,K3:L2:w1-2:b3,169,169,1.0
K6:L4:w1-1-1-3:b2,K6:L4:w1-1-1-3:b1,162,273,0.5934065934065934
K3:L2:w1-2:b1,K3:L2:w1-2:b3,162,50343,0.0032179250342649424
K12:L8:w1-1-2-1-1-3-1-2:b1,K3:L2:w1-2:b1,159,159,1.0
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-1-3:b1,158,50343,0.0031384700951472898
K11:L7:w1-1-1-4-1-1-2:b1,K4:L3:w1-1-2:b1,157,293,0.5358361774744027
K11:L8:w1-1-1-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,154,154,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,149,50343,0.0029596964821325704
K12:L8:w1-1-2-1-2-1-1-3:b1,K3:L2:w1-2:b2,148,148,1.0
K11:L8:w1-1-1-2-1-1-2-2:b1,K4:L3:w1-1-2:b2,147,147,1.0
K12:L8:w1-1-1-1-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,146,146,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,145,50343,0.0028802415430149177
K12:L8:w1-1-1-1-3-2-1-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,143,143,1.0
K12:L8:w1-1-1-2-2-2-1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,138,138,1.0
K12:L8:w1-1-1-1-2-1-3-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,138,138,1.0
K12:L8:w1-1-1-1-3-1-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,137,137,1.0
K12:L8:w1-1-1-2-2-1-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,133,133,1.0
K14:L9:w1-1-2-2-1-2-1-2-2:b1,K3:L2:w1-2:b1,131,131,1.0
K12:L8:w1-1-1-2-1-1-3-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,129,129,1.0
K12:L8:w1-1-1-3-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,129,133,0.9699248120300752
K12:L8:w1-1-1-1-2-1-2-3:b1,K11:L7:w1-1-1-2-1-2-3:b1,127,127,1.0
K12:L8:w1-1-1-2-1-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,126,126,1.0
K14:L9:w1-1-2-1-2-2-1-2-2:b1,K3:L2:w1-2:b2,126,126,1.0
