src,dst,count
K4:L3:w1-1-2:b1,K3:L2:w1-2:b1,36710
K3:L2:w1-2:b2,K3:L2:w1-2:b1,19549
K6:L4:w1-1-2-2:b1,K3:L2:w1-2:b1,16629
K5:L4:w1-1-1-2:b1,K4:L3:w1-1-2:b1,12561
K3:L2:w1-2:b1,K4:L3:w1-1-2:b1,10689
K4:L3:w1-1-2:b2,K3:L2:w1-2:b1,7953
K7:L5:w1-1-2-1-2:b1,K3:L2:w1-2:b2,5460
K3:L2:w1-2:b1,K6:L4:w1-1-2-2:b1,5054
K7:L5:w1-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,3941
K3:L2:w1-2:b1,K6:L4:w1-1-1-3:b1,3382
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b1,3354
K3:L2:w1-2:b3,K3:L2:w1-2:b2,3244
K6:L5:w1-1-1-1-2:b1,K5:L4:w1-1-1-2:b1,3168
K7:L5:w1-1-1-1-3:b1,K6:L4:w1-1-1-3:b1,3152
K5:L4:w1-1-1-2:b2,K4:L3:w1-1-2:b1,2666
K3:L2:w1-2:b1,K3:L2:w1-2:b2,2417
K3:L2:w1-2:b1,K4:L3:w1-1-2:b2,1984
K9:L6:w1-1-2-2-1-2:b1,K3:L2:w1-2:b1,1906
K9:L6:w1-1-2-1-2-2:b1,K3:L2:w1-2:b2,1876
K9:L6:w1-1-2-1-1-3:b1,K3:L2:w1-2:b1,1576
K3:L2:w1-2:b1,K7:L5:w1-1-2-1-2:b1,1549
K8:L6:w1-1-1-2-1-2:b1,K7:L5:w1-1-2-1-2:b1,1489
K9:L6:w1-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,1443
K6:L4:w1-1-1-3:b1,K3:L2:w1-2:b1,1430
K9:L6:w1-1-1-3-1-2:b1,K3:L2:w1-2:b1,1428
K9:L6:w1-1-1-2-1-3:b1,K4:L3:w1-1-2:b1,1188
K9:L6:w1-1-1-1-3-2:b1,K6:L4:w1-1-1-3:b1,1132
K8:L6:w1-1-1-1-2-2:b1,K7:L5:w1-1-1-2-2:b1,1123
K3:L2:w1-2:b1,K7:L5:w1-1-1-2-2:b1,1053
K9:L6:w1-1-1-1-2-3:b1,K5:L4:w1-1-1-2:b1,996
K11:L7:w1-1-2-2-1-2-2:b1,K3:L2:w1-2:b1,984
K7:L6:w1-1-1-1-1-2:b1,K6:L5:w1-1-1-1-2:b1,941
K11:L7:w1-1-2-1-2-2-2:b1,K3:L2:w1-2:b2,933
K8:L6:w1-1-1-1-1-3:b1,K7:L5:w1-1-1-1-3:b1,932
K10:L7:w1-1-2-1-2-1-2:b1,K3:L2:w1-2:b3,897
K11:L7:w1-1-2-2-2-1-2:b1,K3:L2:w1-2:b1,864
K11:L7:w1-1-2-1-1-3-2:b1,K3:L2:w1-2:b1,852
K11:L7:w1-1-2-1-2-1-3:b1,K3:L2:w1-2:b2,852
K3:L2:w1-2:b1,K7:L5:w1-1-1-1-3:b1,841
K11:L7:w1-1-2-1-3-1-2:b1,K3:L2:w1-2:b1,807
K11:L7:w1-1-2-2-1-1-3:b1,K3:L2:w1-2:b1,789
K11:L7:w1-1-3-1-2-1-2:b1,K3:L2:w1-2:b2,789
K9:L7:w1-1-1-2-1-1-2:b1,K4:L3:w1-1-2:b2,779
K11:L7:w1-1-1-2-2-2-2:b1,K6:L4:w1-1-2-2:b1,764
K4:L3:w1-1-2:b3,K3:L2:w1-2:b1,761
K10:L7:w1-1-1-2-1-2-2:b1,K9:L6:w1-1-2-1-2-2:b1,719
K11:L7:w1-1-1-2-1-3-2:b1,K4:L3:w1-1-2:b1,712
K3:L2:w1-2:b1,K6:L5:w1-1-1-1-2:b1,710
