src,dst,count,source_events,empirical_probability
K4:L3:b1,K3:L2:b1,36710,36710,1.0
K3:L2:b2,K3:L2:b1,19549,19549,1.0
K6:L4:b1,K3:L2:b1,18059,28722,0.6287514797019707
K15:L10:b1,K14:L9:b1,15509,21691,0.7149970033654511
K5:L4:b1,K4:L3:b1,12561,12561,1.0
K3:L2:b1,K4:L3:b1,10689,100901,0.10593552095618478
K16:L11:b1,K15:L10:b1,10527,14187,0.7420173398181433
K3:L2:b1,K6:L4:b1,8436,100901,0.08360670360055897
K4:L3:b2,K3:L2:b1,7953,7953,1.0
K7:L5:b1,K6:L4:b1,7093,12553,0.5650442125388353
K12:L8:b1,K11:L7:b1,6654,9660,0.6888198757763975
K13:L9:b1,K12:L8:b1,6518,9399,0.6934780295776146
K11:L7:b1,K3:L2:b1,6393,19101,0.334694518611591
K14:L10:b1,K13:L9:b1,6381,9431,0.676598451913901
K15:L11:b1,K14:L10:b1,5885,9803,0.6003264306844843
K14:L9:b1,K11:L7:b1,5855,24504,0.2389405811296115
K7:L5:b1,K3:L2:b2,5460,12553,0.43495578746116464
K10:L7:b1,K9:L6:b1,5252,6852,0.7664915353181553
K9:L6:b1,K3:L2:b1,5013,12438,0.4030390738060782
K16:L12:b1,K15:L11:b1,4716,5728,0.8233240223463687
K3:L2:b1,K16:L11:b1,4592,100901,0.04550995530272247
K3:L2:b1,K11:L7:b1,4126,100901,0.040891566981496714
K3:L2:b1,K15:L10:b1,3964,100901,0.039286032844074885
K3:L2:b1,K14:L9:b1,3750,100901,0.03716514206994975
K8:L6:b1,K7:L5:b1,3544,3544,1.0
K3:L2:b1,K7:L5:b1,3443,100901,0.03412255577248987
K3:L2:b1,K5:L4:b1,3354,100901,0.03324050306736306
K3:L2:b1,K9:L6:b1,3245,100901,0.03216023627119652
K3:L2:b3,K3:L2:b2,3244,3244,1.0
K6:L5:b1,K5:L4:b1,3168,3168,1.0
K14:L9:b1,K3:L2:b1,2969,24504,0.12116389160953314
K11:L7:b1,K6:L4:b1,2800,19101,0.14658918381236585
K5:L4:b2,K4:L3:b1,2666,2666,1.0
K9:L6:b1,K6:L4:b1,2590,12438,0.20823283486091013
