src,dst,count,source_events,empirical_probability
K4:b1,K3:b1,36710,36710,1.0
K15:b1,K14:b1,24005,35395,0.6782031360361633
K3:b2,K3:b1,19549,19549,1.0
K6:b1,K3:b1,18059,31890,0.5662903731577297
K16:b1,K15:b1,17039,21887,0.7784986521679536
K5:b1,K4:b1,12561,12561,1.0
K3:b1,K4:b1,10689,100901,0.10593552095618478
K12:b1,K11:b1,9540,13483,0.7075576652080398
K13:b1,K12:b1,9265,13484,0.6871106496588549
K14:b1,K13:b1,9221,38147,0.2417228091330904
K3:b1,K6:b1,9146,100901,0.09064330383246945
K7:b1,K6:b1,8034,13494,0.5953757225433526
K4:b2,K3:b1,7953,7953,1.0
K3:b1,K16:b1,7184,100901,0.07119850150147174
K3:b1,K15:b1,6500,100901,0.0644195795879129
K11:b1,K3:b1,6393,23268,0.27475502836513666
K10:b1,K9:b1,6198,7876,0.786947689182326
K14:b1,K11:b1,5859,38147,0.15359005950664534
K3:b1,K14:b1,5692,100901,0.05641173030990773
K7:b1,K3:b2,5460,13494,0.4046242774566474
K9:b1,K3:b1,5013,15009,0.3339996002398561
K3:b1,K11:b1,4844,100901,0.04800745284982309
K8:b1,K7:b1,4036,4040,0.999009900990099
K6:b1,K5:b1,3795,31890,0.11900282220131703
K3:b1,K9:b1,3785,100901,0.037512016729269286
K3:b1,K7:b1,3651,100901,0.03618398231930308
K11:b1,K6:b1,3651,23268,0.156910778751934
K3:b1,K5:b1,3354,100901,0.03324050306736306
K3:b3,K3:b2,3244,3244,1.0
K14:b1,K6:b1,3234,38147,0.08477730883162503
K11:b1,K10:b1,3045,23268,0.13086642599277978
K14:b1,K3:b1,2969,38147,0.07783049781109917
K14:b1,K9:b1,2699,38147,0.07075261488452565
K5:b2,K4:b1,2666,2666,1.0
K9:b1,K6:b1,2593,15009,0.17276300886134985
K11:b1,K3:b2,2589,23268,0.11126869520371326
K11:b1,K4:b1,2553,23268,0.10972150593089221
K15:b1,K16:b1,2429,35395,0.06862551207797711
K14:b1,K4:b1,2425,38147,0.063569874433114
K3:b1,K3:b2,2417,100901,0.023954172902151613
K3:b1,K12:b1,2280,100901,0.02259640637852945
K14:b1,K10:b1,2008,38147,0.05263847746873935
K3:b1,K4:b2,1984,100901,0.019662837831141415
K14:b1,K16:b1,1963,38147,0.05145883031431043
K9:b1,K3:b2,1894,15009,0.12619095209540943
K3:b1,K13:b1,1815,100901,0.01798792876185568
K11:b1,K7:b1,1791,23268,0.07697266632284683
K9:b1,K8:b1,1765,15009,0.11759610900126591
K3:b1,K10:b1,1623,100901,0.016085073487874253
K14:b1,K3:b2,1612,38147,0.04225758250976486
K14:b1,K7:b1,1599,38147,0.041916795554040945
K15:b1,K6:b1,1584,35395,0.04475208362763102
K9:b1,K4:b1,1216,15009,0.08101805583316676
K14:b1,K4:b2,1168,38147,0.03061839725273285
K11:b1,K5:b1,1160,23268,0.04985387656867801
K14:b1,K5:b1,1126,38147,0.029517393241932526
K15:b1,K4:b2,1117,35395,0.03155812967933324
K15:b1,K4:b1,1076,35395,0.030399773979375617
K13:b1,K16:b1,1053,13484,0.07809255413823792
K9:b1,K5:b1,1008,15009,0.0671597041774935
K6:b1,K16:b1,1003,31890,0.03145186578864848
K6:b1,K15:b1,974,31890,0.030542489808717467
K3:b1,K8:b1,965,100901,0.00956382989266707
K10:b1,K3:b3,897,7876,0.11389029964448959
K9:b1,K4:b2,780,15009,0.05196881870877473
K16:b1,K4:b2,767,21887,0.03504363320692649
K4:b3,K3:b1,761,761,1.0
K14:b1,K8:b1,738,38147,0.019346213332634282
K15:b1,K3:b1,720,35395,0.020341856194377738
K6:b2,K5:b1,710,1946,0.3648509763617677
K10:b1,K4:b1,695,7876,0.08824276282376842
K6:b1,K14:b1,693,31890,0.021730950141110067
K12:b1,K3:b1,684,13483,0.05073054958095379
K6:b2,K3:b1,684,1946,0.35149023638232274
K12:b1,K3:b2,672,13483,0.04984053993918267
K16:b1,K6:b1,659,21887,0.030109197240370998
K12:b1,K4:b1,652,13483,0.04835719053623081
K15:b1,K3:b2,651,35395,0.018392428309083202
K3:b1,K5:b2,601,100901,0.005956333435743947
K14:b1,K3:b3,597,38147,0.015649985582090336
K15:b1,K9:b1,596,35395,0.016838536516457128
K3:b4,K3:b3,574,574,1.0
K7:b2,K6:b1,571,785,0.7273885350318471
K15:b1,K7:b1,543,35395,0.015341149879926543
K12:b1,K16:b1,504,13483,0.037380404954387006
K13:b1,K6:b2,491,13484,0.03641352714328092
K6:b1,K11:b1,461,31890,0.014455942301661962
K12:b1,K6:b1,452,13483,0.03352369650671216
K15:b1,K5:b2,443,35395,0.012515892075151858
K15:b1,K7:b2,442,35395,0.012487639497104111
K12:b1,K4:b2,425,13483,0.031521174812727135
K16:b1,K11:b1,423,21887,0.019326540869009
K3:b1,K6:b2,407,100901,0.004033656752658547
K16:b1,K7:b1,391,21887,0.017864485767807373
K6:b1,K7:b1,391,31890,0.012260896832862966
K13:b1,K4:b1,382,13484,0.028329872441412045
K13:b1,K4:b2,381,13484,0.028255710471670126
K15:b1,K6:b2,380,35395,0.010735979658143806
K6:b1,K9:b1,375,31890,0.011759172154280339
K16:b1,K4:b1,374,21887,0.01708776899529401
K16:b1,K5:b1,370,21887,0.016905012107643808
K13:b1,K6:b1,355,13484,0.026327499258380304
K12:b1,K3:b3,351,13483,0.026032782021805236
K6:b1,K4:b1,343,31890,0.010755722797115083
K16:b1,K5:b2,342,21887,0.015625713894092383
K16:b1,K9:b1,341,21887,0.015580024672179832
K3:b1,K3:b3,336,100901,0.0033299967294674977
K15:b1,K5:b1,336,35395,0.009492866224042945
K6:b2,K6:b1,335,1946,0.1721479958890031
K11:b1,K16:b1,318,23268,0.013666838576585868
K13:b1,K7:b1,306,13484,0.0226935627410264
K14:b1,K5:b2,299,38147,0.007838099981649933
K11:b1,K4:b2,284,23268,0.012205604263365996
K6:b1,K6:b1,273,31890,0.008560677328316087
K6:b1,K13:b1,259,31890,0.008121668234556288
K15:b1,K3:b3,253,35395,0.007147902246079954
K6:b1,K12:b1,252,31890,0.007902163687676388
K13:b1,K5:b1,238,13484,0.01765054879857609
K16:b1,K10:b1,231,21887,0.010554210261799242
K16:b1,K6:b2,231,21887,0.010554210261799242
K13:b1,K3:b2,221,13484,0.01638979531296351
K7:b2,K3:b2,214,785,0.27261146496815286
K13:b1,K3:b4,205,13484,0.01520320379709285
K13:b1,K3:b1,192,13484,0.014239098190447939
K6:b1,K10:b1,177,31890,0.00555032925682032
K6:b1,K8:b1,171,31890,0.005362182502351835
K12:b1,K7:b1,171,13483,0.012682637395238448
K6:b1,K3:b2,165,31890,0.0051740357478833494
K13:b1,K5:b2,163,13484,0.012088401067932365
K11:b1,K5:b2,159,23268,0.006833419288292934
K11:b1,K15:b1,146,23268,0.006274712050885336
K15:b1,K3:b4,142,35395,0.004011866082780054
K10:b2,K9:b1,139,196,0.7091836734693877
K8:b2,K7:b1,138,138,1.0
K3:b1,K4:b3,136,100901,0.0013478558190701778
K13:b1,K4:b3,133,13484,0.009863541975674874
K3:b1,K7:b2,129,100901,0.0012784808872062716
K15:b1,K4:b3,128,35395,0.0036163299901115975
K11:b1,K14:b1,126,23268,0.005415162454873646
K16:b1,K4:b3,126,21887,0.005756841960981404
K9:b1,K16:b1,123,15009,0.008195082950229863
K16:b1,K3:b1,122,21887,0.005574085073331201
K15:b1,K10:b1,110,35395,0.0031077835852521543
K15:b1,K11:b1,99,35395,0.002797005226726939
K16:b1,K8:b1,87,21887,0.0039749623063919225
K15:b1,K8:b1,86,35395,0.0024297217121062296
K10:b1,K16:b1,83,7876,0.010538344337227019
K3:b5,K3:b4,82,82,1.0
K16:b1,K3:b2,82,21887,0.003746516196829168
K9:b2,K8:b1,75,289,0.25951557093425603
K9:b1,K14:b1,74,15009,0.004930375108268372
K9:b2,K3:b1,69,289,0.23875432525951557
K9:b1,K15:b1,69,15009,0.004597241655006996
K12:b2,K11:b1,68,68,1.0
K6:b2,K9:b1,66,1946,0.03391572456320658
K5:b3,K4:b1,64,64,1.0
K11:b1,K9:b1,58,23268,0.0024926938284339007
K16:b1,K3:b3,58,21887,0.002649974870927948
K6:b2,K11:b1,52,1946,0.02672147995889003
K16:b1,K3:b5,51,21887,0.0023301503175400923
K11:b2,K3:b1,51,119,0.42857142857142855
K6:b1,K5:b2,50,31890,0.0015678896205707118
K3:b1,K3:b4,50,100901,0.0004955352275993301
K11:b1,K12:b1,46,23268,0.0019769640708268868
K16:b1,K5:b3,45,21887,0.0020560149860647872
K15:b1,K12:b1,45,35395,0.0012713660121486086
K11:b1,K11:b1,43,23268,0.0018480316314251333
K14:b1,K15:b1,43,38147,0.0011272183920098566
K14:b1,K14:b1,42,38147,0.001101004010800325
K9:b2,K6:b1,39,289,0.13494809688581316
K11:b1,K13:b1,37,23268,0.0015901667526216263
K11:b2,K4:b1,34,119,0.2857142857142857
K15:b1,K15:b1,32,35395,0.0009040824975278994
K6:b2,K14:b1,31,1946,0.01593011305241521
K6:b1,K4:b2,31,31890,0.0009720915647538414
K6:b1,K3:b3,29,31890,0.0009093759799310129
K14:b1,K3:b4,26,38147,0.0006815739114478203
K6:b1,K6:b2,26,31890,0.0008153026026967702
K13:b1,K11:b1,25,13484,0.0018540492435479086
K9:b2,K4:b1,23,289,0.07958477508650519
K9:b2,K3:b2,23,289,0.07958477508650519
K9:b2,K4:b2,22,289,0.07612456747404844
K9:b1,K12:b1,21,15009,0.0013991605036977814
K9:b2,K5:b1,21,289,0.0726643598615917
K10:b2,K3:b1,21,196,0.10714285714285714
K6:b1,K7:b2,20,31890,0.0006271558482282847
K14:b1,K8:b2,20,38147,0.000524287624190631
K16:b1,K9:b2,20,21887,0.0009137844382510166
K10:b2,K4:b1,19,196,0.09693877551020408
K9:b1,K11:b1,18,15009,0.0011992804317409553
K6:b2,K12:b1,18,1946,0.009249743062692703
K13:b2,K4:b2,18,35,0.5142857142857142
K6:b2,K10:b1,18,1946,0.009249743062692703
K15:b2,K14:b1,18,18,1.0
K15:b1,K8:b2,18,35395,0.0005085464048594434
K6:b2,K13:b1,17,1946,0.008735868448098663
K14:b1,K12:b1,17,38147,0.0004456444805620363
K9:b1,K13:b1,17,15009,0.0011326537410886802
K10:b2,K3:b3,17,196,0.08673469387755102
K11:b2,K7:b1,17,119,0.14285714285714285
K11:b2,K5:b2,17,119,0.14285714285714285
K13:b2,K4:b1,17,35,0.4857142857142857
K3:b1,K9:b2,16,100901,0.0001585712728317856
K6:b1,K8:b2,15,31890,0.00047036688617121356
K3:b1,K8:b2,14,100901,0.0001387498637278124
K9:b1,K7:b1,14,15009,0.0009327736691318542
K13:b1,K9:b1,14,13484,0.0010382675763868287
K13:b1,K6:b3,14,13484,0.0010382675763868287
K15:b1,K13:b1,14,35395,0.000395536092668456
K16:b1,K14:b1,14,21887,0.0006396491067757116
K15:b1,K9:b2,14,35395,0.000395536092668456
K16:b1,K12:b1,13,21887,0.0005939598848631607
K4:b4,K3:b1,13,13,1.0
K9:b1,K10:b1,12,15009,0.0007995202878273036
K14:b1,K4:b3,12,38147,0.0003145725745143786
K14:b1,K9:b2,11,38147,0.000288358193304847
K16:b1,K13:b1,11,21887,0.0005025814410380591
K12:b1,K9:b1,11,13483,0.0008158421716235259
K13:b1,K4:b4,11,13484,0.0008157816671610798
K6:b2,K15:b1,10,1946,0.0051387461459403904
K6:b3,K3:b1,10,19,0.5263157894736842
K9:b1,K8:b2,9,15009,0.0005996402158704777
K13:b1,K14:b1,9,13484,0.0006674577276772471
K13:b1,K15:b1,9,13484,0.0006674577276772471
K3:b6,K3:b5,9,9,1.0
K11:b1,K8:b1,8,23268,0.00034381983840467596
K16:b1,K3:b6,8,21887,0.00036551377530040665
K9:b2,K9:b1,7,289,0.02422145328719723
K11:b1,K10:b2,7,23268,0.00030084235860409147
K15:b1,K10:b2,6,35395,0.00016951546828648114
K6:b3,K5:b1,6,19,0.3157894736842105
K12:b1,K14:b1,6,13483,0.0004450048208855596
K14:b1,K6:b2,6,38147,0.0001572862872571893
K6:b1,K3:b4,5,31890,0.00015678896205707118
K9:b2,K11:b1,4,289,0.01384083044982699
