src,dst,count,source_events,empirical_probability
K4:L3:w1-1-2:b1,K3:L2:w1-2:b1,36710,36710,1.0
K3:L2:w1-2:b2,K3:L2:w1-2:b1,19549,19549,1.0
K6:L4:w1-1-2-2:b1,K3:L2:w1-2:b1,16629,16629,1.0
K5:L4:w1-1-1-2:b1,K4:L3:w1-1-2:b1,12561,12561,1.0
K3:L2:w1-2:b1,K4:L3:w1-1-2:b1,10689,100901,0.10593552095618478
K4:L3:w1-1-2:b2,K3:L2:w1-2:b1,7953,7953,1.0
K7:L5:w1-1-2-1-2:b1,K3:L2:w1-2:b2,5460,5460,1.0
K3:L2:w1-2:b1,K6:L4:w1-1-2-2:b1,5054,100901,0.05008870080574028
K7:L5:w1-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,3941,3941,1.0
K3:L2:w1-2:b1,K6:L4:w1-1-1-3:b1,3382,100901,0.03351800279481868
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b1,3354,100901,0.03324050306736306
K3:L2:w1-2:b3,K3:L2:w1-2:b2,3244,3244,1.0
K6:L5:w1-1-1-1-2:b1,K5:L4:w1-1-1-2:b1,3168,3168,1.0
K7:L5:w1-1-1-1-3:b1,K6:L4:w1-1-1-3:b1,3152,3152,1.0
K5:L4:w1-1-1-2:b2,K4:L3:w1-1-2:b1,2666,2666,1.0
K3:L2:w1-2:b1,K3:L2:w1-2:b2,2417,100901,0.023954172902151613
K3:L2:w1-2:b1,K4:L3:w1-1-2:b2,1984,100901,0.019662837831141415
K9:L6:w1-1-2-2-1-2:b1,K3:L2:w1-2:b1,1906,1906,1.0
K9:L6:w1-1-2-1-2-2:b1,K3:L2:w1-2:b2,1876,1876,1.0
K9:L6:w1-1-2-1-1-3:b1,K3:L2:w1-2:b1,1576,1576,1.0
K3:L2:w1-2:b1,K7:L5:w1-1-2-1-2:b1,1549,100901,0.015351681351027244
K8:L6:w1-1-1-2-1-2:b1,K7:L5:w1-1-2-1-2:b1,1489,1489,1.0
K9:L6:w1-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,1443,1443,1.0
K6:L4:w1-1-1-3:b1,K3:L2:w1-2:b1,1430,12093,0.11825022740428347
K9:L6:w1-1-1-3-1-2:b1,K3:L2:w1-2:b1,1428,1428,1.0
