source_node,source_id,source_K,source_L,source_b,t,start_residue_bits,start_residue,start_bit_length,stopped_below_start,stop_or_final_step,episode_count,max_ratio,episode_path
K3:L2:w1-2,0,3,2,1,0,4,11,4,1,3,1,1.5454545454545454,K3:L2:w1-2:b1@0
K3:L2:w1-2,0,3,2,1,1,4,11,5,1,37,16,113.96296296296296,K3:L2:w1-2:b1@0 > K15:L11:w1-1-1-1-2-2-1-2-1-1-2:b1@2 > K14:L10:w1-1-1-2-2-1-2-1-1-2:b1@3 > K9:L6:w1-1-2-2-1-2:b1@4 > K3:L2:w1-2:b1@5 > K4:L3:w1-1-2:b1@10 > K3:L2:w1-2:b1@11 > K15:L10:w1-1-1-2-3-1-1-2-1-2:b1@13 > K4:L3:w1-1-2:b1@14 > K3:L2:w1-2:b1@15 > K7:L5:w1-1-2-1-2:b1@18 > K3:L2:w1-2:b2@19 > K3:L2:w1-2:b1@21 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@23 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@24 > K6:L4:w1-1-1-3:b1@25
K4:L3:w1-1-2,1,4,3,1,0,5,7,3,1,4,2,2.4285714285714284,K4:L3:w1-1-2:b1@0 > K3:L2:w1-2:b1@1
K4:L3:w1-1-2,1,4,3,1,1,5,7,6,1,5,2,2.58974358974359,K4:L3:w1-1-2:b1@0 > K3:L2:w1-2:b1@1
K5:L4:w1-1-1-2,2,5,4,1,0,6,47,6,1,34,14,65.46808510638297,K14:L10:w1-1-1-2-2-1-2-1-1-2:b1@0 > K9:L6:w1-1-2-2-1-2:b1@1 > K3:L2:w1-2:b1@2 > K4:L3:w1-1-2:b1@7 > K3:L2:w1-2:b1@8 > K15:L10:w1-1-1-2-3-1-1-2-1-2:b1@10 > K4:L3:w1-1-2:b1@11 > K3:L2:w1-2:b1@12 > K7:L5:w1-1-2-1-2:b1@15 > K3:L2:w1-2:b2@16 > K3:L2:w1-2:b1@18 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@20 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@21 > K6:L4:w1-1-1-3:b1@22
K5:L4:w1-1-1-2,2,5,4,1,1,6,47,7,1,19,7,27.72072072072072,K8:L6:w1-1-1-2-1-2:b1@0 > K7:L5:w1-1-2-1-2:b1@1 > K3:L2:w1-2:b2@2 > K3:L2:w1-2:b1@4 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@6 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@7 > K6:L4:w1-1-1-3:b1@8
K6:L4:w1-1-1-3,3,6,4,1,0,7,79,7,1,5,1,3.4050632911392404,K6:L4:w1-1-1-3:b1@0
K6:L4:w1-1-1-3,3,6,4,1,1,7,79,8,1,8,3,3.3864734299516908,K10:L7:w1-1-1-3-1-1-2:b1@0 > K4:L3:w1-1-2:b1@4 > K3:L2:w1-2:b1@5
K6:L4:w1-1-2-2,4,6,4,1,0,7,71,7,1,32,13,43.33802816901409,K9:L6:w1-1-2-2-1-2:b1@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@6 > K3:L2:w1-2:b1@7 > K15:L10:w1-1-1-2-3-1-1-2-1-2:b1@9 > K4:L3:w1-1-2:b1@10 > K3:L2:w1-2:b1@11 > K7:L5:w1-1-2-1-2:b1@14 > K3:L2:w1-2:b2@15 > K3:L2:w1-2:b1@17 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@19 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@20 > K6:L4:w1-1-1-3:b1@21
K6:L4:w1-1-2-2,4,6,4,1,1,7,71,8,1,5,2,2.2562814070351758,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1
K6:L5:w1-1-1-1-2,5,6,5,1,0,7,31,5,1,35,15,99.25806451612904,K15:L11:w1-1-1-1-2-2-1-2-1-1-2:b1@0 > K14:L10:w1-1-1-2-2-1-2-1-1-2:b1@1 > K9:L6:w1-1-2-2-1-2:b1@2 > K3:L2:w1-2:b1@3 > K4:L3:w1-1-2:b1@8 > K3:L2:w1-2:b1@9 > K15:L10:w1-1-1-2-3-1-1-2-1-2:b1@11 > K4:L3:w1-1-2:b1@12 > K3:L2:w1-2:b1@13 > K7:L5:w1-1-2-1-2:b1@16 > K3:L2:w1-2:b2@17 > K3:L2:w1-2:b1@19 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@21 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@22 > K6:L4:w1-1-1-3:b1@23
K6:L5:w1-1-1-1-2,5,6,5,1,1,7,31,8,1,13,4,19.352201257861637,K16:L11:w1-1-1-1-2-1-1-1-1-4-2:b1@0 > K5:L4:w1-1-1-2:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3
K7:L5:w1-1-1-1-3,6,7,5,1,0,8,223,8,1,19,5,13.798206278026905,K9:L6:w1-1-1-1-3-2:b1@0 > K6:L4:w1-1-1-3:b1@1 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@6 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@7 > K6:L4:w1-1-1-3:b1@8
K7:L5:w1-1-1-1-3,6,7,5,1,1,8,223,9,1,10,2,6.423799582463466,K14:L9:w1-1-1-1-3-1-1-1-4:b1@0 > K6:L4:w1-1-1-3:b1@1
K7:L5:w1-1-1-2-2,7,7,5,1,0,8,47,6,1,34,14,65.46808510638297,K14:L10:w1-1-1-2-2-1-2-1-1-2:b1@0 > K9:L6:w1-1-2-2-1-2:b1@1 > K3:L2:w1-2:b1@2 > K4:L3:w1-1-2:b1@7 > K3:L2:w1-2:b1@8 > K15:L10:w1-1-1-2-3-1-1-2-1-2:b1@10 > K4:L3:w1-1-2:b1@11 > K3:L2:w1-2:b1@12 > K7:L5:w1-1-2-1-2:b1@15 > K3:L2:w1-2:b2@16 > K3:L2:w1-2:b1@18 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@20 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@21 > K6:L4:w1-1-1-3:b1@22
K7:L5:w1-1-1-2-2,7,7,5,1,1,8,47,9,1,8,3,3.382838283828383,K11:L7:w1-1-1-2-2-2-2:b1@0 > K6:L4:w1-1-2-2:b1@1 > K3:L2:w1-2:b1@2
K7:L5:w1-1-2-1-2,8,7,5,1,0,8,167,8,1,18,6,18.4251497005988,K7:L5:w1-1-2-1-2:b1@0 > K3:L2:w1-2:b2@1 > K3:L2:w1-2:b1@3 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@5 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@6 > K6:L4:w1-1-1-3:b1@7
K7:L5:w1-1-2-1-2,8,7,5,1,1,8,167,9,1,6,3,2.5366430260047284,K7:L5:w1-1-2-1-2:b1@0 > K3:L2:w1-2:b2@1 > K3:L2:w1-2:b1@3
K7:L6:w1-1-1-1-1-2,9,7,6,1,0,8,191,8,1,8,5,7.628272251308901,K11:L7:w1-1-1-1-1-2-4:b1@0 > K6:L5:w1-1-1-1-2:b1@1 > K5:L4:w1-1-1-2:b1@2 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K7:L6:w1-1-1-1-1-2,9,7,6,1,1,8,191,9,1,25,13,29.353467561521253,K14:L10:w1-1-1-1-1-2-1-1-3-2:b1@0 > K13:L9:w1-1-1-1-2-1-1-3-2:b1@1 > K12:L8:w1-1-1-2-1-1-3-2:b1@2 > K11:L7:w1-1-2-1-1-3-2:b1@3 > K3:L2:w1-2:b1@4 > K6:L4:w1-1-1-3:b1@10 > K11:L9:w1-1-1-1-1-1-1-2-2:b1@15 > K10:L8:w1-1-1-1-1-1-2-2:b1@16 > K9:L7:w1-1-1-1-1-2-2:b1@17 > K8:L6:w1-1-1-1-2-2:b1@18 > K7:L5:w1-1-1-2-2:b1@19 > K6:L4:w1-1-2-2:b1@20 > K3:L2:w1-2:b1@21
K8:L6:w1-1-1-1-1-3,10,8,6,1,0,9,319,9,1,13,3,9.64576802507837,K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@0 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@1 > K6:L4:w1-1-1-3:b1@2
K8:L6:w1-1-1-1-1-3,10,8,6,1,1,9,319,10,1,9,3,7.601684717208183,K12:L8:w1-1-1-1-1-3-2-2:b1@0 > K11:L7:w1-1-1-1-3-2-2:b1@1 > K6:L4:w1-1-1-3:b1@2
K8:L6:w1-1-1-1-2-2,11,8,6,1,0,9,31,5,1,35,15,99.25806451612904,K15:L11:w1-1-1-1-2-2-1-2-1-1-2:b1@0 > K14:L10:w1-1-1-2-2-1-2-1-1-2:b1@1 > K9:L6:w1-1-2-2-1-2:b1@2 > K3:L2:w1-2:b1@3 > K4:L3:w1-1-2:b1@8 > K3:L2:w1-2:b1@9 > K15:L10:w1-1-1-2-3-1-1-2-1-2:b1@11 > K4:L3:w1-1-2:b1@12 > K3:L2:w1-2:b1@13 > K7:L5:w1-1-2-1-2:b1@16 > K3:L2:w1-2:b2@17 > K3:L2:w1-2:b1@19 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@21 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@22 > K6:L4:w1-1-1-3:b1@23
K8:L6:w1-1-1-1-2-2,11,8,6,1,1,9,31,10,1,8,4,5.069981583793738,K11:L7:w1-1-1-1-2-2-3:b1@0 > K7:L5:w1-1-1-2-2:b1@1 > K6:L4:w1-1-2-2:b1@2 > K3:L2:w1-2:b1@3
K8:L6:w1-1-1-2-1-2,12,8,6,1,0,9,111,7,1,19,7,27.72072072072072,K8:L6:w1-1-1-2-1-2:b1@0 > K7:L5:w1-1-2-1-2:b1@1 > K3:L2:w1-2:b2@2 > K3:L2:w1-2:b1@4 > K15:L10:w1-1-1-1-1-3-1-1-1-4:b1@6 > K14:L9:w1-1-1-1-3-1-1-1-4:b1@7 > K6:L4:w1-1-1-3:b1@8
K8:L6:w1-1-1-2-1-2,12,8,6,1,1,9,111,10,1,8,4,3.802568218298555,K10:L7:w1-1-1-2-1-2-2:b1@0 > K9:L6:w1-1-2-1-2-2:b1@1 > K3:L2:w1-2:b2@2 > K3:L2:w1-2:b1@4
K8:L7:w1-1-1-1-1-1-2,13,8,7,1,0,9,127,7,1,9,6,11.472440944881889,K12:L8:w1-1-1-1-1-1-2-4:b1@0 > K11:L7:w1-1-1-1-1-2-4:b1@1 > K6:L5:w1-1-1-1-2:b1@2 > K5:L4:w1-1-1-2:b1@3 > K4:L3:w1-1-2:b1@4 > K3:L2:w1-2:b1@5
K8:L7:w1-1-1-1-1-1-2,13,8,7,1,1,9,127,10,1,14,9,21.660406885759,K15:L12:w1-1-1-1-1-1-2-1-2-1-1-2:b1@0 > K14:L11:w1-1-1-1-1-2-1-2-1-1-2:b1@1 > K16:L11:w1-1-1-1-2-1-2-1-1-2-3:b1@2 > K15:L10:w1-1-1-2-1-2-1-1-2-3:b1@3 > K14:L9:w1-1-2-1-2-1-1-2-3:b1@4 > K3:L2:w1-2:b2@5 > K3:L2:w1-2:b1@7 > K4:L3:w1-1-2:b1@9 > K3:L2:w1-2:b1@10
