source_node,source_b,t,event_index,step,node,node_id,K,L,b,v2_n_minus_q,value_bit_length
K3:L2:w1-2,1,0,0,0,K3:L2:w1-2,0,3,2,1,4,4
K3:L2:w1-2,1,1,0,0,K3:L2:w1-2,0,3,2,1,5,5
K3:L2:w1-2,1,1,1,2,K15:L11:w1-1-1-1-2-2-1-2-1-1-2,763,15,11,1,19,5
K3:L2:w1-2,1,1,2,3,K14:L10:w1-1-1-2-2-1-2-1-1-2,453,14,10,1,21,6
K3:L2:w1-2,1,1,3,4,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K3:L2:w1-2,1,1,4,5,K3:L2:w1-2,0,3,2,1,4,7
K3:L2:w1-2,1,1,5,10,K4:L3:w1-1-2,1,4,3,1,7,7
K3:L2:w1-2,1,1,6,11,K3:L2:w1-2,0,3,2,1,5,8
K3:L2:w1-2,1,1,7,13,K15:L10:w1-1-1-2-3-1-1-2-1-2,657,15,10,1,19,8
K3:L2:w1-2,1,1,8,14,K4:L3:w1-1-2,1,4,3,1,5,9
K3:L2:w1-2,1,1,9,15,K3:L2:w1-2,0,3,2,1,4,9
K3:L2:w1-2,1,1,10,18,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K3:L2:w1-2,1,1,11,19,K3:L2:w1-2,0,3,2,2,8,8
K3:L2:w1-2,1,1,12,21,K3:L2:w1-2,0,3,2,1,5,9
K3:L2:w1-2,1,1,13,23,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K3:L2:w1-2,1,1,14,24,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K3:L2:w1-2,1,1,15,25,K6:L4:w1-1-1-3,3,6,4,1,12,10
K4:L3:w1-1-2,1,0,0,0,K4:L3:w1-1-2,1,4,3,1,5,3
K4:L3:w1-1-2,1,0,1,1,K3:L2:w1-2,0,3,2,1,4,4
K4:L3:w1-1-2,1,1,0,0,K4:L3:w1-1-2,1,4,3,1,6,6
K4:L3:w1-1-2,1,1,1,1,K3:L2:w1-2,0,3,2,1,6,6
K5:L4:w1-1-1-2,1,0,0,0,K14:L10:w1-1-1-2-2-1-2-1-1-2,453,14,10,1,21,6
K5:L4:w1-1-1-2,1,0,1,1,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K5:L4:w1-1-1-2,1,0,2,2,K3:L2:w1-2,0,3,2,1,4,7
K5:L4:w1-1-1-2,1,0,3,7,K4:L3:w1-1-2,1,4,3,1,7,7
K5:L4:w1-1-1-2,1,0,4,8,K3:L2:w1-2,0,3,2,1,5,8
K5:L4:w1-1-1-2,1,0,5,10,K15:L10:w1-1-1-2-3-1-1-2-1-2,657,15,10,1,19,8
K5:L4:w1-1-1-2,1,0,6,11,K4:L3:w1-1-2,1,4,3,1,5,9
K5:L4:w1-1-1-2,1,0,7,12,K3:L2:w1-2,0,3,2,1,4,9
K5:L4:w1-1-1-2,1,0,8,15,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K5:L4:w1-1-1-2,1,0,9,16,K3:L2:w1-2,0,3,2,2,8,8
K5:L4:w1-1-1-2,1,0,10,18,K3:L2:w1-2,0,3,2,1,5,9
K5:L4:w1-1-1-2,1,0,11,20,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K5:L4:w1-1-1-2,1,0,12,21,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K5:L4:w1-1-1-2,1,0,13,22,K6:L4:w1-1-1-3,3,6,4,1,12,10
K5:L4:w1-1-1-2,1,1,0,0,K8:L6:w1-1-1-2-1-2,12,8,6,1,12,7
K5:L4:w1-1-1-2,1,1,1,1,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K5:L4:w1-1-1-2,1,1,2,2,K3:L2:w1-2,0,3,2,2,8,8
K5:L4:w1-1-1-2,1,1,3,4,K3:L2:w1-2,0,3,2,1,5,9
K5:L4:w1-1-1-2,1,1,4,6,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K5:L4:w1-1-1-2,1,1,5,7,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K5:L4:w1-1-1-2,1,1,6,8,K6:L4:w1-1-1-3,3,6,4,1,12,10
K6:L4:w1-1-1-3,1,0,0,0,K6:L4:w1-1-1-3,3,6,4,1,7,7
K6:L4:w1-1-1-3,1,1,0,0,K10:L7:w1-1-1-3-1-1-2,37,10,7,1,11,8
K6:L4:w1-1-1-3,1,1,1,4,K4:L3:w1-1-2,1,4,3,1,5,9
K6:L4:w1-1-1-3,1,1,2,5,K3:L2:w1-2,0,3,2,1,4,9
K6:L4:w1-1-2-2,1,0,0,0,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K6:L4:w1-1-2-2,1,0,1,1,K3:L2:w1-2,0,3,2,1,4,7
K6:L4:w1-1-2-2,1,0,2,6,K4:L3:w1-1-2,1,4,3,1,7,7
K6:L4:w1-1-2-2,1,0,3,7,K3:L2:w1-2,0,3,2,1,5,8
K6:L4:w1-1-2-2,1,0,4,9,K15:L10:w1-1-1-2-3-1-1-2-1-2,657,15,10,1,19,8
